year,technology,available,abatement_potential_mtco2,capex_ann_usd_per_tco2,opex_ann_usd_per_tco2,fuel_cost_diff_usd_per_tco2,total_cost_usd_per_tco2,re_price_usd_per_mwh,h2_price_usd_per_kg,electricity_consumption_mwh,fossil_fuel_replaced_gj,methodology,h2_consumption_ton_per_ton_ethylene,baseline_combustion_emissions_tco2_per_ton,ethylene_production_kt,h2_fuel_cost_per_ton_ethylene,electricity_consumption_mwh_per_ton_ethylene,electricity_cost_per_ton_ethylene,grid_ef_tco2_per_mwh,grid_price_usd_per_mwh
2039,NCC-Electricity,True,31.043127416254347,43.2,43.2,424.0317781956067,510.43177819560674,191.37809613147607,,,,Energy-based,,2.2566480388079895,13756.3,,5.0,956.8904806573803,0.0,
2039,RE_PPA,True,7.399142592592593,0.0,0.0,242.2174465751571,242.2174465751571,191.37809613147607,,,,Energy-based,,,,,,,0.216,151.17
2040,Heat_Pump,True,3.2918471733493444,24.0,14.399999999999999,261.98950844852163,300.3895084485216,191.37809613147607,4.1629505152964805,4506416.566297974,64892398.55469083,Energy-based,,,,,,,,
2040,NCC-H2,True,31.043127416254347,37.4,37.4,368.94991542371326,443.7499154237133,,4.1629505152964805,,,Energy-based,0.2,2.2566480388079895,13756.3,832.5901030592961,,,,
2040,NCC-Electricity,True,31.043127416254347,42.0,42.0,424.0317781956067,508.0317781956067,191.37809613147607,,,,Energy-based,,2.2566480388079895,13756.3,,5.0,956.8904806573803,0.0,
2040,RE_PPA,True,7.22085,0.0,0.0,243.65397420984038,243.65397420984038,191.37809613147607,,,,Energy-based,,,,,,,0.2,154.83
2041,Heat_Pump,True,3.2918471733493444,23.6,14.16,261.98950844852163,299.7495084485216,191.37809613147607,3.992464342664777,4506416.566297974,64892398.55469083,Energy-based,,,,,,,,
2041,NCC-H2,True,31.043127416254347,36.78,36.78,353.84023330228166,427.40023330228166,,3.992464342664777,,,Energy-based,0.2,2.2566480388079895,13756.3,798.4928685329554,,,,
2041,NCC-Electricity,True,31.043127416254347,41.4,41.4,424.0317781956067,506.8317781956067,191.37809613147607,,,,Energy-based,,2.2566480388079895,13756.3,,5.0,956.8904806573803,0.0,
2041,RE_PPA,True,7.01155,0.0,0.0,245.50818008564238,245.50818008564238,191.37809613147607,,,,Energy-based,,,,,,,0.184,158.48
2042,Heat_Pump,True,3.2918471733493444,23.2,13.92,261.98950844852163,299.10950844852164,191.37809613147607,3.8219772472241904,4506416.566297974,64892398.55469083,Energy-based,,,,,,,,
2042,NCC-H2,True,31.043127416254347,36.16,36.160000000000004,338.730469395045,411.050469395045,,3.8219772472241904,,,Energy-based,0.2,2.2566480388079895,13756.3,764.395449444838,,,,
2042,NCC-Electricity,True,31.043127416254347,40.8,40.800000000000004,424.0317781956067,505.63177819560667,191.37809613147607,,,,Energy-based,,2.2566480388079895,13756.3,,5.0,956.8904806573803,0.0,
2042,RE_PPA,True,6.762383333333333,0.0,0.0,247.78047569047527,247.78047569047527,191.37809613147607,,,,Energy-based,,,,,,,0.168,162.14
2043,Heat_Pump,True,3.2918471733493444,22.8,13.68,261.98950844852163,298.46950844852165,191.37809613147607,3.6514910745924873,4506416.566297974,64892398.55469083,Energy-based,,,,,,,,
