facility_id,company,location,product,process,capacity_kt,year_built,stranding_year,stranded_value_usd,scenario,budget_scenario
Unknown,Lotte Chemical,Yeosu,HDPE,Utility,360,1992,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,LG Chem,Yeosu,HDPE,Utility,500,1992,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,GS Caltex,Yeosu,HDPE,Utility,650,2021,2030,227500000.0,shaheen_ncc_h2_15c,1.5C
Unknown,Daehan Oil Chemical,Onsan,HDPE,Utility,210,1976,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,SK Geocentric,Ulsan,HDPE,Utility,490,1990,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Lotte Chemical,Daesan,PP,Utility,500,2005,2030,41666666.666666664,shaheen_ncc_h2_15c,1.5C
Unknown,HD Hyundai Chemical,Daesan,PP,Utility,380,2021,2030,132999999.99999999,shaheen_ncc_h2_15c,1.5C
Unknown,LG Chem,Daesan,PP,Utility,1117,2006,2030,111700000.0,shaheen_ncc_h2_15c,1.5C
Unknown,Hanwha TotalEnergies,Daesan,PP,Utility,600,1991,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Lotte Chemical,Yeosu,PP,Utility,180,1979,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,GS Caltex,Yeosu,PP,Utility,730,1987,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Poly Mirae,Yeosu,PP,Utility,405,1993,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,S-Oil,Onsan,PP,Utility,550,2018,2030,165000000.0,shaheen_ncc_h2_15c,1.5C
Unknown,Daehan Oil Chemical,Onsan,PP,Utility,432,1976,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,SK Geocentric,Ulsan,PP,Utility,400,1990,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Ulsan PP,Ulsan,PP,Utility,600,2021,2030,210000000.0,shaheen_ncc_h2_15c,1.5C
Unknown,LG Chem,Yeosu,PS,Utility,40,1984,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Kumho Petrochemical,Ulsan,PS,Utility,265,1973,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,HDC Hyundai EP,Ulsan,PS,Utility,148,1989,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Korea INEOS Styrolution,Ulsan,PS,Utility,266,1985,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,SH Energy Chemical,Gunsan,EPS,Utility,100,1973,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Lotte Chemical,Yeosu,EPS,Utility,90,1989,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,LG Chem,Yeosu,EPS,Utility,90,1984,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,Kumho Petrochemical,Ulsan,EPS,Utility,80,1973,2030,0.0,shaheen_ncc_h2_15c,1.5C
Unknown,HDC Hyundai EP,Ulsan,EPS,Utility,80,1989,2030,0.0,shaheen_ncc_h2_15c,1.5C
