scenario,year,region,bau_emissions_tco2,emissions_tco2,abatement_tco2,abatement_mt,capex_usd,total_cost_usd,annual_capex_usd,annual_opex_usd,annual_new_energy_usd,annual_fuel_savings_usd,elec_demand_mwh,h2_demand_t
shaheen_ncc_h2_15c,2035,Ulsan,22130929.276215024,13440377.53303895,6534077.099334156,6.534077099334156,1769703949.9999995,2166277232.5068254,71290478.0,62139640.49999999,2850498297.4229736,817651183.4161481,25513239.197251692,709688.0
shaheen_ncc_h2_15c,2035,Other,432184.00829651015,424800.32793772384,-74584.64605024856,-0.07458464605024856,125096999.99999999,12889945.753037918,5003879.999999999,3752909.9999999995,46356768.86907337,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_15c,2036,Daesan,19800108.505871844,7484205.293613307,10567471.596121177,10.567471596121177,2016090300.0,3345761731.7991242,80643612.0,74556121.49999999,4033961118.665564,843399120.3664398,20042865.579925224,1125873.0
shaheen_ncc_h2_15c,2036,Yeosu,25771247.357066404,12644736.534119893,10116139.17390073,10.11613917390073,1867743290.0,3133342929.371982,74709731.6,69246373.69999999,3773712937.899817,784326113.8278351,25557281.793468516,1057126.0
shaheen_ncc_h2_15c,2036,Ulsan,22130929.276215024,12728558.159435624,6861451.472533712,6.861451472533712,1737978899.9999995,2073484423.9134822,70013748.0,61010466.99999999,2760111392.3296304,817651183.4161481,25513239.197251692,709688.0
shaheen_ncc_h2_15c,2036,Other,432184.00829651015,382396.28804698144,-46793.48990910404,-0.04679348990910404,123068399.99999999,11336184.05105273,4922735.999999999,3692051.9999999995,44945009.16708818,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_15c,2037,Daesan,19800108.505871844,6923005.0573754,10863183.30062456,10.863183300624561,1977909150.0,3214007543.4788074,79116366.0,73129218.75,3905161079.0952473,843399120.3664398,20042865.579925224,1125873.0
shaheen_ncc_h2_15c,2037,Yeosu,25771247.357066404,11929132.643902777,10374636.739967732,10.374636739967732,1832309605.0,3010087152.0006547,73292384.19999999,67919081.64999999,3653201799.97849,784326113.8278351,25557281.793468516,1057126.0
shaheen_ncc_h2_15c,2037,Ulsan,22130929.276215024,12014187.46191258,7189999.230583443,7.189999230583443,1706253849.9999995,1983271621.3781393,68737017.99999999,59881293.49999999,2672304493.294287,817651183.4161481,25513239.197251692,709688.0
shaheen_ncc_h2_15c,2037,Other,432184.00829651015,339840.262350179,-18902.723889317494,-0.018902723889317494,121039799.99999999,9825416.403760582,4841591.999999999,3631193.9999999995,43576243.51979603,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_15c,2038,Daesan,19800108.505871844,6363809.107695487,11157838.891897576,11.157838891897576,1939728000.0,3085894452.653319,77589119.99999999,71702316.0,3780002137.019759,843399120.3664398,20042865.579925224,1125873.0
shaheen_ncc_h2_15c,2038,Yeosu,25771247.357066404,9403586.521426763,12492808.41458061,12.49280841458061,2048035920.0,3460817300.5996656,81921436.79999998,76638189.6,4192115005.3867083,889857331.1870425,26124708.042960666,1266426.0
shaheen_ncc_h2_15c,2038,Ulsan,22130929.276215024,11302368.088309262,7517373.603782999,7.517373603783,1674528799.9999995,1895555525.9832172,67460288.0,58752120.0,2586994301.3993654,817651183.4161481,25513239.197251692,709688.0
shaheen_ncc_h2_15c,2038,Other,432184.00829651015,297436.2224594367,8888.432251826987,0.008888432251826988,119011199.99999999,8356333.460330486,4760447.999999999,3570335.9999999995,42249162.57636593,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_15c,2039,Daesan,19800108.505871844,5804613.1580155725,11452494.483170591,11.452494483170591,1901546850.0,2961304429.068592,76061874.0,70275413.24999999,3658366262.185032,843399120.3664398,20042865.579925224,1125873.0
shaheen_ncc_h2_15c,2039,Yeosu,25771247.357066404,8674707.167028163,12771798.536571609,12.771798536571609,2007369735.0,3322653802.4088445,80294789.39999999,75101597.55,4057114746.6458864,889857331.1870425,26124708.042960666,1266426.0
shaheen_ncc_h2_15c,2039,Ulsan,22130929.276215024,10590548.714705938,7844747.9769825535,7.844747976982553,1642803749.9999995,1810255599.610262,66183557.99999999,57622946.49999999,2504100278.52641,817651183.4161481,25513239.197251692,709688.0
shaheen_ncc_h2_15c,2039,Other,432184.00829651015,255032.1825686943,36679.58839297148,0.036679588392971474,116982599.99999999,6927665.745202817,4679303.999999999,3509477.9999999995,40962496.86123826,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_15c,2040,Daesan,19800108.505871844,5243412.9217776675,11748206.187673975,11.748206187673976,1863365700.0,2840123378.5903373,74534628.0,68848510.5,3540139360.456777,843399120.3664398,20042865.579925224,1125873.0
shaheen_ncc_h2_15c,2040,Yeosu,25771247.357066404,7943215.341825265,13051788.62315756,13.051788623157561,1966703550.0,3188269407.6355886,78668141.99999999,73565005.5,3925893591.322631,889857331.1870425,26124708.042960666,1266426.0
shaheen_ncc_h2_15c,2040,Ulsan,22130929.276215024,9876178.017182887,8173295.735032286,8.173295735032285,1611078699.9999998,1727293972.1924717,64906828.0,56493772.99999999,2423544554.6086197,817651183.4161481,25513239.197251692,709688.0
shaheen_ncc_h2_15c,2040,Other,432184.00829651015,212476.15687189193,64570.35441275804,0.06457035441275803,114953999.99999999,5538182.443718697,4598159.999999999,3448619.9999999995,39715015.55975415,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_15c,2041,Daesan,19800108.505871844,3996024.065136786,12896266.746890832,12.896266746890833,1948349550.0,2987705279.3976493,77933982.0,72348207.75,3736023154.478905,898600064.8312559,20339673.156582657,1235353.0
shaheen_ncc_h2_15c,2041,Yeosu,25771247.357066404,7580081.900028111,13190783.701855585,13.190783701855585,1926037365.0,3057541744.9888167,77041494.6,72028413.44999999,3798329168.125859,889857331.1870425,26124708.042960666,1266426.0
shaheen_ncc_h2_15c,2041,Ulsan,22130929.276215024,9521543.99234109,8336396.229206976,8.336396229206976,1579353649.9999998,1646595352.121915,63630097.99999999,55364599.49999999,2345251838.0380626,817651183.4161481,25513239.197251692,709688.0
shaheen_ncc_h2_15c,2041,Other,432184.00829651015,191350.12982955074,78416.12754400923,0.07841612754400923,112925399.99999999,4186690.2247319077,4517015.999999999,3387761.9999999995,38505525.34076736,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_15c,2042,Daesan,19800108.505871844,2924325.1378060714,13864133.525071066,13.864133525071066,2004836400.0,3068905364.7183886,80193456.0,74708025.0,3857251771.2785406,943247887.5601515,20579738.108290873,1323903.0
shaheen_ncc_h2_15c,2042,Yeosu,25771247.357066404,7214335.987426662,13330778.74514856,13.33077874514856,1885371180.0,2930352524.948865,75414847.19999999,70491821.39999999,3674303187.5359063,889857331.1870425,26124708.042960666,1266426.0
