location,capex_investment_musd,total_annual_cost_musd,electricity_demand_twh,year,scenario
Naju,0.0,-0.1204000409789254,0.0014974433154545318,2029,Shaheen (성장)
Onsan,29.21481449515288,-716.8867610751743,9.587352134470018,2029,Shaheen (성장)
Pohang,0.0,-0.06688891165495853,0.0008319129530302953,2029,Shaheen (성장)
Ulsan,47.72271792776641,-208.56215035275565,3.690454237825348,2029,Shaheen (성장)
Yeosu,39.01406008181642,-390.1049115342105,5.748246164942306,2029,Shaheen (성장)
Busan/Iksan/Siheung,0.0,-0.8246990319225963,0.004409138651060567,2030,Shaheen (성장)
Daesan,264.1710655809483,-506.6404128988394,8.318515908255156,2030,Shaheen (성장)
Gimcheon,0.0,0.0,0.0,2030,Shaheen (성장)
Gumi,0.0,-0.08091386728297172,0.00043259473557575364,2030,Shaheen (성장)
Gunsan,0.0,-0.5779960082236636,0.003090175253481888,2030,Shaheen (성장)
Gwangyang,0.0,-2.4148086565854654,0.0510610368625851,2030,Shaheen (성장)
Incheon,0.0,-6.192067343287721,0.1234617068669583,2030,Shaheen (성장)
Jeonju,0.0,-0.3236554691318868,0.0017303789423030146,2030,Shaheen (성장)
Jinhae,0.0,-0.22010774908744257,0.001176775461512208,2030,Shaheen (성장)
Naju,0.0,-0.28008646367182516,0.0014974433154545318,2030,Shaheen (성장)
Onsan,457.8445892152396,-722.4050790772211,11.96634852941195,2030,Shaheen (성장)
Pohang,0.0,-0.1556035909287917,0.0008319129530302953,2030,Shaheen (성장)
Ulsan,54.575434102485985,-355.97373731775565,3.974032473848069,2030,Shaheen (성장)
Yeosu,252.36859118966487,-265.3960502688781,7.0595731583788,2030,Shaheen (성장)
Busan/Iksan/Siheung,0.0,-0.9387767720298564,0.004409138651060567,2031,Shaheen (성장)
Daesan,0.0,-592.418228549423,8.318515908255156,2031,Shaheen (성장)
Gimcheon,0.0,0.0,0.0,2031,Shaheen (성장)
Gumi,0.0,-0.09210640027462742,0.00043259473557575364,2031,Shaheen (성장)
Gunsan,0.0,-0.6579481796909408,0.003090175253481888,2031,Shaheen (성장)
Gwangyang,0.0,-3.0292282346320465,0.0510610368625851,2031,Shaheen (성장)
Incheon,0.0,-7.71267012463018,0.1234617068669583,2031,Shaheen (성장)
Jeonju,0.0,-0.36842560109850964,0.0017303789423030146,2031,Shaheen (성장)
Jinhae,0.0,-0.25055448616855025,0.001176775461512208,2031,Shaheen (성장)
Naju,0.0,-0.31882984710447954,0.0014974433154545318,2031,Shaheen (성장)
Onsan,0.0,-843.6673143702263,11.96634852941195,2031,Shaheen (성장)
Pohang,0.0,-0.17712769283582191,0.0008319129530302953,2031,Shaheen (성장)
Ulsan,0.0,-413.2003963238577,3.974032473848069,2031,Shaheen (성장)
Yeosu,0.0,-316.6858623953725,7.0595731583788,2031,Shaheen (성장)
Busan/Iksan/Siheung,0.0,-1.063943340077789,0.004409138651060567,2032,Shaheen (성장)
Daesan,0.0,-686.3127571352564,8.318515908255156,2032,Shaheen (성장)
Gimcheon,0.0,0.0,0.0,2032,Shaheen (성장)
Gumi,0.0,-0.10438689374348119,0.00043259473557575364,2032,Shaheen (성장)
Gunsan,0.0,-0.7456720327505266,0.003090175253481888,2032,Shaheen (성장)
Gwangyang,0.0,-3.7021631478808033,0.0510610368625851,2032,Shaheen (성장)
Incheon,0.0,-9.378218864033188,0.1234617068669583,2032,Shaheen (성장)
Jeonju,0.0,-0.41754757497392464,0.0017303789423030146,2032,Shaheen (성장)
Jinhae,0.0,-0.28396077196205216,0.001176775461512208,2032,Shaheen (성장)
Naju,0.0,-0.3613392475735887,0.0014974433154545318,2032,Shaheen (성장)
Onsan,0.0,-976.3585932942285,11.96634852941195,2032,Shaheen (성장)
Pohang,0.0,-0.20074402642977143,0.0008319129530302953,2032,Shaheen (성장)
Ulsan,0.0,-475.9235664032688,3.974032473848069,2032,Shaheen (성장)
Yeosu,0.0,-372.75169013761973,7.0595731583788,2032,Shaheen (성장)
Busan/Iksan/Siheung,0.0,-1.2017137395062008,0.004409138651060567,2033,Shaheen (성장)
Daesan,0.0,-789.4444480200453,8.318515908255156,2033,Shaheen (성장)
Gimcheon,0.0,0.0,0.0,2033,Shaheen (성장)
Gumi,0.0,-0.11790398953645741,0.00043259473557575364,2033,Shaheen (성장)
Gunsan,0.0,-0.8422293680190802,0.003090175253481888,2033,Shaheen (성장)
Gwangyang,0.0,-4.441918026669865,0.0510610368625851,2033,Shaheen (성장)
Incheon,0.0,-11.209250944403562,0.1234617068669583,2033,Shaheen (성장)
Jeonju,0.0,-0.4716159581458296,0.0017303789423030146,2033,Shaheen (성장)
Jinhae,0.0,-0.3207309527616723,0.001176775461512208,2033,Shaheen (성장)
Naju,0.0,-0.40812919454927565,0.0014974433154545318,2033,Shaheen (성장)
Onsan,0.0,-1122.0538588461156,11.96634852941195,2033,Shaheen (성장)
Pohang,0.0,-0.2267384414162642,0.0008319129530302953,2033,Shaheen (성장)
Ulsan,0.0,-544.901826830675,3.974032473848069,2033,Shaheen (성장)
Yeosu,0.0,-434.25658796859074,7.0595731583788,2033,Shaheen (성장)
Busan/Iksan/Siheung,0.0,-1.3545956844043112,0.004409138651060567,2034,Shaheen (성장)
Daesan,0.0,-903.6536072109348,8.318515908255156,2034,Shaheen (성장)
Gimcheon,0.0,0.0,0.0,2034,Shaheen (성장)
Gumi,0.0,-0.1329037275264607,0.00043259473557575364,2034,Shaheen (성장)
Gunsan,0.0,-0.9493777342231425,0.003090175253481888,2034,Shaheen (성장)
Gwangyang,0.0,-5.261538841532117,0.0510610368625851,2034,Shaheen (성장)
Incheon,0.0,-13.238102340011325,0.1234617068669583,2034,Shaheen (성장)
Jeonju,0.0,-0.5316149101058428,0.0017303789423030146,2034,Shaheen (성장)
Jinhae,0.0,-0.3615343240099508,0.001176775461512208,2034,Shaheen (성장)
Naju,0.0,-0.46005136451467177,0.0014974433154545318,2034,Shaheen (성장)
Onsan,0.0,-1283.3498776676515,11.96634852941195,2034,Shaheen (성장)
Pohang,0.0,-0.25558409139703975,0.0008319129530302953,2034,Shaheen (성장)
Ulsan,0.0,-621.3760125591199,3.974032473848069,2034,Shaheen (성장)
Yeosu,0.0,-502.28543707277555,7.0595731583788,2034,Shaheen (성장)
Busan/Iksan/Siheung,0.0,-1.5250170006524395,0.004409138651060567,2035,Shaheen (성장)
Daesan,0.0,-1030.7315534449901,8.318515908255156,2035,Shaheen (성장)
Gimcheon,0.0,0.0,0.0,2035,Shaheen (성장)
Gumi,0.0,-0.1496243094979752,0.00043259473557575364,2035,Shaheen (성장)
Gunsan,0.0,-1.0688186898866938,0.003090175253481888,2035,Shaheen (성장)
Gwangyang,0.0,-6.1741508806767,0.0510610368625851,2035,Shaheen (성장)
Incheon,0.0,-15.497251084446862,0.1234617068669583,2035,Shaheen (성장)
Jeonju,0.0,-0.5984972379919007,0.0017303789423030146,2035,Shaheen (성장)
Jinhae,0.0,-0.40701885941488064,0.001176775461512208,2035,Shaheen (성장)
Naju,0.0,-0.5179303021083757,0.0014974433154545318,2035,Shaheen (성장)
Onsan,0.0,-1462.7670381345679,11.96634852941195,2035,Shaheen (성장)
Pohang,0.0,-0.2877390567268753,0.0008319129530302953,2035,Shaheen (성장)
Ulsan,0.0,-706.5577934334125,3.974032473848069,2035,Shaheen (성장)
Yeosu,0.0,-577.897031512654,7.0595731583788,2035,Shaheen (성장)
Busan/Iksan/Siheung,0.0,-1.8359812443710282,0.004409138651060567,2036,Shaheen (성장)
Daesan,124.72985674882145,-1233.3663756394635,9.07316001872177,2036,Shaheen (성장)
Gimcheon,0.0,0.0,0.0,2036,Shaheen (성장)
Gumi,0.0,-0.1801340088816858,0.00043259473557575364,2036,Shaheen (성장)
Gunsan,0.0,-1.286760126231807,0.003090175253481888,2036,Shaheen (성장)
Gwangyang,0.0,-7.874410701644397,0.0510610368625851,2036,Shaheen (성장)
Incheon,0.0,-19.70245190469232,0.1234617068669583,2036,Shaheen (성장)
Jeonju,0.0,-0.7205360355267431,0.0017303789423030146,2036,Shaheen (성장)
Jinhae,0.0,-0.490013548485889,0.001176775461512208,2036,Shaheen (성장)
Naju,0.0,-0.6235407999750662,0.0014974433154545318,2036,Shaheen (성장)
Onsan,216.1739019390862,-1738.732654120571,13.274249990915553,2036,Shaheen (성장)
Pohang,0.0,-0.34641155554170333,0.0008319129530302953,2036,Shaheen (성장)
Ulsan,25.768098647131875,-856.5388556726956,4.129935353790762,2036,Shaheen (성장)
Yeosu,119.15725197899542,-687.8766971425732,7.780501737703772,2036,Shaheen (성장)
Busan/Iksan/Siheung,0.0,-2.2469039542067266,0.004409138651060567,2037,Shaheen (성장)
Daesan,209.99906141696408,-1490.7686800524812,10.379492208287392,2037,Shaheen (성장)
Gimcheon,0.0,0.0,0.0,2037,Shaheen (성장)
Gumi,0.0,-0.22045095399764109,0.00043259473557575364,2037,Shaheen (성장)
Gunsan,0.0,-1.5747581434233398,0.003090175253481888,2037,Shaheen (성장)
Gwangyang,0.0,-10.100418352120649,0.0510610368625851,2037,Shaheen (성장)
Incheon,0.0,-25.21014916907644,0.1234617068669583,2037,Shaheen (성장)
Jeonju,0.0,-0.8818038159905641,0.0017303789423030146,2037,Shaheen (성장)
Jinhae,0.0,-0.5996866161260811,0.001176775461512208,2037,Shaheen (성장)
Naju,0.0,-0.7630994561456808,0.0014974433154545318,2037,Shaheen (성장)
Onsan,363.9570965071271,-2085.8711998344547,15.538302351816698,2037,Shaheen (성장)
Pohang,0.0,-0.4239441423031558,0.0008319129530302953,2037,Shaheen (성장)
Ulsan,43.383971339713476,-1052.2369423716343,4.399812170810106,2037,Shaheen (성장)
Yeosu,200.616850919699,-823.3342645512639,9.02847041126528,2037,Shaheen (성장)
Busan/Iksan/Siheung,0.0,-2.8130516346219516,0.004409138651060567,2038,Shaheen (성장)
Daesan,211.89609664075746,-1863.241942572799,11.735831957316394,2038,Shaheen (성장)
Gimcheon,0.0,0.0,0.0,2038,Shaheen (성장)
Gumi,0.0,-0.2759975188685688,0.00043259473557575364,2038,Shaheen (성장)
Gunsan,0.0,-1.9715466525382621,0.003090175253481888,2038,Shaheen (성장)
Gwangyang,0.0,-13.14495241755315,0.0510610368625851,2038,Shaheen (성장)
Incheon,0.0,-32.745449039684125,0.1234617068669583,2038,Shaheen (성장)
Jeonju,0.0,-1.1039900754742753,0.0017303789423030146,2038,Shaheen (성장)
Jinhae,0.0,-0.7507883960042074,0.001176775461512208,2038,Shaheen (성장)
Naju,0.0,-0.9553760268527383,0.0014974433154545318,2038,Shaheen (성장)
Onsan,367.2449180210178,-2595.5236142781164,17.889024653158963,2038,Shaheen (성장)
Pohang,0.0,-0.5307644593626322,0.0008319129530302953,2038,Shaheen (성장)
Ulsan,43.77588224266776,-1325.166655430725,4.680020112701579,2038,Shaheen (성장)
Yeosu,202.429131556161,-1027.0347039582896,10.324212436926697,2038,Shaheen (성장)
Busan/Iksan/Siheung,0.0,-3.645649115532174,0.004409138651060567,2039,Shaheen (성장)
Daesan,212.9768116178315,-2432.7675399066393,13.139783576190158,2039,Shaheen (성장)
Gimcheon,0.0,0.0,0.0,2039,Shaheen (성장)
Gumi,0.0,-0.35768632831636427,0.00043259473557575364,2039,Shaheen (성장)
Gunsan,0.0,-2.5550783432464357,0.003090175253481888,2039,Shaheen (성장)
Gwangyang,0.0,-17.598573302182338,0.0510610368625851,2039,Shaheen (성장)
Incheon,0.0,-43.77081021119445,0.1234617068669583,2039,Shaheen (성장)
Jeonju,0.0,-1.4307453132654568,0.0017303789423030146,2039,Shaheen (성장)
Jinhae,0.0,-0.9730041987702089,0.001176775461512208,2039,Shaheen (성장)
Naju,0.0,-1.2381449826335686,0.0014974433154545318,2039,Shaheen (성장)
Onsan,369.11794489339354,-3383.235457948587,20.3222648371577,2039,Shaheen (성장)
Pohang,0.0,-0.6878583236853157,0.0008319129530302953,2039,Shaheen (성장)
Ulsan,43.999148514790235,-1730.6386786337264,4.970064250920967,2039,Shaheen (성장)
Yeosu,203.4615630059944,-1347.4202643508431,11.66543915823487,2039,Shaheen (성장)
Busan/Iksan/Siheung,0.0,-4.999263192978243,0.004409138651060567,2040,Shaheen (성장)
Daesan,0.0,-3435.404830643956,13.139783576190158,2040,Shaheen (성장)
Gimcheon,0.0,0.0,0.0,2040,Shaheen (성장)
Gumi,0.0,-0.4904937472356012,0.00043259473557575364,2040,Shaheen (성장)
Gunsan,0.0,-3.5037681114582853,0.003090175253481888,2040,Shaheen (성장)
Gwangyang,0.0,-24.81103248624281,0.0510610368625851,2040,Shaheen (성장)
Incheon,0.0,-61.62895062655596,0.1234617068669583,2040,Shaheen (성장)
Jeonju,0.0,-1.9619749889424045,0.0017303789423030146,2040,Shaheen (성장)
Jinhae,0.0,-1.3342765371469723,0.001176775461512208,2040,Shaheen (성장)
Naju,0.0,-1.697862971200158,0.0014974433154545318,2040,Shaheen (성장)
Onsan,0.0,-4797.427397502552,20.3222648371577,2040,Shaheen (성장)
Pohang,0.0,-0.9432572062223097,0.0008319129530302953,2040,Shaheen (성장)
Ulsan,0.0,-2405.2176258614236,4.970064250920967,2040,Shaheen (성장)
Yeosu,0.0,-1941.626705369918,11.66543915823487,2040,Shaheen (성장)
Busan/Iksan/Siheung,0.0,-6.168864005360023,0.004409138651060567,2041,Shaheen (성장)
Daesan,342.29664727465274,-4223.417259583402,15.520587028362941,2041,Shaheen (성장)
Gimcheon,0.0,0.0,0.0,2041,Shaheen (성장)
Gumi,0.0,-0.6052470344881532,0.00043259473557575364,2041,Shaheen (성장)
Gunsan,0.0,-4.323490912873277,0.003090175253481888,2041,Shaheen (성장)
Gwangyang,0.0,-31.013408123033773,0.0510610368625851,2041,Shaheen (성장)
Incheon,0.0,-76.98929672953209,0.1234617068669583,2041,Shaheen (성장)
Jeonju,0.0,-2.4209881379526124,0.0017303789423030146,2041,Shaheen (성장)
Jinhae,0.0,-1.6464367218679847,0.001176775461512208,2041,Shaheen (성장)
Naju,0.0,-2.095085888612838,0.0014974433154545318,2041,Shaheen (성장)
Onsan,593.2469080842421,-5884.244212052487,24.448522859265942,2041,Shaheen (성장)
Pohang,0.0,-1.1639366047849093,0.0008319129530302953,2041,Shaheen (성장)
Ulsan,70.71549670194821,-2971.4108934312508,5.461917443204859,2041,Shaheen (성장)
Yeosu,327.0037256036254,-2380.274540761486,13.939874520044862,2041,Shaheen (성장)
Busan/Iksan/Siheung,0.0,-7.873825148110046,0.004409138651060567,2042,Shaheen (성장)
Daesan,477.03381858050466,-5376.9505941243,18.918811811261698,2042,Shaheen (성장)
Gimcheon,0.0,0.0,0.0,2042,Shaheen (성장)
Gumi,0.0,-0.7725262409466461,0.00043259473557575364,2042,Shaheen (성장)
Gunsan,0.0,-5.518424696642363,0.003090175253481888,2042,Shaheen (성장)
Gwangyang,0.0,-40.05362300062706,0.0510610368625851,2042,Shaheen (성장)
Incheon,0.0,-99.37775254867171,0.1234617068669583,2042,Shaheen (성장)
Jeonju,0.0,-3.0901049637865836,0.0017303789423030146,2042,Shaheen (성장)
Jinhae,0.0,-2.10148170783989,0.001176775461512208,2042,Shaheen (성장)
Naju,0.0,-2.674129295584544,0.0014974433154545318,2042,Shaheen (성장)
Onsan,826.7648549225506,-7476.915008697832,30.338111207504543,2042,Shaheen (성장)
Pohang,0.0,-1.4856273864358573,0.0008319129530302953,2042,Shaheen (성장)
Ulsan,98.55101910326377,-3797.744265363867,6.163960993268431,2042,Shaheen (성장)
Yeosu,455.7211914190439,-3024.3151204141745,17.18627548042246,2042,Shaheen (성장)
Busan/Iksan/Siheung,0.0,-10.571578049988654,0.004409138651060567,2043,Shaheen (성장)
Daesan,465.4926778083979,-7266.404446019894,22.31703659416047,2043,Shaheen (성장)
Gimcheon,0.0,0.0,0.0,2043,Shaheen (성장)
Gumi,0.0,-1.0372114313196414,0.00043259473557575364,2043,Shaheen (성장)
Gunsan,0.0,-7.409163436597607,0.003090175253481888,2043,Shaheen (성장)
Gwangyang,0.0,-54.356177230758874,0.0510610368625851,2043,Shaheen (성장)
Incheon,0.0,-134.79879160329673,0.1234617068669583,2043,Shaheen (성장)
Jeonju,0.0,-4.148845725278565,0.0017303789423030146,2043,Shaheen (성장)
Jinhae,0.0,-2.821497490376116,0.001176775461512208,2043,Shaheen (성장)
Naju,0.0,-3.5903472622602974,0.0014974433154545318,2043,Shaheen (성장)
Onsan,806.7624794002346,-10108.334803929001,36.227699555743165,2043,Shaheen (성장)
Pohang,0.0,-1.9946373679223868,0.0008319129530302953,2043,Shaheen (성장)
Ulsan,96.16672025399173,-5118.48655867218,6.866004543332007,2043,Shaheen (성장)
Yeosu,444.69567872342395,-4104.733985066346,20.432676440800073,2043,Shaheen (성장)
Busan/Iksan/Siheung,0.0,-15.449012160250696,0.004409138651060567,2044,Shaheen (성장)
Daesan,454.2145737253516,-10764.364913217907,25.71723043701974,2044,Shaheen (성장)
Gimcheon,0.0,0.0,0.0,2044,Shaheen (성장)
Gumi,0.0,-1.5157521364774267,0.00043259473557575364,2044,Shaheen (성장)
Gunsan,0.0,-10.827546794624869,0.003090175253481888,2044,Shaheen (성장)
Gwangyang,0.0,-80.21162145630119,0.0510610368625851,2044,Shaheen (성장)
Incheon,0.0,-198.83150677150041,0.1234617068669583,2044,Shaheen (성장)
Jeonju,0.0,-6.063008545909707,0.0017303789423030146,2044,Shaheen (성장)
Jinhae,0.0,-4.12325849866702,0.001176775461512208,2044,Shaheen (성장)
Naju,0.0,-5.246834318575708,0.0014974433154545318,2044,Shaheen (성장)
Onsan,787.215982437467,-15007.848693655422,42.12070055421573,2044,Shaheen (성장)
Pohang,0.0,-2.9149079547642813,0.0008319129530302953,2044,Shaheen (성장)
Ulsan,93.83676248654405,-7523.206776169599,7.568454883979865,2044,Shaheen (성장)
Yeosu,433.9214509234583,-6136.33553435213,23.68095848867342,2044,Shaheen (성장)
Busan/Iksan/Siheung,0.0,-27.198936815828322,0.004409138651060567,2045,Shaheen (성장)
Daesan,442.41039626418103,-19321.81069014858,29.115455219918523,2045,Shaheen (성장)
Gimcheon,0.0,0.0,0.0,2045,Shaheen (성장)
Gumi,0.0,-2.6685749328737223,0.00043259473557575364,2045,Shaheen (성장)
Gunsan,0.0,-19.06256258216625,0.003090175253481888,2045,Shaheen (성장)
Gwangyang,0.0,-142.49411966789393,0.0510610368625851,2045,Shaheen (성장)
Incheon,0.0,-353.07868671487404,0.1234617068669583,2045,Shaheen (성장)
Jeonju,0.0,-10.674299731494887,0.0017303789423030146,2045,Shaheen (성장)
Jinhae,0.0,-7.2592503790709415,0.001176775461512208,2045,Shaheen (성장)
Naju,0.0,-9.237374767639809,0.0014974433154545318,2045,Shaheen (성장)
Onsan,766.7577283555971,-27037.61890526477,48.01028890245438,2045,Shaheen (성장)
Pohang,0.0,-5.131874870911003,0.0008319129530302953,2045,Shaheen (성장)
Ulsan,91.39812255544696,-13343.204276619885,8.270498434043443,2045,Shaheen (성장)
Yeosu,422.6446533321811,-11155.432623019526,26.927359449051043,2045,Shaheen (성장)
Busan/Iksan/Siheung,0.0,-93.76641539560237,0.004409138651060567,2046,Shaheen (성장)
Daesan,427.4187226965541,-68197.19554178433,32.48646597928123,2046,Shaheen (성장)
Gimcheon,0.0,0.0,0.0,2046,Shaheen (성장)
Gumi,0.0,-9.199723774662873,0.00043259473557575364,2046,Shaheen (성장)
Gunsan,0.0,-65.7168393635107,0.003090175253481888,2046,Shaheen (성장)
Gwangyang,0.0,-495.3293604497433,0.0510610368625851,2046,Shaheen (성장)
Incheon,0.0,-1226.9029211269947,0.1234617068669583,2046,Shaheen (성장)
Jeonju,0.0,-36.798895098651485,0.0017303789423030146,2046,Shaheen (성장)
Jinhae,0.0,-25.02575343711722,0.001176775461512208,2046,Shaheen (성장)
Naju,0.0,-31.845197681525327,0.0014974433154545318,2046,Shaheen (성장)
Onsan,740.7751075446288,-95874.47818577045,53.852711625648624,2046,Shaheen (성장)
Pohang,0.0,-17.691776489736288,0.0008319129530302953,2046,Shaheen (성장)
Ulsan,88.30097377771556,-46396.74386230384,8.966919804611736,2046,Shaheen (성장)
Yeosu,408.32276864917424,-39967.2242263339,30.14776223750435,2046,Shaheen (성장)
Busan/Iksan/Siheung,0.0,3939507.187937505,0.004409138651060567,2047,Shaheen (성장)
Daesan,415.9700069100417,2897040541.6307178,35.857476738643946,2047,Shaheen (성장)
Gimcheon,0.0,0.0,0.0,2047,Shaheen (성장)
Gumi,0.0,386517.68636367976,0.00043259473557575364,2047,Shaheen (성장)
Gunsan,0.0,2761030.8013675734,0.003090175253481888,2047,Shaheen (성장)
Gwangyang,0.0,20880806.23126357,0.0510610368625851,2047,Shaheen (성장)
Incheon,0.0,51712982.814899154,0.1234617068669583,2047,Shaheen (성장)
Jeonju,0.0,1546070.7454547186,0.0017303789423030146,2047,Shaheen (성장)
Jinhae,0.0,1051433.3424512977,0.001176775461512208,2047,Shaheen (성장)
Naju,0.0,1337945.8374127375,0.0014974433154545318,2047,Shaheen (성장)
Onsan,720.9329171639737,4081723623.712664,59.6951343488429,2047,Shaheen (성장)
Pohang,0.0,743303.2430070761,0.0008319129530302953,2047,Shaheen (성장)
Ulsan,85.93576912295592,1957069275.432486,9.663341175180033,2047,Shaheen (성장)
Yeosu,397.38555163178796,1709460342.4778514,33.36816502595767,2047,Shaheen (성장)
Busan/Iksan/Siheung,0.0,3939507.187937505,0.004409138651060567,2048,Shaheen (성장)
Daesan,404.5212911235247,2897040608.500535,39.22848749800666,2048,Shaheen (성장)
Gimcheon,0.0,0.0,0.0,2048,Shaheen (성장)
Gumi,0.0,386517.68636367976,0.00043259473557575364,2048,Shaheen (성장)
Gunsan,0.0,2761030.8013675734,0.003090175253481888,2048,Shaheen (성장)
Gwangyang,0.0,20880806.22744457,0.0510610368625851,2048,Shaheen (성장)
Incheon,0.0,51712982.80585416,0.1234617068669583,2048,Shaheen (성장)
Jeonju,0.0,1546070.7454547186,0.0017303789423030146,2048,Shaheen (성장)
Jinhae,0.0,1051433.3424512977,0.001176775461512208,2048,Shaheen (성장)
Naju,0.0,1337945.8374127375,0.0014974433154545318,2048,Shaheen (성장)
Onsan,701.0907267833103,4081723739.687141,65.53755707203715,2048,Shaheen (성장)
