year,scenario,technology,emissions_tco2,abatement_tco2
2036,shaheen_ncc_h2_20c,NCC-H2,581507.0127564878,6717828.5464859735
2036,shaheen_ncc_h2_20c,RDH,5460073.342823494,-567320.1567132553
2037,shaheen_ncc_elec_15c,Heat_Pump,125289.67766135719,299051.91168088396
2037,shaheen_ncc_elec_15c,NCC-Electricity,29115838.679022495,17071890.99314171
2037,shaheen_ncc_elec_15c,RDH,4852434.02009274,40319.166017499025
2037,shaheen_ncc_elec_20c,Heat_Pump,125289.67766135719,299051.91168088396
2037,shaheen_ncc_elec_20c,NCC-Electricity,29115838.679022495,17071890.99314171
2037,shaheen_ncc_elec_20c,RDH,4852434.02009274,40319.166017499025
2037,shaheen_ncc_h2_15c,Baseline,24259518.84392903,0.0
2037,shaheen_ncc_h2_15c,Heat_Pump,125289.67766135719,299051.91168088396
2037,shaheen_ncc_h2_15c,NCC-H2,2266063.9262706125,27765373.13588519
2037,shaheen_ncc_h2_15c,RDH,4852434.02009274,40319.166017499025
2037,shaheen_ncc_h2_20c,Baseline,46644834.95561292,0.0
2037,shaheen_ncc_h2_20c,Heat_Pump,125289.67766135719,299051.91168088396
2037,shaheen_ncc_h2_20c,NCC-H2,516792.4008440011,6782543.158398461
2037,shaheen_ncc_h2_20c,RDH,4852434.02009274,40319.166017499025
2038,shaheen_ncc_elec_15c,Heat_Pump,109656.48442901434,314685.1049132268
2038,shaheen_ncc_elec_15c,NCC-Electricity,25482869.541523714,20704860.130640488
2038,shaheen_ncc_elec_15c,RDH,4246964.837800309,645788.348309929
2038,shaheen_ncc_elec_20c,Heat_Pump,109656.48442901434,314685.1049132268
2038,shaheen_ncc_elec_20c,NCC-Electricity,25482869.541523714,20704860.130640488
2038,shaheen_ncc_elec_20c,RDH,4246964.837800309,645788.348309929
2038,shaheen_ncc_h2_15c,Baseline,22458611.957593314,0.0
2038,shaheen_ncc_h2_15c,Heat_Pump,109656.48442901434,314685.1049132268
2038,shaheen_ncc_h2_15c,NCC-H2,2035426.5292269909,28693608.549102265
2038,shaheen_ncc_h2_15c,RDH,4246964.837800309,645788.348309929
2038,shaheen_ncc_h2_20c,Baseline,45479286.99132733,0.0
2038,shaheen_ncc_h2_20c,Heat_Pump,109656.48442901434,314685.1049132268
2038,shaheen_ncc_h2_20c,NCC-H2,452308.9125454876,6847026.646696974
2038,shaheen_ncc_h2_20c,RDH,4246964.837800309,645788.348309929
2039,shaheen_ncc_elec_15c,Heat_Pump,94023.29119667146,330318.2981455696
2039,shaheen_ncc_elec_15c,NCC-Electricity,21849900.404024933,24337829.268139273
2039,shaheen_ncc_elec_15c,RDH,3641495.655507879,1251257.5306023597
2039,shaheen_ncc_elec_20c,Heat_Pump,94023.29119667146,330318.2981455696
2039,shaheen_ncc_elec_20c,NCC-Electricity,21849900.404024933,24337829.268139273
2039,shaheen_ncc_elec_20c,RDH,3641495.655507879,1251257.5306023597
2039,shaheen_ncc_h2_15c,Baseline,20181330.12480065,0.0
2039,shaheen_ncc_h2_15c,Heat_Pump,94023.29119667146,330318.2981455696
2039,shaheen_ncc_h2_15c,NCC-H2,1821535.820753881,30098520.260798346
2039,shaheen_ncc_h2_15c,RDH,3641495.655507879,1251257.5306023597
2039,shaheen_ncc_h2_20c,Baseline,44313739.02704174,0.0
2039,shaheen_ncc_h2_20c,Heat_Pump,94023.29119667146,330318.2981455696
2039,shaheen_ncc_h2_20c,NCC-H2,387825.424246974,6911510.1349954875
2039,shaheen_ncc_h2_20c,RDH,3641495.655507879,1251257.5306023597
2040,shaheen_ncc_elec_15c,Heat_Pump,78334.06501367503,346007.5243285661
2040,shaheen_ncc_elec_15c,NCC-Electricity,18203909.87176809,27983819.800396115
2040,shaheen_ncc_elec_15c,RDH,3033856.3327771244,1858896.853333114
2040,shaheen_ncc_elec_20c,Heat_Pump,78334.06501367503,346007.5243285661
2040,shaheen_ncc_elec_20c,NCC-Electricity,18203909.87176809,27983819.800396115
2040,shaheen_ncc_elec_20c,RDH,3033856.3327771244,1858896.853333114
2040,shaheen_ncc_h2_15c,Baseline,19062584.156724423,0.0
2040,shaheen_ncc_h2_15c,Heat_Pump,78334.06501367503,346007.5243285661
2040,shaheen_ncc_h2_15c,NCC-H2,1517584.6706876794,30402471.410864547
2040,shaheen_ncc_h2_15c,RDH,3033856.3327771244,1858896.853333114
2040,shaheen_ncc_h2_20c,Baseline,41636350.965290554,0.0
2040,shaheen_ncc_h2_20c,Heat_Pump,78334.06501367503,346007.5243285661
2040,shaheen_ncc_h2_20c,NCC-H2,390660.1110803732,8434668.94486783
2040,shaheen_ncc_h2_20c,RDH,3033856.3327771244,1858896.853333114
2041,shaheen_ncc_elec_15c,Heat_Pump,70545.48487283038,353796.1044694108
2041,shaheen_ncc_elec_15c,NCC-Electricity,16393936.00039773,29793793.671766475
2041,shaheen_ncc_elec_15c,RDH,2732206.8118500714,2160546.374260167
2041,shaheen_ncc_elec_20c,Heat_Pump,70545.48487283038,353796.1044694108
2041,shaheen_ncc_elec_20c,NCC-Electricity,16393936.00039773,29793793.671766475
2041,shaheen_ncc_elec_20c,RDH,2732206.8118500714,2160546.374260167
2041,shaheen_ncc_h2_15c,Baseline,17053143.940841928,0.0
2041,shaheen_ncc_h2_15c,Heat_Pump,70545.48487283038,353796.1044694108
2041,shaheen_ncc_h2_15c,NCC-H2,1438802.6322711788,31981630.55723726
2041,shaheen_ncc_h2_15c,RDH,2732206.8118500714,2160546.374260167
2041,shaheen_ncc_h2_20c,Baseline,38042921.46289443,0.0
2041,shaheen_ncc_h2_20c,Heat_Pump,70545.48487283038,353796.1044694108
2041,shaheen_ncc_h2_20c,NCC-H2,473483.7010674753,11403832.34829221
2041,shaheen_ncc_h2_20c,RDH,2732206.8118500714,2160546.374260167
2042,shaheen_ncc_elec_15c,Heat_Pump,62700.871781332164,361640.717560909
2042,shaheen_ncc_elec_15c,NCC-Electricity,14570940.734269308,31616788.9378949
2042,shaheen_ncc_elec_15c,RDH,2428387.1504846937,2464366.0356255444
2042,shaheen_ncc_elec_20c,Heat_Pump,62700.871781332164,361640.717560909
2042,shaheen_ncc_elec_20c,NCC-Electricity,14570940.734269308,31616788.9378949
2042,shaheen_ncc_elec_20c,RDH,2428387.1504846937,2464366.0356255444
2042,shaheen_ncc_h2_15c,Baseline,14079900.554024668,0.0
2042,shaheen_ncc_h2_15c,Heat_Pump,62700.871781332164,361640.717560909
2042,shaheen_ncc_h2_15c,NCC-H2,1385448.5579993506,34531488.39670633
2042,shaheen_ncc_h2_15c,RDH,2428387.1504846937,2464366.0356255444
2042,shaheen_ncc_h2_20c,Baseline,33561957.35020932,0.0
2042,shaheen_ncc_h2_20c,Heat_Pump,62700.871781332164,361640.717560909
2042,shaheen_ncc_h2_20c,NCC-H2,560809.7723288768,15267133.885169003
2042,shaheen_ncc_h2_20c,RDH,2428387.1504846937,2464366.0356255444
2043,shaheen_ncc_elec_15c,Heat_Pump,54856.25868983394,369485.3306524072
2043,shaheen_ncc_elec_15c,NCC-Electricity,12747945.468140887,33439784.204023317
2043,shaheen_ncc_elec_15c,RDH,2124567.4891193165,2768185.6969909216
2043,shaheen_ncc_elec_20c,Heat_Pump,54856.25868983394,369485.3306524072
2043,shaheen_ncc_elec_20c,NCC-Electricity,12747945.468140887,33439784.204023317
2043,shaheen_ncc_elec_20c,RDH,2124567.4891193165,2768185.6969909216
2043,shaheen_ncc_h2_15c,Baseline,13526097.665762598,0.0
2043,shaheen_ncc_h2_15c,Heat_Pump,54856.25868983394,369485.3306524072
2043,shaheen_ncc_h2_15c,NCC-H2,1212112.7241120324,34704824.23059365
2043,shaheen_ncc_h2_15c,RDH,2124567.4891193165,2768185.6969909216
2043,shaheen_ncc_h2_20c,Baseline,29160732.843958843,0.0
2043,shaheen_ncc_h2_20c,Heat_Pump,54856.25868983394,369485.3306524072
2043,shaheen_ncc_h2_20c,NCC-H2,610745.0894509796,19091526.50134981
2043,shaheen_ncc_h2_20c,RDH,2124567.4891193165,2768185.6969909216
2044,shaheen_ncc_elec_15c,Heat_Pump,47067.67854898929,377273.9107932518
2044,shaheen_ncc_elec_15c,NCC-Electricity,10937971.596770527,35249758.07539368
2044,shaheen_ncc_elec_15c,RDH,1822917.9681922637,3069835.2179179746
2044,shaheen_ncc_elec_20c,Heat_Pump,47067.67854898929,377273.9107932518
