location,book_value_musd,total_stranded_musd,retirement_loss_musd,retrofit_capex_musd,operational_loss_musd,capacity_kt,total_emissions_kt,stranding_rate_pct,scenario
Pohang,0.0,0.0,0.0,0.0,0.0,100,0.3627140475212088,,scenarios_restructure_25pct_ncc_h2
Ulsan,4432.613333333334,3290.902679825727,563.0666666666666,1714.8200131590604,1013.016,24105,7967.973640842497,74.24294501571067,scenarios_restructure_25pct_ncc_h2
Yeosu,5759.106666666667,8021.4329790318625,1210.1333333333334,5512.975645698529,1298.324,37216,21054.081726682656,139.28259091743155,scenarios_restructure_25pct_ncc_h2
진해,5.333333333333333,1.5999999999999999,0.0,0.0,1.5999999999999999,100,0.5130741012193226,30.0,scenarios_restructure_25pct_ncc_h2
Busan/Iksan/Siheung,0.0,0.0,0.0,0.0,0.0,530,1.9223844518624071,,scenarios_restructure_25pct_ncc_elec
Daesan,3940.84,5794.202264372993,828.9733333333334,4190.992931039659,774.236,27424,17732.266272983074,147.0296247595181,scenarios_restructure_25pct_ncc_elec
Gimcheon,0.0,0.0,0.0,0.0,0.0,0,0.0,,scenarios_restructure_25pct_ncc_elec
Gumi,0.0,0.0,0.0,0.0,0.0,52,0.1886113047110286,,scenarios_restructure_25pct_ncc_elec
Gunsan,40.8,40.8,40.8,0.0,0.0,330,1.347316410518103,100.0,scenarios_restructure_25pct_ncc_elec
Gwangyang,0.0,0.0,0.0,0.0,0.0,390,34.16410705106489,,scenarios_restructure_25pct_ncc_elec
Incheon,468.0,88.0,88.0,0.0,0.0,2100,82.01705545999384,18.803418803418804,scenarios_restructure_25pct_ncc_elec
Jeonju,16.90666666666667,9.706666666666669,9.706666666666669,0.0,0.0,208,0.7544452188441144,57.413249211356465,scenarios_restructure_25pct_ncc_elec
Naju,0.0,0.0,0.0,0.0,0.0,180,0.6528852855381759,,scenarios_restructure_25pct_ncc_elec
Onsan,1217.64,1978.9144959647,394.1733333333334,1352.9011626313666,231.84,7331,5132.071603998333,162.52049012554613,scenarios_restructure_25pct_ncc_elec
Pohang,0.0,0.0,0.0,0.0,0.0,100,0.3627140475212088,,scenarios_restructure_25pct_ncc_elec
Ulsan,4432.613333333334,3651.012552466339,771.0666666666666,1865.0018857996722,1014.944,24105,7967.973640842497,82.3670435002904,scenarios_restructure_25pct_ncc_elec
Yeosu,5759.106666666667,8516.752724940074,1786.6533333333334,6004.86339160674,725.236,37216,21054.081726682656,147.8832259564575,scenarios_restructure_25pct_ncc_elec
진해,5.333333333333333,0.0,0.0,0.0,0.0,100,0.5130741012193226,0.0,scenarios_restructure_25pct_ncc_elec
Busan/Iksan/Siheung,0.0,0.0,0.0,0.0,0.0,530,1.9223844518624071,,scenarios_restructure_40pct_ncc_h2
Daesan,3940.84,4519.9618271581985,354.20000000000005,3340.9738271581987,824.788,27424,17732.266272983074,114.69539050451675,scenarios_restructure_40pct_ncc_h2
Gimcheon,0.0,0.0,0.0,0.0,0.0,0,0.0,,scenarios_restructure_40pct_ncc_h2
Gumi,0.0,0.0,0.0,0.0,0.0,52,0.1886113047110286,,scenarios_restructure_40pct_ncc_h2
Gunsan,40.8,12.239999999999998,0.0,0.0,12.239999999999998,330,1.347316410518103,30.0,scenarios_restructure_40pct_ncc_h2
Gwangyang,0.0,0.0,0.0,0.0,0.0,390,34.16410705106489,,scenarios_restructure_40pct_ncc_h2
Incheon,468.0,88.0,88.0,0.0,0.0,2100,82.01705545999384,18.803418803418804,scenarios_restructure_40pct_ncc_h2
Jeonju,16.90666666666667,9.946666666666669,9.706666666666669,0.0,0.24,208,0.7544452188441144,58.83280757097792,scenarios_restructure_40pct_ncc_h2
Naju,0.0,0.0,0.0,0.0,0.0,180,0.6528852855381759,,scenarios_restructure_40pct_ncc_h2
Onsan,1217.64,1586.4517964670206,225.5066666666667,1078.5051298003536,282.44,7331,5132.071603998333,130.28906708608622,scenarios_restructure_40pct_ncc_h2
Pohang,0.0,0.0,0.0,0.0,0.0,100,0.3627140475212088,,scenarios_restructure_40pct_ncc_h2
