Year,NCC_HT_Baseline_Production_kt,NCC_HT_Alternative_Production_kt,NCC_HT_Baseline_Emissions_tCO2,NCC_HT_Alternative_Emissions_tCO2,NCC_HT_Total_Emissions_tCO2,NCC_HT_Abatement_tCO2,NCC_HT_Alternative_Share_pct,NCC_MT_Baseline_Production_kt,NCC_MT_Alternative_Production_kt,NCC_MT_Baseline_Emissions_tCO2,NCC_MT_Alternative_Emissions_tCO2,NCC_MT_Total_Emissions_tCO2,NCC_MT_Abatement_tCO2,NCC_MT_Alternative_Share_pct,NCC_LT_Baseline_Production_kt,NCC_LT_Alternative_Production_kt,NCC_LT_Baseline_Emissions_tCO2,NCC_LT_Alternative_Emissions_tCO2,NCC_LT_Total_Emissions_tCO2,NCC_LT_Abatement_tCO2,NCC_LT_Alternative_Share_pct,BTX_HT_Baseline_Production_kt,BTX_HT_Alternative_Production_kt,BTX_HT_Baseline_Emissions_tCO2,BTX_HT_Alternative_Emissions_tCO2,BTX_HT_Total_Emissions_tCO2,BTX_HT_Abatement_tCO2,BTX_HT_Alternative_Share_pct,BTX_MT_Baseline_Production_kt,BTX_MT_Alternative_Production_kt,BTX_MT_Baseline_Emissions_tCO2,BTX_MT_Alternative_Emissions_tCO2,BTX_MT_Total_Emissions_tCO2,BTX_MT_Abatement_tCO2,BTX_MT_Alternative_Share_pct,BTX_LT_Baseline_Production_kt,BTX_LT_Alternative_Production_kt,BTX_LT_Baseline_Emissions_tCO2,BTX_LT_Alternative_Emissions_tCO2,BTX_LT_Total_Emissions_tCO2,BTX_LT_Abatement_tCO2,BTX_LT_Alternative_Share_pct,C4_HT_Baseline_Production_kt,C4_HT_Alternative_Production_kt,C4_HT_Baseline_Emissions_tCO2,C4_HT_Alternative_Emissions_tCO2,C4_HT_Total_Emissions_tCO2,C4_HT_Abatement_tCO2,C4_HT_Alternative_Share_pct,C4_MT_Baseline_Production_kt,C4_MT_Alternative_Production_kt,C4_MT_Baseline_Emissions_tCO2,C4_MT_Alternative_Emissions_tCO2,C4_MT_Total_Emissions_tCO2,C4_MT_Abatement_tCO2,C4_MT_Alternative_Share_pct,C4_LT_Baseline_Production_kt,C4_LT_Alternative_Production_kt,C4_LT_Baseline_Emissions_tCO2,C4_LT_Alternative_Emissions_tCO2,C4_LT_Total_Emissions_tCO2,C4_LT_Abatement_tCO2,C4_LT_Alternative_Share_pct,Total_Emissions_MtCO2,Total_Abatement_MtCO2,Baseline_Emissions_MtCO2,Target_Emissions_MtCO2,Emission_Reduction_from_Baseline_pct,Target_Achievement_pct
2033,3500.0,0.0,9975000.0,0.0,9975000.0,0.0,0.0,0.0,2800.0,0.0,1288000.0,1288000.0,2156000.0,100.0,365.776666666663,834.223333333337,237754.83333333096,-83422.3333333329,154332.49999999805,625667.500000002,69.51861111111141,1200.0,0.0,1824000.0,0.0,1824000.0,0.0,0.0,0,800.0,0.0,64000.0,64000.0,648000.0,100.0,0,1100.0,0.0,-374000.0,-374000.0,902000.0,100.0,450.0,0.0,994500.0,0.0,994500.0,0.0,0.0,0.0,350.0,0.0,56000.0,56000.0,287000.0,100.0,0.0,200.0,0.0,-44000.0,-44000.0,152000.0,100.0,13.937832499999999,4.770667500000002,18.7085,13.937832499999999,25.50000000000001,100.0
2034,3221.799999999996,278.200000000004,9182129.999999989,695500.0000000101,9877629.999999998,97370.0000000014,7.948571428571544,0.0,2800.0,0.0,1288000.0,1288000.0,2156000.0,100.0,0.0,1200.0,0.0,-120000.0,-120000.0,900000.0,100.0,840.0,360.0,1276800.0,288000.0,1564800.0,259200.0,30.0,0,800.0,0.0,64000.0,64000.0,648000.0,100.0,0,1100.0,0.0,-374000.0,-374000.0,902000.0,100.0,409.5,40.5,904995.0,65610.0,970605.0,23895.0,9.0,0.0,350.0,0.0,56000.0,56000.0,287000.0,100.0,0.0,200.0,0.0,-44000.0,-44000.0,152000.0,100.0,13.283034999999998,5.425465000000002,18.7085,13.283035,29.00000000000001,100.00000000000003
2035,730.3300000000099,2769.66999999999,2081440.5000000284,7226108.999999973,9307549.500000002,667450.4999999991,79.13342857142828,0.0,2800.0,0.0,1288000.0,1288000.0,2156000.0,100.0,0.0,1200.0,0.0,-120000.0,-120000.0,900000.0,100.0,748.8,451.2,1138176.0,359808.0,1497984.0,326016.0,37.6,0,800.0,0.0,64000.0,64000.0,648000.0,100.0,0,1100.0,0.0,-374000.0,-374000.0,902000.0,100.0,381.6,68.4,843336.0,109368.00000000003,952704.0,41796.0,15.200000000000003,0.0,350.0,0.0,56000.0,56000.0,287000.0,100.0,0.0,200.0,0.0,-44000.0,-44000.0,152000.0,100.0,12.628237500000003,6.080262499999999,18.7085,12.628237500000001,32.49999999999999,99.99999999999999
2036,140.0,3360.0,399000.0,8778000.0,9177000.0,798000.0,96.0,0.0,2800.0,0.0,1288000.0,1288000.0,2156000.0,100.0,0.0,1200.0,0.0,-120000.0,-120000.0,900000.0,100.0,657.6,542.4,999552.0,431616.0,1431168.0,392832.0,45.199999999999996,0,800.0,0.0,64000.0,64000.0,648000.0,100.0,0,1100.0,0.0,-374000.0,-374000.0,902000.0,100.0,353.7,96.3,781676.9999999999,153125.99999999997,934802.9999999999,59697.0,21.4,0.0,350.0,0.0,56000.0,56000.0,287000.0,100.0,0.0,200.0,0.0,-44000.0,-44000.0,152000.0,100.0,12.412971,6.295529,18.7085,11.97344,33.650634738220596,93.47398538394607
2037,0.0,3500.0,0.0,9114000.0,9114000.0,861000.0,100.0,0.0,2800.0,0.0,1288000.0,1288000.0,2156000.0,100.0,0.0,1200.0,0.0,-120000.0,-120000.0,900000.0,100.0,566.4,633.6,860928.0,503424.0,1364352.0,459648.0,52.800000000000004,0,800.0,0.0,64000.0,64000.0,648000.0,100.0,0,1100.0,0.0,-374000.0,-374000.0,902000.0,100.0,325.8,124.2,720018.0,196884.0,916902.0,77598.0,27.6,0.0,350.0,0.0,56000.0,56000.0,287000.0,100.0,0.0,200.0,0.0,-44000.0,-44000.0,152000.0,100.0,12.265254,6.443246,18.7085,11.318642500000001,34.44020632332897,87.19039575526321
2038,0.0,3500.0,0.0,9072000.0,9072000.0,903000.0,100.0,0.0,2800.0,0.0,1288000.0,1288000.0,2156000.0,100.0,0.0,1200.0,0.0,-120000.0,-120000.0,900000.0,100.0,475.20000000000005,724.8,722304.0000000001,575232.0,1297536.0,526464.0,60.4,0,800.0,0.0,64000.0,64000.0,648000.0,100.0,0,1100.0,0.0,-374000.0,-374000.0,902000.0,100.0,297.9,152.1,658358.9999999999,240641.99999999994,899000.9999999998,95499.0,33.8,0.0,350.0,0.0,56000.0,56000.0,287000.0,100.0,0.0,200.0,0.0,-44000.0,-44000.0,152000.0,100.0,12.138537,6.569963,18.7085,10.663845,35.11752946521634,81.66867317492172
2039,0.0,3500.0,0.0,9030000.0,9030000.0,945000.0,100.0,0.0,2800.0,0.0,1288000.0,1288000.0,2156000.0,100.0,0.0,1200.0,0.0,-120000.0,-120000.0,900000.0,100.0,384.0,816.0,583680.0000000001,647040.0,1230720.0,593280.0,68.0,0,800.0,0.0,64000.0,64000.0,648000.0,100.0,0,1100.0,0.0,-374000.0,-374000.0,902000.0,100.0,270.0,180.0,596700.0,284400.0,881100.0,113400.0,40.0,0.0,350.0,0.0,56000.0,56000.0,287000.0,100.0,0.0,200.0,0.0,-44000.0,-44000.0,152000.0,100.0,12.01182,6.69668,18.7085,10.0090475,35.79485260710372,76.9781776496854
2040,0.0,3500.0,0.0,8988000.0,8988000.0,987000.0,100.0,0.0,2800.0,0.0,1288000.0,1288000.0,2156000.0,100.0,0.0,1200.0,0.0,-120000.0,-120000.0,900000.0,100.0,292.79999999999995,907.2,445055.99999999994,718848.0000000002,1163904.0000000002,660096.0,75.6,0,800.0,0.0,64000.0,64000.0,648000.0,100.0,0,1100.0,0.0,-374000.0,-374000.0,902000.0,100.0,242.1,207.9,535040.9999999999,328158.0,863198.9999999999,131301.0,46.2,0.0,350.0,0.0,56000.0,56000.0,287000.0,100.0,0.0,200.0,0.0,-44000.0,-44000.0,152000.0,100.0,11.885103,6.823397,18.7085,9.35425,36.4721757489911,72.9443514979822
2041,0.0,3500.0,0.0,8946000.0,8946000.0,1029000.0,100.0,0.0,2800.0,0.0,1288000.0,1288000.0,2156000.0,100.0,0.0,1200.0,0.0,-120000.0,-120000.0,900000.0,100.0,201.60000000000002,998.4,306432.0,790656.0,1097088.0,726912.0,83.2,0,800.0,0.0,64000.0,64000.0,648000.0,100.0,0,1100.0,0.0,-374000.0,-374000.0,902000.0,100.0,214.2,235.8,473381.99999999994,371916.00000000006,845298.0,149202.0,52.400000000000006,0.0,350.0,0.0,56000.0,56000.0,287000.0,100.0,0.0,200.0,0.0,-44000.0,-44000.0,152000.0,100.0,11.758386,6.950114,18.7085,8.792995,37.149498890878476,70.09339413373297
2042,0.0,3500.0,0.0,8904000.0,8904000.0,1071000.0,100.0,0.0,2800.0,0.0,1288000.0,1288000.0,2156000.0,100.0,0.0,1200.0,0.0,-120000.0,-120000.0,900000.0,100.0,110.40000000000009,1089.6,167808.00000000015,862463.9999999998,1030271.9999999999,793728.0,90.8,0,800.0,0.0,64000.0,64000.0,648000.0,100.0,0,1100.0,0.0,-374000.0,-374000.0,902000.0,100.0,186.3,263.7,411723.0,415673.9999999999,827396.9999999999,167103.0,58.599999999999994,0.0,350.0,0.0,56000.0,56000.0,287000.0,100.0,0.0,200.0,0.0,-44000.0,-44000.0,152000.0,100.0,11.631669,7.076831,18.7085,8.23174,37.826822032765854,67.54789648708189
2043,0.0,3500.0,0.0,8862000.0,8862000.0,1113000.0,100.0,0.0,2800.0,0.0,1288000.0,1288000.0,2156000.0,100.0,0.0,1200.0,0.0,-120000.0,-120000.0,900000.0,100.0,19.200000000000045,1180.8,29184.00000000007,934272.0,963456.0000000001,860544.0,98.4,0,800.0,0.0,64000.0,64000.0,648000.0,100.0,0,1100.0,0.0,-374000.0,-374000.0,902000.0,100.0,158.39999999999998,291.6,350063.99999999994,459432.0,809496.0,185004.0,64.8,0.0,350.0,0.0,56000.0,56000.0,287000.0,100.0,0.0,200.0,0.0,-44000.0,-44000.0,152000.0,100.0,11.504952,7.203548,18.7085,7.670485,38.50414517465323,65.26126300788682
2044,0.0,3500.0,0.0,8820000.0,8820000.0,1155000.0,100.0,0.0,2800.0,0.0,1288000.0,1288000.0,2156000.0,100.0,0.0,1200.0,0.0,-120000.0,-120000.0,900000.0,100.0,0.0,1200.0,0.0,945600.0,945600.0,878400.0,100.0,0,800.0,0.0,64000.0,64000.0,648000.0,100.0,0,1100.0,0.0,-374000.0,-374000.0,902000.0,100.0,130.5,319.5,288405.0,503190.0,791595.0,202905.0,71.0,0.0,350.0,0.0,56000.0,56000.0,287000.0,100.0,0.0,200.0,0.0,-44000.0,-44000.0,152000.0,100.0,11.427195,7.281305,18.7085,7.10923,38.9197690889168,62.77382111115614
2045,0.0,3500.0,0.0,8778000.0,8778000.0,1197000.0,100.0,0.0,2800.0,0.0,1288000.0,1288000.0,2156000.0,100.0,0.0,1200.0,0.0,-120000.0,-120000.0,900000.0,100.0,0.0,1200.0,0.0,940800.0,940800.0,883200.0,100.0,0,800.0,0.0,64000.0,64000.0,648000.0,100.0,0,1100.0,0.0,-374000.0,-374000.0,902000.0,100.0,102.60000000000002,347.4,226746.00000000003,546947.9999999999,773693.9999999999,220806.0,77.19999999999999,0.0,350.0,0.0,56000.0,56000.0,287000.0,100.0,0.0,200.0,0.0,-44000.0,-44000.0,152000.0,100.0,11.362494,7.346006,18.7085,6.547975,39.26560654248069,60.40862544997029
2046,0.0,3500.0,0.0,8750000.0,8750000.0,1225000.0,100.0,0.0,2800.0,0.0,1288000.0,1288000.0,2156000.0,100.0,0.0,1200.0,0.0,-120000.0,-120000.0,900000.0,100.0,0.0,1200.0,0.0,936000.0,936000.0,888000.0,100.0,0,800.0,0.0,64000.0,64000.0,648000.0,100.0,0,1100.0,0.0,-374000.0,-374000.0,902000.0,100.0,74.69999999999999,375.3,165086.99999999997,590706.0,755793.0,238707.0,83.4,0.0,350.0,0.0,56000.0,56000.0,287000.0,100.0,0.0,200.0,0.0,-44000.0,-44000.0,152000.0,100.0,11.311793,7.396707,18.7085,5.98672,39.53661170056392,58.14207603024105
2047,0.0,3500.0,0.0,8750000.0,8750000.0,1225000.0,100.0,0.0,2800.0,0.0,1288000.0,1288000.0,2156000.0,100.0,0.0,1200.0,0.0,-120000.0,-120000.0,900000.0,100.0,0.0,1200.0,0.0,931200.0,931200.0,892800.0,100.0,0,800.0,0.0,64000.0,64000.0,648000.0,100.0,0,1100.0,0.0,-374000.0,-374000.0,902000.0,100.0,46.80000000000001,403.2,103428.00000000003,634464.0,737892.0,256608.0,89.60000000000001,0.0,350.0,0.0,56000.0,56000.0,287000.0,100.0,0.0,200.0,0.0,-44000.0,-44000.0,152000.0,100.0,11.289092,7.419408,18.7085,5.425465000000001,39.65795226768581,55.856270799557485
2048,0.0,3500.0,0.0,8750000.0,8750000.0,1225000.0,100.0,0.0,2800.0,0.0,1288000.0,1288000.0,2156000.0,100.0,0.0,1200.0,0.0,-120000.0,-120000.0,900000.0,100.0,0.0,1200.0,0.0,926400.0,926400.0,897600.0,100.0,0,800.0,0.0,64000.0,64000.0,648000.0,100.0,0,1100.0,0.0,-374000.0,-374000.0,902000.0,100.0,18.899999999999977,431.1,41768.99999999995,678222.0,719991.0,274509.0,95.80000000000001,0.0,350.0,0.0,56000.0,56000.0,287000.0,100.0,0.0,200.0,0.0,-44000.0,-44000.0,152000.0,100.0,11.266391,7.442109,18.7085,4.86421,39.779292834807706,53.75580112811852
2049,0.0,3500.0,0.0,8750000.0,8750000.0,1225000.0,100.0,0.0,2800.0,0.0,1288000.0,1288000.0,2156000.0,100.0,0.0,1200.0,0.0,-120000.0,-120000.0,900000.0,100.0,0.0,1200.0,0.0,921600.0,921600.0,902400.0,100.0,0,800.0,0.0,64000.0,64000.0,648000.0,100.0,0,1100.0,0.0,-374000.0,-374000.0,902000.0,100.0,0.0,450.0,0.0,707400.0,707400.0,287100.0,100.0,0.0,350.0,0.0,56000.0,56000.0,287000.0,100.0,0.0,200.0,0.0,-44000.0,-44000.0,152000.0,100.0,11.249,7.4595,18.7085,4.302955,39.872250581286586,51.782143612060494
2050,0.0,3500.0,0.0,8750000.0,8750000.0,1225000.0,100.0,0.0,2800.0,0.0,1288000.0,1288000.0,2156000.0,100.0,0.0,1200.0,0.0,-120000.0,-120000.0,900000.0,100.0,0.0,1200.0,0.0,916800.0,916800.0,907200.0,100.0,0,800.0,0.0,64000.0,64000.0,648000.0,100.0,0,1100.0,0.0,-374000.0,-374000.0,902000.0,100.0,0.0,450.0,0.0,705960.0,705960.0,288540.0,100.0,0.0,350.0,0.0,56000.0,56000.0,287000.0,100.0,0.0,200.00000000000006,0.0,-43999.999999999985,-43999.999999999985,152000.00000000003,100.00000000000003,11.24276,7.46574,18.7085,3.7417000000000002,39.90560440441511,49.882005505518876
