Company,CapacityTransitioned_kt,AbatementMtCO2,AnnualCostUSD,TechID,CostEffectiveness_USD_per_tCO2,BaselineEmissions_ktCO2,EmissionReductionShare
KPX케미칼,298.0,0.01943901303732835,-1341291.8995756563,1,-69000.0,68.20706328887135,0.28500000000000025
피유코어,220.0,0.01435094922218871,-990215.4963310211,1,-69000.0,50.35420779715334,0.28500000000000014
한국바스프,614.0,0.042117571275638324,-2906112.418019044,1,-69000.0,147.7809518443449,0.2850000000000002
HD현대OCI,136.0,0.008871495882807572,-612133.2159137225,1,-69000.0,31.128055729149345,0.2850000000000003
한국알콜산업,193.0,0.012589696363101914,-868689.0490540321,1,-69000.0,44.17437320386634,0.2850000000000002
한국트린지오,43.0,0.0028049582570641557,-193542.11973742675,1,-69000.0,9.841958796716334,0.2850000000000001
롯데이네오스화학,1170.0,0.07632095722709453,-5266146.048669523,1,-69000.0,267.7928323757701,0.2850000000000002
오리온엔지니어드카본즈,170.0,0.011089369853509456,-765166.5198921524,1,-68999.99999999999,38.91006966143667,0.28500000000000014
코리아피티지,30.0,0.0019569476212075525,-135029.3858633211,1,-68999.99999999999,6.866482881430002,0.28500000000000025
삼양화성,120.0,0.00782779048483021,-540117.5434532844,1,-68999.99999999999,27.46593152572001,0.28500000000000025
삼양이노켐,180.0,0.011741685727245307,-810176.3151799261,1,-68999.99999999999,41.19889728858001,0.28500000000000014
한솔케미칼,88.0,0.005740379688875487,-396086.19853240857,1,-68999.99999999999,20.14168311886134,0.28500000000000025
이수화학,180.0,0.011741685727245307,-810176.3151799261,1,-68999.99999999999,41.19889728858001,0.28500000000000014
Bluecube케미칼,52.0,0.0033920425434264237,-234050.93549642322,1,-68999.99999999999,11.901903661145337,0.28500000000000025
구다우케미칼,30.0,0.0019569476212075525,-135029.3858633211,1,-68999.99999999999,6.866482881430002,0.28500000000000025
삼남석유화학,1980.8,0.14657833929868602,-9925013.917456742,2,-67711.32736899356,511.54839089959154,0.2865385599999999
한화임팩트,2700.0,0.19553425693745982,-13216855.313737107,2,-67593.5537881959,682.0645211994554,0.28667999999999993
OCI,580.0,0.046572165301628145,-3050513.6411187802,2,-65500.79046919761,156.17300884455074,0.29820879834609887
금호석유화학,2940.0,0.22010963471340125,-13442917.471417684,2,-61073.73486363439,746.4185368849845,0.29488768544251454
카프로,650.0,0.04619230335847384,-2644571.5020477627,2,-57251.345132643706,137.97444084532532,0.33478884259626895
울산아로마틱스,2600.0,0.25903850761891245,-14004164.077188704,2,-54062.093724656166,737.0441551577982,0.3514558874202772
HDC현대EP,376.0,0.039490596474359804,-2110975.667028403,2,-53455.147693173065,111.2983180889185,0.3548175493794071
SK인천석유화학,3600.0,0.36092699177594084,-19099723.009765524,2,-52918.522152597565,1008.6161637808095,0.3578437514058884
한국이네오스스티롤루션,630.6999999999971,0.0631077200336552,-3251115.9238029886,2,-51516.9288649499,203.96940037500295,0.3093979779203647
롯데GS화학,260.0,0.018645659064196123,-932490.6085747547,2,-50011.136928130756,49.69785472870161,0.3751803607214427
DL케미칼,1290.0,0.1403845738613003,-6771106.655655954,3,-48232.55482718348,372.9754719907522,0.37639090075280085
한화솔루션,9531.0,0.8750318555262495,-26477483.33686863,3,-30258.87934210682,2268.6105342807737,0.3857126828531034
HD현대오일뱅크,4526.25,0.4486595994248388,-12205398.668197006,4,-27204.1402520837,1169.920381756175,0.3834958399060909
태광산업,2190.0,0.20181350333936257,-4576392.094753193,3,-22676.342360786883,598.6223371821334,0.3371299245018984
S-Oil,9588.0,0.9668045894927488,-20219114.242396962,3,-20913.341188218063,2529.7041762169065,0.38218088841461884
SK지오센트릭,14393.0,1.5630422456538453,-16523703.934525132,3,-10571.501813511768,3941.185234774076,0.3965919266779769
GS칼텍스,12310.0,1.4173447511962713,-5705352.893076278,3,-4025.381184260802,3583.578162236358,0.3955110470680419
LG화학,29367.199999999997,3.2187444340684377,25454746.50915631,4,7908.284435301359,8172.15825115288,0.39386711993913676
한화토탈에너지스,17407.0,2.0794238703778016,19854161.202565536,3,9547.91444178157,5255.431025923291,0.3956714225951585
HD현대케미칼,11278.63318496,1.1306967626380164,16998094.63823379,5,15033.292037182202,2681.9838325561473,0.42158970121768824
효성화학,1920.0,0.18365847614395514,2908797.8721718453,3,15838.081275877908,461.923675110634,0.39759485395496913
대한유화,6184.0,0.8092331756677807,15675830.378317365,3,19371.21567634896,1946.0171031879886,0.4158407314828247
롯데케미칼,25260.79,2.897790689569366,59955690.71972171,8,20690.13850294052,7105.321464625154,0.40783386142293865
여천NCC,12907.0,1.7710987967583898,53587232.59146288,3,30256.48975062409,4120.568290671154,0.42981906179497276
SK에너지,1860.0,0.1771177740422076,7099602.171457469,3,40084.07518584564,395.1757558168478,0.44820000072144206
SK어드밴스드,1800.0,0.1714042974602011,6870582.7465717755,3,40084.07518584577,382.4281507904979,0.4482000007214426
SSNC,540.0,0.04988432481909324,1999567.0266436879,3,40084.07518584582,111.29925198303702,0.4482000007214428
