scenario,year,region,bau_emissions_tco2,emissions_tco2,abatement_tco2,abatement_mt,capex_usd,total_cost_usd,annual_capex_usd,annual_opex_usd,annual_new_energy_usd,annual_fuel_savings_usd,elec_demand_mwh,h2_demand_t
shaheen_ncc_h2_20c,2028,Daesan,19800108.505871844,16724853.39314729,2547699.8346177745,2.5476998346177746,1324707999.9999998,805878132.2883172,52988319.999999985,45629814.999999985,1990821701.1772265,1283561703.8889096,17944209.503584385,382374.99999999994
shaheen_ncc_h2_20c,2028,Yeosu,25771247.357066404,22899858.52599287,1987750.9363930381,1.9877509363930381,1138930100.0,665145122.0309803,45557204.0,38953145.0,1639919869.7147903,1059285096.6838099,23411296.08323702,310730.0
shaheen_ncc_h2_20c,2028,Ulsan,22130929.276215024,22560408.624424804,-1171648.5841672746,-1.1716485841672746,1027469799.9999998,122966064.83489649,41686119.99999999,30824093.999999993,487147745.6776803,436691894.84278375,23473519.080495235,0.0
shaheen_ncc_h2_20c,2028,Other,432184.00829651015,583321.5236583127,-178477.74947395353,-0.17847774947395353,148763999.99999997,25751743.72762166,5950559.999999999,4462919.999999999,57561876.84365711,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_20c,2029,Daesan,19800108.505871844,16412624.147784926,2684077.320611218,2.684077320611218,1264493999.9999998,739407860.3998332,50579759.999999985,43555732.49999999,1928834071.7887428,1283561703.8889096,17944209.503584385,382374.99999999994
shaheen_ncc_h2_20c,2029,Yeosu,25771247.357066404,22492501.974144544,2100561.523347865,2.100561523347865,1087160550.0,610257133.3399584,43486422.0,37182547.5,1588873260.5237682,1059285096.6838099,23411296.08323702,310730.0
shaheen_ncc_h2_20c,2029,Ulsan,22130929.276215024,22151969.39242419,-1010599.0974858225,-1.0105990974858226,981117899.9999998,104862538.33574945,39808859.99999999,29433536.999999993,472312036.1785333,436691894.84278375,23473519.080495235,0.0
shaheen_ncc_h2_20c,2029,Other,432184.00829651015,556875.9934038712,-161145.63059022903,-0.16114563059022904,142001999.99999997,23525401.090012826,5680079.999999999,4260059.999999999,55808874.20604827,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_20c,2030,Daesan,19800108.505871844,16100394.902422555,2820454.806604662,2.820454806604662,1204279999.9999998,674753987.1701698,48171200.0,41481649.99999999,1868662841.0590794,1283561703.8889096,17944209.503584385,382374.99999999994
shaheen_ncc_h2_20c,2030,Yeosu,25771247.357066404,22085145.422296222,2213372.1103026923,2.2133721103026924,1035391000.0,556865718.6061821,41415640.0,35411950.0,1539323225.2899919,1059285096.6838099,23411296.08323702,310730.0
shaheen_ncc_h2_20c,2030,Ulsan,22130929.276215024,21743530.16042357,-849549.6108043704,-0.8495496108043704,934765999.9999998,87210821.9461553,37931599.99999999,28042979.999999993,457928136.7889391,436691894.84278375,23473519.080495235,0.0
shaheen_ncc_h2_20c,2030,Other,432184.00829651015,530430.4631494298,-143813.51170650445,-0.14381351170650444,135239999.99999997,21352444.79795018,5409599.999999999,4057199.999999999,54109257.91398563,42223613.11603545,1519858.0606000854,0.0
shaheen_ncc_h2_20c,2031,Daesan,19800108.505871844,15850970.390322732,2929400.0396683896,2.9294000396683897,1184686299.9999998,614873146.438542,47387451.99999999,40798245.24999999,1810249153.0774517,1283561703.8889096,17944209.503584385,382374.99999999994
shaheen_ncc_h2_20c,2031,Yeosu,25771247.357066404,21759728.40673923,2303490.912525227,2.303490912525227,1018617215.0,507511957.0597917,40744688.599999994,34831053.949999996,1491221311.1936014,1059285096.6838099,23411296.08323702,310730.0
shaheen_ncc_h2_20c,2031,Ulsan,22130929.276215024,21417248.245204683,-720895.1358117166,-0.7208951358117166,920783149.9999998,72278445.63711369,37364558.0,27623494.499999993,443982287.97989744,436691894.84278375,23473519.080495235,0.0
shaheen_ncc_h2_20c,2031,Other,432184.00829651015,509304.4361070885,-129967.73857525332,-0.12996773857525332,133211399.99999997,19562587.01138671,5328455.999999999,3996341.999999999,52461402.12742216,42223613.11603545,1519858.0606000854,0.0
