facility_id,company,product,start_year,retirement_year,capacity_kt,annual_emissions_kt_co2
LG화학_여수_LDPE_1990,LG화학,LDPE,1990,2015,180,1.9244344726800524
한화솔루션_여수_LDPE_1979,한화솔루션,LDPE,1979,2004,337,3.602968984962098
롯데케미칼_울산_LDPE_1972,롯데케미칼,LDPE,1972,1997,120,1.282956315120035
롯데케미칼_대산_LDPE_2005,롯데케미칼,LDPE,2005,2030,500,5.345651313000145
LG화학_대산_L-LDPE_2006,LG화학,L-LDPE,2006,2031,125,1.2336118414615724
한화토탈에너지스_대산_L-LDPE_2004,한화토탈에너지스,L-LDPE,2004,2029,530,5.230514207797068
DL케미칼_여수_L-LDPE_2010,DL케미칼,L-LDPE,2010,2035,10,0.09868894731692579
롯데케미칼_여수_L-LDPE_2019,롯데케미칼,L-LDPE,2019,2044,600,5.921336839015548
LG화학_여수_L-LDPE_2021,LG화학,L-LDPE,2021,2046,425,4.194280260969347
한화솔루션_여수_L-LDPE_1986,한화솔루션,L-LDPE,1986,2011,288,2.842241682727463
SSNC_울산_L-LDPE_2015,SSNC,L-LDPE,2015,2040,180,1.7764010517046644
SK지오센트릭_울산_L-LDPE_1990,SK지오센트릭,L-LDPE,1990,2015,550,5.427892102430919
HD현대케미칼_대산_HDPE_2021,HD현대케미칼,HDPE,2021,2046,575,4.917999207960136
한화토탈에너지스_대산_HDPE_1991,한화토탈에너지스,HDPE,1991,2016,180,1.5395475781440426
DL케미칼_여수_HDPE_1980,DL케미칼,HDPE,1980,2005,630,5.38841652350415
롯데케미칼_여수_HDPE_1992,롯데케미칼,HDPE,1992,2017,360,3.0790951562880853
LG화학_여수_HDPE_1992,LG화학,HDPE,1992,2017,500,4.2765210504001185
GS칼텍스_여수_HDPE_2021,GS칼텍스,HDPE,2021,2046,650,5.559477365520155
대한유화_온산_HDPE_1976,대한유화,HDPE,1976,2001,210,1.79613884116805
SK지오센트릭_울산_HDPE_1990,SK지오센트릭,HDPE,1990,2015,490,4.190990629392116
롯데케미칼_대산_PP_2005,롯데케미칼,PP,2005,2030,500,4.00923848475011
HD현대케미칼_대산_PP_2021,HD현대케미칼,PP,2021,2046,380,3.0470212484100836
LG화학_대산_PP_2006,LG화학,PP,2006,2031,1117,8.956638774931745
한화토탈에너지스_대산_PP_1991,한화토탈에너지스,PP,1991,2016,600,4.811086181700133
롯데케미칼_여수_PP_1979,롯데케미칼,PP,1979,2004,180,1.4433258545100396
GS칼텍스_여수_PP_1987,GS칼텍스,PP,1987,2012,730,5.85348818773516
폴리미래_여수_PP_1993,폴리미래,PP,1993,2018,405,3.2474831726475895
S-Oil_온산_PP_2018,S-Oil,PP,2018,2043,550,4.410162333225121
대한유화_온산_PP_1976,대한유화,PP,1976,2001,432,3.463982050824095
SK지오센트릭_울산_PP_1990,SK지오센트릭,PP,1990,2015,400,3.207390787800088
울산피피_울산_PP_2021,울산피피,PP,2021,2046,600,4.811086181700133
LG화학_여수_PS_1984,LG화학,PS,1984,2009,40,0.5131825260480141
금호석유화학_울산_PS_1973,금호석유화학,PS,1973,1998,265,3.399834235068093
HDC현대EP_울산_PS_1989,HDC현대EP,PS,1989,2014,148,1.8987753463776518
한국이네오스스티롤루션_울산_PS_1985,한국이네오스스티롤루션,PS,1985,2010,266,3.412663798219293
SH에너지화학_군산_EPS_1973,SH에너지화학,EPS,1973,1998,100,0.6414781575600175
롯데케미칼_여수_EPS_1989,롯데케미칼,EPS,1989,2014,90,0.5773303418040157
LG화학_여수_EPS_1984,LG화학,EPS,1984,2009,90,0.5773303418040157
금호석유화학_울산_EPS_1973,금호석유화학,EPS,1973,1998,80,0.5131825260480141
HDC현대EP_울산_EPS_1989,HDC현대EP,EPS,1989,2014,80,0.5131825260480141
한국바스프_울산_EPS_1982,한국바스프,EPS,1982,2007,85,0.5452564339260149
롯데케미칼_여수_ABS_1989,롯데케미칼,ABS,1989,2014,757,4.855989652729333
LG화학_여수_ABS_1978,LG화학,ABS,1978,2003,1030,6.60722502286818
금호석유화학_울산_ABS_1973,금호석유화학,ABS,1973,1998,290,1.8602866569240508
한국이네오스스티롤루션_울산_ABS_1990,한국이네오스스티롤루션,ABS,1990,2015,276,1.7704797148656484
LG화학_대산_PVC_1998,LG화학,PVC,1998,2023,240,1.5564775241841142
LG화학_여수_PVC_1976,LG화학,PVC,1976,2001,450,2.918395357845214
한화솔루션_여수_PVC_1990,한화솔루션,PVC,1990,2015,480,3.1129550483682285
한화솔루션_울산_PVC_2066,한화솔루션,PVC,2066,2091,330,2.140156595753157
한화임팩트_대산_TPA_1997,한화임팩트,TPA,1997,2022,700,3.174418604651162
삼남석유화학_여수_TPA_1990,삼남석유화학,TPA,1990,2015,1500,6.802325581395347
한화임팩트_울산_TPA_1995,한화임팩트,TPA,1995,2020,1300,5.8953488372093
태광산업_울산_TPA_1980,태광산업,TPA,1980,2005,1000,4.534883720930232
효성화학_울산_TPA_1997,효성화학,TPA,1997,2022,420,1.904651162790697
카프로_울산_CPLM_1974,카프로,CPLM,1974,1999,270,1.2244186046511623
SK케미칼_울산_DMT_1989,SK케미칼,DMT,1989,2014,160,0.725581395348837
롯데케미칼_대산_EG_2005,롯데케미칼,EG,2005,2030,730,3.310465116279069
한화토탈에너지스_대산_EG_1991,한화토탈에너지스,EG,1991,2016,218,0.9886046511627904
롯데케미칼_여수_EG_1979,롯데케미칼,EG,1979,2004,400,1.8139534883720925
대한유화_울산_EG_2014,대한유화,EG,2014,2039,200,0.9069767441860462
동서석유화학_울산_AN_1972,동서석유화학,AN,1972,1997,602,3.9041644564951534
태광산업_울산_AN_1997,태광산업,AN,1997,2022,290,1.8807436750558049
LG화학_대산_SBR_1996,LG화학,SBR,1996,2021,80,0.3627906976744185
금호석유화학_울산_SBR_1973,금호석유화학,SBR,1973,1998,183,0.8298837209302323
LG화학_대산_S-SBR_2012,LG화학,S-SBR,2012,2037,80,0.3627906976744185
금호석유화학_여수_S-SBR_2012,금호석유화학,S-SBR,2012,2037,123,0.5577906976744185
롯데베르살리스엘라스토머스_여수_S-SBR_2018,롯데베르살리스엘라스토머스,S-SBR,2018,2043,100,0.4534883720930231
LG화학_대산_SB-Latex_1996,LG화학,SB-Latex,1996,2021,20,0.09069767441860463
금호석유화학_울산_SB-Latex_1983,금호석유화학,SB-Latex,1983,2008,85,0.38546511627906965
한국트린지오_울산_SB-Latex_1990,한국트린지오,SB-Latex,1990,2015,43,0.19499999999999992
한솔케미칼_전주_SB-Latex_1996,한솔케미칼,SB-Latex,1996,2021,60,0.27209302325581386
LG화학_대산_BR_1996,LG화학,BR,1996,2021,220,0.9976744186046509
금호석유화학_여수_BR_1980,금호석유화학,BR,1980,2005,275,1.2470930232558137
