Year,Technology,Capacity_kt,Share
2039,Electric furnace,960.0,0.021975204644093246
2039,Electric heater,7964.8,0.18232094786382697
2039,Electric motor,10273.6,0.23517131503287123
2039,H2-furnace,3592.0,0.08222389070998222
2039,H2-process,464.0,0.010621348911311735
2039,H2-reformer,1280.0,0.029300272858790992
2039,Heat pump,15929.6,0.36464189572765393
2040,E-cracker,2873.6000000000004,0.06577911256798578
2040,Electric extraction,348.0,0.007966011683483801
2040,Electric furnace,960.0,0.021975204644093246
2040,Electric heater,7964.8,0.18232094786382697
2040,Electric motor,10273.6,0.23517131503287123
2040,H2-furnace,3592.0,0.08222389070998222
2040,H2-process,464.0,0.010621348911311735
2040,H2-reformer,1280.0,0.029300272858790992
2040,Heat pump,15929.6,0.36464189572765393
2041,E-cracker,2873.6000000000004,0.06577911256798578
2041,Electric extraction,348.0,0.007966011683483801
2041,Electric furnace,960.0,0.021975204644093246
2041,Electric heater,7964.8,0.18232094786382697
2041,Electric motor,10273.6,0.23517131503287123
2041,H2-furnace,3592.0,0.08222389070998222
2041,H2-process,464.0,0.010621348911311735
2041,H2-reformer,1280.0,0.029300272858790992
2041,Heat pump,15929.6,0.36464189572765393
2042,E-cracker,2873.6000000000004,0.06577911256798578
2042,Electric extraction,348.0,0.007966011683483801
2042,Electric furnace,960.0,0.021975204644093246
2042,Electric heater,7964.8,0.18232094786382697
2042,Electric motor,10273.6,0.23517131503287123
2042,H2-furnace,3592.0,0.08222389070998222
2042,H2-process,464.0,0.010621348911311735
2042,H2-reformer,1280.0,0.029300272858790992
2042,Heat pump,15929.6,0.36464189572765393
2043,E-cracker,2873.6000000000004,0.06577911256798578
2043,Electric extraction,348.0,0.007966011683483801
2043,Electric furnace,960.0,0.021975204644093246
2043,Electric heater,7964.8,0.18232094786382697
2043,Electric motor,10273.6,0.23517131503287123
2043,H2-furnace,3592.0,0.08222389070998222
2043,H2-process,464.0,0.010621348911311735
2043,H2-reformer,1280.0,0.029300272858790992
2043,Heat pump,15929.6,0.36464189572765393
2044,E-cracker,2873.6000000000004,0.06577911256798578
2044,Electric extraction,348.0,0.007966011683483801
2044,Electric furnace,960.0,0.021975204644093246
2044,Electric heater,7964.8,0.18232094786382697
2044,Electric motor,10273.6,0.23517131503287123
2044,H2-furnace,3592.0,0.08222389070998222
2044,H2-process,464.0,0.010621348911311735
2044,H2-reformer,1280.0,0.029300272858790992
2044,Heat pump,15929.6,0.36464189572765393
2045,E-cracker,2873.6000000000004,0.06577911256798578
2045,Electric extraction,348.0,0.007966011683483801
2045,Electric furnace,960.0,0.021975204644093246
2045,Electric heater,7964.8,0.18232094786382697
2045,Electric motor,10273.6,0.23517131503287123
2045,H2-furnace,3592.0,0.08222389070998222
2045,H2-process,464.0,0.010621348911311735
2045,H2-reformer,1280.0,0.029300272858790992
2045,Heat pump,15929.6,0.36464189572765393
2046,E-cracker,2873.6000000000004,0.06577911256798578
2046,Electric extraction,348.0,0.007966011683483801
2046,Electric furnace,960.0,0.021975204644093246
2046,Electric heater,7964.8,0.18232094786382697
2046,Electric motor,10273.6,0.23517131503287123
2046,H2-furnace,3592.0,0.08222389070998222
2046,H2-process,464.0,0.010621348911311735
2046,H2-reformer,1280.0,0.029300272858790992
2046,Heat pump,15929.6,0.36464189572765393
2047,E-cracker,2873.6000000000004,0.06577911256798578
2047,Electric extraction,348.0,0.007966011683483801
2047,Electric furnace,960.0,0.021975204644093246
2047,Electric heater,7964.8,0.18232094786382697
2047,Electric motor,10273.6,0.23517131503287123
2047,H2-furnace,3592.0,0.08222389070998222
2047,H2-process,464.0,0.010621348911311735
2047,H2-reformer,1280.0,0.029300272858790992
2047,Heat pump,15929.6,0.36464189572765393
2048,E-cracker,2873.6000000000004,0.06577911256798578
2048,Electric extraction,348.0,0.007966011683483801
2048,Electric furnace,960.0,0.021975204644093246
2048,Electric heater,7964.8,0.18232094786382697
2048,Electric motor,10273.6,0.23517131503287123
2048,H2-furnace,3592.0,0.08222389070998222
2048,H2-process,464.0,0.010621348911311735
2048,H2-reformer,1280.0,0.029300272858790992
2048,Heat pump,15929.6,0.36464189572765393
2049,E-cracker,2873.6000000000004,0.06577911256798578
2049,Electric extraction,348.0,0.007966011683483801
2049,Electric furnace,960.0,0.021975204644093246
2049,Electric heater,7964.8,0.18232094786382697
2049,Electric motor,10273.6,0.23517131503287123
2049,H2-furnace,3592.0,0.08222389070998222
2049,H2-process,464.0,0.010621348911311735
2049,H2-reformer,1280.0,0.029300272858790992
2049,Heat pump,15929.6,0.36464189572765393
2050,E-cracker,2873.6000000000004,0.06577911256798578
2050,Electric extraction,348.0,0.007966011683483801
2050,Electric furnace,960.0,0.021975204644093246
2050,Electric heater,7964.8,0.18232094786382697
2050,Electric motor,10273.6,0.23517131503287123
2050,H2-furnace,3592.0,0.08222389070998222
2050,H2-process,464.0,0.010621348911311735
2050,H2-reformer,1280.0,0.029300272858790992
2050,Heat pump,15929.6,0.36464189572765393
