year,technology,available,abatement_potential_mtco2,capex_ann_usd_per_tco2,opex_ann_usd_per_tco2,fuel_cost_diff_usd_per_tco2,total_cost_usd_per_tco2,re_price_usd_per_mwh,h2_price_usd_per_kg,lcoe_baseline_usd_per_ton,lcoe_technology_usd_per_ton,lcoe_premium_usd_per_ton,emission_intensity_baseline,emission_intensity_technology,methodology,grid_price_usd_per_mwh,grid_ef_tco2_per_mwh
2034,Heat_Pump,True,5.112176825659369,15.277831323472586,0.4583349397041776,-780.0149142431022,-764.2787479799255,48.64,4.272,,,,,,,,
2034,NCC-H2,True,37.6,0.0,0.0,0.0,-133.65155131264916,,,746.0,690.0,-56.0,0.869,0.45,LCOE-based,,
2034,NCC-Electricity,True,37.6,0.0,0.0,0.0,-115.94202898550726,,,746.0,722.0,-24.0,0.869,0.662,LCOE-based,,
2034,RE_PPA,True,7.032480000000001,0.0,0.0,-183.4920634920635,-183.4920634920635,,,,,,,,,118.0,0.378
2035,Heat_Pump,True,5.112176825659369,15.277831323472586,0.4583349397041776,-784.8620432513051,-769.1258769881283,47.6,4.08,,,,,,,,
2035,NCC-H2,True,37.6,0.0,0.0,0.0,-151.3859275053305,,,746.0,675.0,-71.0,0.869,0.4,LCOE-based,,
2035,NCC-Electricity,True,37.6,0.0,0.0,0.0,-116.59192825112109,,,746.0,720.0,-26.0,0.869,0.646,LCOE-based,,
2035,RE_PPA,True,6.883644444444445,0.0,0.0,-195.6756756756757,-195.6756756756757,,,,,,,,,120.0,0.37
2036,Heat_Pump,True,5.112176825659369,15.277831323472586,0.4583349397041776,-789.7091722595078,-773.973005996331,46.56,3.888,,,,,,,,
2036,NCC-H2,True,37.6,0.0,0.0,0.0,-175.86912065439674,,,746.0,660.0,-86.0,0.869,0.38,LCOE-based,,
2036,NCC-Electricity,True,37.6,0.0,0.0,0.0,-117.15481171548117,,,746.0,718.0,-28.0,0.869,0.63,LCOE-based,,
2036,RE_PPA,True,6.73480888888889,0.0,0.0,-208.3977900552486,-208.3977900552486,,,,,,,,,122.0,0.362
2037,Heat_Pump,True,5.112176825659369,15.277831323472586,0.4583349397041776,-794.5563012677108,-778.820135004534,45.52,3.696,,,,,,,,
2037,NCC-H2,True,37.6,0.0,0.0,0.0,-198.42829076620825,,,746.0,645.0,-101.0,0.869,0.36,LCOE-based,,
2037,NCC-Electricity,True,37.6,0.0,0.0,0.0,-117.6470588235294,,,746.0,716.0,-30.0,0.869,0.614,LCOE-based,,
2037,RE_PPA,True,6.585973333333334,0.0,0.0,-221.69491525423726,-221.69491525423726,,,,,,,,,124.0,0.354
2038,Heat_Pump,True,5.112176825659369,15.277831323472586,0.4583349397041776,-799.4034302759136,-783.6672640127368,44.48,3.504,,,,,,,,
2038,NCC-H2,True,37.6,0.0,0.0,0.0,-219.28166351606808,,,746.0,630.0,-116.0,0.869,0.34,LCOE-based,,
2038,NCC-Electricity,True,37.6,0.0,0.0,0.0,-118.08118081180811,,,746.0,714.0,-32.0,0.869,0.598,LCOE-based,,
2038,RE_PPA,True,6.437137777777779,0.0,0.0,-235.60693641618502,-235.60693641618502,,,,,,,,,126.0,0.346
2039,Heat_Pump,True,5.112176825659369,15.277831323472586,0.4583349397041776,-804.2505592841164,-788.5143930209397,43.44,3.312,,,,,,,,
2039,NCC-H2,True,37.6,0.0,0.0,0.0,-238.61566484517306,,,746.0,615.0,-131.0,0.869,0.32,LCOE-based,,
2039,NCC-Electricity,True,37.6,0.0,0.0,0.0,-118.46689895470382,,,746.0,712.0,-34.0,0.869,0.582,LCOE-based,,
2039,RE_PPA,True,6.288302222222224,0.0,0.0,-250.1775147928994,-250.1775147928994,,,,,,,,,128.0,0.338
2040,Heat_Pump,True,5.112176825659369,15.277831323472586,0.4583349397041776,-809.0976882923192,-793.3615220291424,42.4,3.12,,,,,,,,
2040,NCC-H2,True,37.6,0.0,0.0,0.0,-256.5905096660809,,,746.0,600.0,-146.0,0.869,0.3,LCOE-based,,
2040,NCC-Electricity,True,37.6,0.0,0.0,0.0,-118.81188118811879,,,746.0,710.0,-36.0,0.869,0.566,LCOE-based,,
2040,RE_PPA,True,6.139466666666668,0.0,0.0,-265.45454545454544,-265.45454545454544,,,,,,,,,130.0,0.33
2041,Heat_Pump,True,5.112176825659369,15.277831323472586,0.4583349397041776,-813.9448173005221,-798.2086510373454,41.36,2.928,,,,,,,,
2041,NCC-H2,True,37.6,0.0,0.0,0.0,-264.85568760611204,,,746.0,590.0,-156.0,0.869,0.28,LCOE-based,,
2041,NCC-Electricity,True,37.6,0.0,0.0,0.0,-119.12225705329155,,,746.0,708.0,-38.0,0.869,0.55,LCOE-based,,
2041,RE_PPA,True,5.990631111111113,0.0,0.0,-281.49068322981367,-281.49068322981367,,,,,,,,,132.0,0.322
2042,Heat_Pump,True,5.112176825659369,15.277831323472586,0.4583349397041776,-818.7919463087248,-803.0557800455481,40.32,2.736,,,,,,,,
2042,NCC-H2,True,37.6,0.0,0.0,0.0,-272.5779967159278,,,746.0,580.0,-166.0,0.869,0.26,LCOE-based,,
2042,NCC-Electricity,True,37.6,0.0,0.0,0.0,-119.40298507462688,,,746.0,706.0,-40.0,0.869,0.534,LCOE-based,,
2042,RE_PPA,True,5.8417955555555565,0.0,0.0,-298.343949044586,-298.343949044586,,,,,,,,,134.0,0.314
2043,Heat_Pump,True,5.112176825659369,15.277831323472586,0.4583349397041776,-823.6390753169277,-807.9029090537509,39.28,2.544,,,,,,,,
2043,NCC-H2,True,37.6,0.0,0.0,0.0,-279.8092209856916,,,746.0,570.0,-176.0,0.869,0.24,LCOE-based,,
2043,NCC-Electricity,True,37.6,0.0,0.0,0.0,-119.65811965811966,,,746.0,704.0,-42.0,0.869,0.518,LCOE-based,,
2043,RE_PPA,True,5.69296,0.0,0.0,-316.078431372549,-316.078431372549,,,,,,,,,136.0,0.306
2044,Heat_Pump,True,5.112176825659369,15.277831323472586,0.4583349397041776,-828.4862043251306,-812.7500380619539,38.239999999999995,2.352,,,,,,,,
2044,NCC-H2,True,37.6,0.0,0.0,0.0,-286.59476117103236,,,746.0,560.0,-186.0,0.869,0.22,LCOE-based,,
2044,NCC-Electricity,True,37.6,0.0,0.0,0.0,-119.89100817438693,,,746.0,702.0,-44.0,0.869,0.502,LCOE-based,,
2044,RE_PPA,True,5.544124444444445,0.0,0.0,-334.765100671141,-334.765100671141,,,,,,,,,138.0,0.298
2045,Heat_Pump,True,5.112176825659369,15.277831323472586,0.4583349397041776,-833.3333333333334,-817.5971670701566,37.2,2.16,,,,,,,,
2045,NCC-H2,True,37.6,0.0,0.0,0.0,-292.9745889387145,,,746.0,550.0,-196.0,0.869,0.2,LCOE-based,,
2045,NCC-Electricity,True,37.6,0.0,0.0,0.0,-120.10443864229765,,,746.0,700.0,-46.0,0.869,0.486,LCOE-based,,
2045,RE_PPA,True,5.3952888888888895,0.0,0.0,-354.48275862068965,-354.48275862068965,,,,,,,,,140.0,0.29
2046,Heat_Pump,True,5.112176825659369,15.277831323472586,0.4583349397041776,-838.1804623415362,-822.4442960783595,36.16,1.968,,,,,,,,
2046,NCC-H2,True,37.6,0.0,0.0,0.0,-298.9840348330914,,,746.0,540.0,-206.0,0.869,0.18,LCOE-based,,
2046,NCC-Electricity,True,37.6,0.0,0.0,0.0,-120.30075187969925,,,746.0,698.0,-48.0,0.869,0.47,LCOE-based,,
2046,RE_PPA,True,5.246453333333334,0.0,0.0,-375.3191489361703,-375.3191489361703,,,,,,,,,142.0,0.282
2047,Heat_Pump,True,5.112176825659369,15.277831323472586,0.4583349397041776,-843.027591349739,-827.2914250865623,35.12,1.7759999999999998,,,,,,,,
2047,NCC-H2,True,37.6,0.0,0.0,0.0,-304.65444287729196,,,746.0,530.0,-216.0,0.869,0.16,LCOE-based,,
2047,NCC-Electricity,True,37.6,0.0,0.0,0.0,-120.48192771084338,,,746.0,696.0,-50.0,0.869,0.454,LCOE-based,,
2047,RE_PPA,True,5.097617777777779,0.0,0.0,-397.3722627737226,-397.3722627737226,,,,,,,,,144.0,0.274
2048,Heat_Pump,True,5.112176825659369,15.277831323472586,0.4583349397041776,-847.8747203579419,-832.1385540947651,34.08,1.5839999999999996,,,,,,,,
2048,NCC-H2,True,37.6,0.0,0.0,0.0,-310.01371742112485,,,746.0,520.0,-226.0,0.869,0.14,LCOE-based,,
2048,NCC-Electricity,True,37.6,0.0,0.0,0.0,-120.64965197215777,,,746.0,694.0,-52.0,0.869,0.438,LCOE-based,,
2048,RE_PPA,True,4.948782222222223,0.0,0.0,-420.7518796992481,-420.7518796992481,,,,,,,,,146.0,0.266
2049,Heat_Pump,True,5.112176825659369,15.277831323472586,0.4583349397041776,-852.7218493661447,-836.985683102968,33.04,1.3919999999999997,,,,,,,,
2049,NCC-H2,True,37.6,0.0,0.0,0.0,-315.086782376502,,,746.0,510.0,-236.0,0.869,0.12,LCOE-based,,
2049,NCC-Electricity,True,37.6,0.0,0.0,0.0,-120.80536912751677,,,746.0,692.0,-54.0,0.869,0.422,LCOE-based,,
2049,RE_PPA,True,4.799946666666668,0.0,0.0,-445.58139534883725,-445.58139534883725,,,,,,,,,148.0,0.258
2050,Heat_Pump,True,5.112176825659369,15.277831323472586,0.4583349397041776,-857.5689783743476,-841.8328121111708,32.0,1.2,,,,,,,,
2050,NCC-H2,True,37.6,0.0,0.0,0.0,-319.8959687906372,,,746.0,500.0,-246.0,0.869,0.1,LCOE-based,,
2050,NCC-Electricity,True,37.6,0.0,0.0,0.0,-120.95032397408208,,,746.0,690.0,-56.0,0.869,0.406,LCOE-based,,
2050,RE_PPA,True,4.6511111111111125,0.0,0.0,-472.0,-472.0,,,,,,,,,150.0,0.25
