year,technology,available,abatement_potential_mtco2,capex_ann_usd_per_tco2,opex_ann_usd_per_tco2,fuel_cost_diff_usd_per_tco2,total_cost_usd_per_tco2,re_price_usd_per_mwh,naphtha_price_usd_per_gj,h2_price_usd_per_kg,methodology,grid_price_usd_per_mwh
2028,NCC-H2,False,37.60323707441514,25.29327034403139,0.6323317586007848,0.0,369.74789915966386,,15.0,5.4239999999999995,LCOE-based (adjusted for fossil fuel sensitivity),
2028,NCC-Electricity,False,37.60323707441514,29.977209296629795,0.599544185932596,0.0,-99.0990990990991,54.88,15.0,,LCOE-based (adjusted for fossil fuel sensitivity),
2028,RE_PPA,True,7.164142682653034,0.0,0.0,-120.0,-120.0,54.88,,,,100.0
2029,Heat_Pump,True,5.112176825659369,12.833378311716972,0.38500134935150915,-755.779269202088,-742.5608895410195,53.84,15.0,,,
2029,NCC-H2,False,37.60323707441514,24.35648255351171,0.6089120638377928,0.0,142.0118343195266,,15.0,5.232,LCOE-based (adjusted for fossil fuel sensitivity),
2029,NCC-Electricity,False,37.60323707441514,29.040421506110114,0.5808084301222023,0.0,-102.36220472440945,53.84,15.0,,LCOE-based (adjusted for fossil fuel sensitivity),
2029,RE_PPA,True,7.145909600390351,0.0,0.0,-125.43478260869564,-125.43478260869564,53.84,,,,100.0
2030,Heat_Pump,True,5.112176825659369,12.222265058778069,0.36666795176334205,-760.626398210291,-748.0374651997496,52.8,15.0,,,
2030,NCC-H2,True,37.60323707441514,23.41969476299203,0.5854923690748007,0.0,18.264840182648403,,15.0,5.04,LCOE-based (adjusted for fossil fuel sensitivity),
2030,NCC-Electricity,True,37.60323707441514,28.103633715590433,0.5620726743118086,0.0,-111.88811188811188,52.8,15.0,,LCOE-based (adjusted for fossil fuel sensitivity),
2030,RE_PPA,True,7.126964983210102,0.0,0.0,-131.11111111111111,-131.11111111111111,52.8,,,,100.0
2031,Heat_Pump,True,5.112176825659369,11.916708432308617,0.3575012529692585,-765.4735272184937,-753.1993175332158,51.76,15.0,,,
2031,NCC-H2,True,37.60323707441514,22.763943309628253,0.5690985827407063,0.0,-40.89219330855018,,15.0,4.848,LCOE-based (adjusted for fossil fuel sensitivity),
2031,NCC-Electricity,True,37.60323707441514,27.35420348317469,0.5470840696634938,0.0,-113.2075471698113,51.76,15.0,,LCOE-based (adjusted for fossil fuel sensitivity),
2031,RE_PPA,True,7.107266351415713,0.0,0.0,-137.04545454545453,-137.04545454545453,51.76,,,,100.0
2032,Heat_Pump,True,5.112176825659369,11.611151805839166,0.34833455417517495,-770.3206562266965,-758.3611698666822,50.72,15.0,,,
2032,NCC-H2,True,37.60323707441514,22.108191856264476,0.552704796406612,0.0,-81.50470219435738,,15.0,4.656,LCOE-based (adjusted for fossil fuel sensitivity),
2032,NCC-Electricity,True,37.60323707441514,26.604773250758946,0.5320954650151789,0.0,-114.28571428571426,50.72,15.0,,LCOE-based (adjusted for fossil fuel sensitivity),
2032,RE_PPA,True,7.086767775182972,0.0,0.0,-143.25581395348837,-143.25581395348837,50.72,,,,100.0
2033,Heat_Pump,True,5.112176825659369,11.305595179369714,0.3391678553810914,-775.1677852348994,-763.5230222001486,49.68,15.0,,,
2033,NCC-H2,True,37.60323707441514,21.4524404029007,0.5363110100725175,0.0,-111.11111111111111,,15.0,4.464,LCOE-based (adjusted for fossil fuel sensitivity),
2033,NCC-Electricity,True,37.60323707441514,25.8553430183432,0.5171068603668639,0.0,-115.18324607329846,49.68,15.0,,LCOE-based (adjusted for fossil fuel sensitivity),
2033,RE_PPA,True,7.065419517033849,0.0,0.0,-149.76190476190476,-149.76190476190476,49.68,,,,100.0
2034,Heat_Pump,True,5.112176825659369,11.000038552900262,0.33000115658700785,-780.0149142431022,-768.6848745336149,48.64,15.0,,,
2034,NCC-H2,True,37.60323707441514,20.79668894953692,0.5199172237384231,0.0,-133.65155131264916,,15.0,4.272,LCOE-based (adjusted for fossil fuel sensitivity),
2034,NCC-Electricity,True,37.60323707441514,25.105912785927455,0.5021182557185491,0.0,-115.94202898550726,48.64,15.0,,LCOE-based (adjusted for fossil fuel sensitivity),
2034,RE_PPA,True,7.043167628910159,0.0,0.0,-156.58536585365852,-156.58536585365852,48.64,,,,100.0
2035,Heat_Pump,True,5.112176825659369,10.69448192643081,0.3208344577929243,-784.8620432513051,-773.8467268670813,47.6,15.0,,,
