product,process,company,location,complex,capacity_kt,year_built,age_2025,remaining_life,retirement_year_40yr,region,data_quality,emission_factor,facility_lifetime
SM,Utility,Lotte Chemical,Daesan,Daesan Complex,350,2005,20.0,20.0,2045.0,,,,
SM,Utility,LG Chem,Daesan,Daesan Complex,577,2006,19.0,21.0,2046.0,,,,
SM,Utility,Hanwha TotalEnergies,Daesan,Daesan Complex,1071,1991,34.0,6.0,2031.0,,,,
SM,Utility,Yeochon NCC,Yeosu,Yeosu Complex,351,1986,39.0,1.0,2026.0,,,,
SM,Utility,SKpicglobal,Ulsan,Ulsan Complex,400,1990,35.0,5.0,2030.0,,,,
EDC,Utility,LG Chem,Yeosu,Yeosu Complex,810,1996,29.0,11.0,2036.0,,,,
EDC,Utility,Hanwha Solutions,Yeosu,Yeosu Complex,1586,1980,45.0,-5.0,2020.0,,,,
EDC,Utility,Hanwha Solutions,Ulsan,Ulsan Complex,385,1991,34.0,6.0,2031.0,,,,
VCM,Utility,LG Chem,Daesan,Daesan Complex,230,1997,28.0,12.0,2037.0,,,,
VCM,Utility,LG Chem,Yeosu,Yeosu Complex,720,1990,35.0,5.0,2030.0,,,,
VCM,Utility,Hanwha Solutions,Yeosu,Yeosu Complex,583,1979,46.0,-6.0,2019.0,,,,
VCM,Utility,Hanwha Solutions,Ulsan,Ulsan Complex,264,1972,53.0,-13.0,2012.0,,,,
PC,Utility,Lotte Chemical,Yeosu,Yeosu Complex,480,2008,17.0,23.0,2048.0,,,,
PC,Utility,LG Chem,Yeosu,Yeosu Complex,170,2001,24.0,16.0,2041.0,,,,
PC,Utility,Samyang Chemical,Jeonju,Other Regions,120,1999,26.0,14.0,2039.0,,,,
LDPE,Utility,HD Hyundai Chemical,Daesan,Daesan Complex,300,2021,4.0,36.0,2061.0,,,,
LDPE,Utility,LG Chem,Daesan,Daesan Complex,280,2006,19.0,21.0,2046.0,,,,
LDPE,Utility,Hanwha TotalEnergies,Daesan,Daesan Complex,435,1991,34.0,6.0,2031.0,,,,
LDPE,Utility,LG Chem,Yeosu,Yeosu Complex,180,1990,35.0,5.0,2030.0,,,,
LDPE,Utility,Hanwha Solutions,Yeosu,Yeosu Complex,337,1979,46.0,-6.0,2019.0,,,,
LDPE,Utility,Lotte Chemical,Ulsan,Ulsan Complex,120,1972,53.0,-13.0,2012.0,,,,
LDPE,Utility,Lotte Chemical,Daesan,Daesan Complex,500,2005,20.0,20.0,2045.0,,,,
L-LDPE,Utility,LG Chem,Daesan,Daesan Complex,125,2006,19.0,21.0,2046.0,,,,
L-LDPE,Utility,Hanwha TotalEnergies,Daesan,Daesan Complex,530,2004,21.0,19.0,2044.0,,,,
L-LDPE,Utility,DL Chemical,Yeosu,Yeosu Complex,10,2010,15.0,25.0,2050.0,,,,
L-LDPE,Utility,Lotte Chemical,Yeosu,Yeosu Complex,600,2019,6.0,34.0,2059.0,,,,
L-LDPE,Utility,LG Chem,Yeosu,Yeosu Complex,425,2021,4.0,36.0,2061.0,,,,
L-LDPE,Utility,Hanwha Solutions,Yeosu,Yeosu Complex,288,1986,39.0,1.0,2026.0,,,,
L-LDPE,Utility,SSNC,Ulsan,Ulsan Complex,180,2015,10.0,30.0,2055.0,,,,
L-LDPE,Utility,SK Geocentric,Ulsan,Ulsan Complex,550,1990,35.0,5.0,2030.0,,,,
HDPE,Utility,HD Hyundai Chemical,Daesan,Daesan Complex,575,2021,4.0,36.0,2061.0,,,,
HDPE,Utility,Hanwha TotalEnergies,Daesan,Daesan Complex,180,1991,34.0,6.0,2031.0,,,,
HDPE,Utility,DL Chemical,Yeosu,Yeosu Complex,630,1980,45.0,-5.0,2020.0,,,,
HDPE,Utility,Lotte Chemical,Yeosu,Yeosu Complex,360,1992,33.0,7.0,2032.0,,,,
HDPE,Utility,LG Chem,Yeosu,Yeosu Complex,500,1992,33.0,7.0,2032.0,,,,
HDPE,Utility,GS Caltex,Yeosu,Yeosu Complex,650,2021,4.0,36.0,2061.0,,,,
HDPE,Utility,Daehan Oil Chemical,Onsan,Ulsan Complex,210,1976,49.0,-9.0,2016.0,,,,
HDPE,Utility,SK Geocentric,Ulsan,Ulsan Complex,490,1990,35.0,5.0,2030.0,,,,
PP,Utility,Lotte Chemical,Daesan,Daesan Complex,500,2005,20.0,20.0,2045.0,,,,
PP,Utility,HD Hyundai Chemical,Daesan,Daesan Complex,380,2021,4.0,36.0,2061.0,,,,
PP,Utility,LG Chem,Daesan,Daesan Complex,1117,2006,19.0,21.0,2046.0,,,,
PP,Utility,Hanwha TotalEnergies,Daesan,Daesan Complex,600,1991,34.0,6.0,2031.0,,,,
PP,Utility,Lotte Chemical,Yeosu,Yeosu Complex,180,1979,46.0,-6.0,2019.0,,,,
PP,Utility,GS Caltex,Yeosu,Yeosu Complex,730,1987,38.0,2.0,2027.0,,,,
PP,Utility,Poly Mirae,Yeosu,Yeosu Complex,405,1993,32.0,8.0,2033.0,,,,
PP,Utility,S-Oil,Onsan,Ulsan Complex,550,2018,7.0,33.0,2058.0,,,,
PP,Utility,Daehan Oil Chemical,Onsan,Ulsan Complex,432,1976,49.0,-9.0,2016.0,,,,
PP,Utility,SK Geocentric,Ulsan,Ulsan Complex,400,1990,35.0,5.0,2030.0,,,,
PP,Utility,Ulsan PP,Ulsan,Ulsan Complex,600,2021,4.0,36.0,2061.0,,,,
PS,Utility,LG Chem,Yeosu,Yeosu Complex,40,1984,41.0,-1.0,2024.0,,,,
PS,Utility,Kumho Petrochemical,Ulsan,Ulsan Complex,265,1973,52.0,-12.0,2013.0,,,,
PS,Utility,HDC Hyundai EP,Ulsan,Ulsan Complex,148,1989,36.0,4.0,2029.0,,,,
PS,Utility,Korea INEOS Styrolution,Ulsan,Ulsan Complex,266,1985,40.0,0.0,2025.0,,,,
EPS,Utility,SH Energy Chemical,Gunsan,Other Regions,100,1973,52.0,-12.0,2013.0,,,,
EPS,Utility,Lotte Chemical,Yeosu,Yeosu Complex,90,1989,36.0,4.0,2029.0,,,,
EPS,Utility,LG Chem,Yeosu,Yeosu Complex,90,1984,41.0,-1.0,2024.0,,,,
EPS,Utility,Kumho Petrochemical,Ulsan,Ulsan Complex,80,1973,52.0,-12.0,2013.0,,,,
EPS,Utility,HDC Hyundai EP,Ulsan,Ulsan Complex,80,1989,36.0,4.0,2029.0,,,,
EPS,Utility,BASF Korea,Ulsan,Ulsan Complex,85,1982,43.0,-3.0,2022.0,,,,
ABS,Utility,Lotte Chemical,Yeosu,Yeosu Complex,757,1989,36.0,4.0,2029.0,,,,
ABS,Utility,LG Chem,Yeosu,Yeosu Complex,1030,1978,47.0,-7.0,2018.0,,,,
ABS,Utility,Kumho Petrochemical,Ulsan,Ulsan Complex,290,1973,52.0,-12.0,2013.0,,,,
ABS,Utility,Korea INEOS Styrolution,Ulsan,Ulsan Complex,276,1990,35.0,5.0,2030.0,,,,
PVC,Utility,LG Chem,Daesan,Daesan Complex,240,1998,27.0,13.0,2038.0,,,,
PVC,Utility,LG Chem,Yeosu,Yeosu Complex,450,1976,49.0,-9.0,2016.0,,,,
PVC,Utility,Hanwha Solutions,Yeosu,Yeosu Complex,480,1990,35.0,5.0,2030.0,,,,
PVC,Utility,Hanwha Solutions,Ulsan,Ulsan Complex,330,1966,-41.0,81.0,2106.0,,,,
TPA,Utility,Hanwha Impact,Daesan,Daesan Complex,700,1997,28.0,12.0,2037.0,,,,
TPA,Utility,Samnam Petrochemical,Yeosu,Yeosu Complex,1500,1990,35.0,5.0,2030.0,,,,
TPA,Utility,Hanwha Impact,Ulsan,Ulsan Complex,1300,1995,30.0,10.0,2035.0,,,,
TPA,Utility,Taekwang Industrial,Ulsan,Ulsan Complex,1000,1980,45.0,-5.0,2020.0,,,,
TPA,Utility,Hyosung Chemical,Ulsan,Ulsan Complex,420,1997,28.0,12.0,2037.0,,,,
CPLM,Utility,Caprolactam,Ulsan,Ulsan Complex,270,1974,51.0,-11.0,2014.0,,,,
DMT,Utility,SK Chemical,Ulsan,Ulsan Complex,160,1989,36.0,4.0,2029.0,,,,
EG,Utility,Lotte Chemical,Daesan,Daesan Complex,730,2005,20.0,20.0,2045.0,,,,
EG,Utility,Hanwha TotalEnergies,Daesan,Daesan Complex,218,1991,34.0,6.0,2031.0,,,,
EG,Utility,Lotte Chemical,Yeosu,Yeosu Complex,400,1979,46.0,-6.0,2019.0,,,,
EG,Utility,Daehan Oil Chemical,Ulsan,Ulsan Complex,200,2014,11.0,29.0,2054.0,,,,
AN,Utility,Dongseo Petrochemical,Ulsan,Ulsan Complex,602,1972,53.0,-13.0,2012.0,,,,
AN,Utility,Taekwang Industrial,Ulsan,Ulsan Complex,290,1997,28.0,12.0,2037.0,,,,
SBR,Utility,LG Chem,Daesan,Daesan Complex,80,1996,29.0,11.0,2036.0,,,,
SBR,Utility,Kumho Petrochemical,Ulsan,Ulsan Complex,183,1973,52.0,-12.0,2013.0,,,,
S-SBR,Utility,LG Chem,Daesan,Daesan Complex,80,2012,13.0,27.0,2052.0,,,,
S-SBR,Utility,Kumho Petrochemical,Yeosu,Yeosu Complex,123,2012,13.0,27.0,2052.0,,,,
S-SBR,Utility,Lotte Versalis Elastomers,Yeosu,Yeosu Complex,100,2018,7.0,33.0,2058.0,,,,
SB-Latex,Utility,LG Chem,Daesan,Daesan Complex,20,1996,29.0,11.0,2036.0,,,,
SB-Latex,Utility,Kumho Petrochemical,Ulsan,Ulsan Complex,85,1983,42.0,-2.0,2023.0,,,,
SB-Latex,Utility,Korea Trinseo,Ulsan,Ulsan Complex,43,1990,35.0,5.0,2030.0,,,,
SB-Latex,Utility,Hansol Chemical,Jeonju,Other Regions,60,1996,29.0,11.0,2036.0,,,,
BR,Utility,LG Chem,Daesan,Daesan Complex,220,1996,29.0,11.0,2036.0,,,,
BR,Utility,Kumho Petrochemical,Yeosu,Yeosu Complex,275,1980,45.0,-5.0,2020.0,,,,
NBR,Utility,LG Chem,Daesan,Daesan Complex,65,1996,29.0,11.0,2036.0,,,,
NBR,Utility,Kumho Petrochemical,Ulsan,Ulsan Complex,92,1987,38.0,2.0,2027.0,,,,
NB-Latex,Utility,LG Chem,Yeosu,Yeosu Complex,205,2008,17.0,23.0,2048.0,,,,
NB-Latex,Utility,Kumho Petrochemical,Ulsan,Ulsan Complex,946,2012,13.0,27.0,2052.0,,,,
NB-Latex,Utility,Hansol Chemical,Jeonju,Other Regions,28,2021,4.0,36.0,2061.0,,,,
EPDM,Utility,Kumho Polychem,Yeosu,Yeosu Complex,310,1987,38.0,2.0,2027.0,,,,
EPDM,Utility,Lotte Versalis Elastomers,Yeosu,Yeosu Complex,96,2018,7.0,33.0,2058.0,,,,
Acetic Acid,Utility,Lotte INEOS Chemical,Ulsan,Ulsan Complex,710,1991,34.0,6.0,2031.0,,,,
Vinyl Acetate,Utility,Lotte INEOS Chemical,Ulsan,Ulsan Complex,460,1996,29.0,11.0,2036.0,,,,
Ethanol,Utility,Korea Alcohol Industrial,Ulsan,Ulsan Complex,70,1974,51.0,-11.0,2014.0,,,,
Ethyl Acetate,Utility,Korea Alcohol Industrial,Ulsan,Ulsan Complex,123,1989,36.0,4.0,2029.0,,,,
Alkylbenzene,Utility,ISU Chemical,Ulsan,Ulsan Complex,180,1973,52.0,-12.0,2013.0,,,,
PA,Utility,Aekyung Chemical,Ulsan,Ulsan Complex,210,1972,53.0,-13.0,2012.0,,,,
PA,Utility,OCI,Pohang,Other Regions,60,1983,42.0,-2.0,2023.0,,,,
MA,Utility,Aekyung Chemical,Ulsan,Ulsan Complex,8,1988,37.0,3.0,2028.0,,,,
MA,Utility,Yongsan Chemical,Ulsan,Ulsan Complex,38,1976,49.0,-9.0,2016.0,,,,
MA,Utility,Korea PTG,Ulsan,Ulsan Complex,30,1992,33.0,7.0,2032.0,,,,
TDI,Utility,OCI,Gunsan,Other Regions,50,1990,35.0,5.0,2030.0,,,,
TDI,Utility,BASF Korea,Yeosu,Yeosu Complex,160,1988,37.0,3.0,2028.0,,,,
TDI,Utility,Hanwha Solutions,Yeosu,Yeosu Complex,150,1981,44.0,-4.0,2021.0,,,,
MDI,Utility,Downing Chemical,Yeosu,Yeosu Complex,30,2018,7.0,33.0,2058.0,,,,
MDI,Utility,Kumho Mitsui Chemical,Yeosu,Yeosu Complex,610,1992,33.0,7.0,2032.0,,,,
MDI,Utility,BASF Korea,Yeosu,Yeosu Complex,250,1992,33.0,7.0,2032.0,,,,
Phenol,Utility,LG Chem,Daesan,Daesan Complex,360,2013,12.0,28.0,2053.0,,,,
Phenol,Utility,Kumho P&B Chemical,Yeosu,Yeosu Complex,680,1980,45.0,-5.0,2020.0,,,,
Phenol,Utility,LG Chem,Yeosu,Yeosu Complex,350,2005,20.0,20.0,2045.0,,,,
Acetone,Utility,LG Chem,Daesan,Daesan Complex,225,2013,12.0,28.0,2053.0,,,,
Acetone,Utility,Kumho P&B Chemical,Yeosu,Yeosu Complex,420,1980,45.0,-5.0,2020.0,,,,
Acetone,Utility,LG Chem,Yeosu,Yeosu Complex,210,2005,20.0,20.0,2045.0,,,,
BPA,Utility,Samyang Innochem,Gunsan,Other Regions,180,2012,13.0,27.0,2052.0,,,,
BPA,Utility,LG Chem,Daesan,Daesan Complex,165,2013,12.0,28.0,2053.0,,,,
BPA,Utility,Kumho P&B Chemical,Yeosu,Yeosu Complex,450,1991,34.0,6.0,2031.0,,,,
BPA,Utility,LG Chem,Yeosu,Yeosu Complex,330,2005,20.0,20.0,2045.0,,,,
Epoxy Resin,Utility,Bluecube Chemical,Gumi,Other Regions,52,1990,35.0,5.0,2030.0,,,,
Epoxy Resin,Utility,Kukdo Chemical,Busan/Iksan/Siheung,Other Regions,530,1973,52.0,-12.0,2013.0,,,,
Epoxy Resin,Utility,Kumho P&B Chemical,Yeosu,Yeosu Complex,338,2019,6.0,34.0,2059.0,,,,
Octanol,Utility,LG Chem,Naju,Other Regions,125,1982,43.0,-3.0,2022.0,,,,
Octanol,Utility,Hanwha Solutions,Yeosu,Yeosu Complex,152,1997,28.0,12.0,2037.0,,,,
Butanol,Utility,LG Chem,Naju,Other Regions,55,1982,43.0,-3.0,2022.0,,,,
Butanol,Utility,Hanwha Solutions,Yeosu,Yeosu Complex,12,1997,28.0,12.0,2037.0,,,,
PPG,Utility,Kumho Petrochemical,Yeosu,Yeosu Complex,152,1997,28.0,12.0,2037.0,,,,
PPG,Utility,PU Core,Ulsan,Ulsan Complex,220,1988,37.0,3.0,2028.0,,,,
PPG,Utility,KPX Chemical,Ulsan,Ulsan Complex,298,1990,35.0,5.0,2030.0,,,,
PPG,Utility,BASF Korea,Ulsan,Ulsan Complex,119,1975,50.0,-10.0,2015.0,,,,
MMA,Utility,Lotte MCC,Daesan,Daesan Complex,90,1995,30.0,10.0,2035.0,,,,
MMA,Utility,Lotte MCC,Yeosu,Yeosu Complex,97,2009,16.0,24.0,2049.0,,,,
MMA,Utility,Lotte Chemical,Yeosu,Yeosu Complex,50,2013,12.0,28.0,2053.0,,,,
MMA,Utility,LXMMA,Yeosu,Yeosu Complex,260,2001,24.0,16.0,2041.0,,,,
PMMA,Utility,Lotte MCC,Yeosu,Yeosu Complex,110,2008,17.0,23.0,2048.0,,,,
PMMA,Utility,LXMMA,Yeosu,Yeosu Complex,120,1991,34.0,6.0,2031.0,,,,
PMMA,Utility,Arkema,Jinhae,Other Regions,100,1999,26.0,14.0,2039.0,,,,
Carbon Black(CB),Utility,OCI,Gwangyang,Other Regions,150,1992,33.0,7.0,2032.0,,,,
Carbon Black(CB),Utility,HD Hyundai OCI,Daesan,Daesan Complex,136,2018,7.0,33.0,2058.0,,,,
Carbon Black(CB),Utility,Birla Carbon Korea,Yeosu,Yeosu Complex,193,1996,29.0,11.0,2036.0,,,,
Carbon Black(CB),Utility,Orion Engineered Carbons,Yeosu,Yeosu Complex,170,1979,46.0,-6.0,2019.0,,,,
Carbon Black(CB),Utility,OCI,Pohang,Other Regions,40,1981,44.0,-4.0,2021.0,,,,
Petroleum Resin,Utility,Kolon Industries,Daesan,Daesan Complex,87,2014,11.0,29.0,2054.0,,,,
Petroleum Resin,Utility,Kolon Industries,Yeosu,Yeosu Complex,50,2004,21.0,19.0,2044.0,,,,
Petroleum Resin,Utility,Hanwha Solutions,Yeosu,Yeosu Complex,86,2019,6.0,34.0,2059.0,,,,
Ethylene,Naphtha Cracker,S-Oil Shaheen,Onsan,,1800,2026,,,,Onsan Complex,4.0,36.0,2066.0
Propylene,Naphtha Cracker,S-Oil Shaheen,Onsan,,770,2026,,,,Onsan Complex,4.0,36.0,2066.0
Butadiene,Extraction,S-Oil Shaheen,Onsan,,200,2026,,,,Onsan Complex,4.0,36.0,2066.0
Benzene,BTX Extraction,S-Oil Shaheen,Onsan,,280,2026,,,,Onsan Complex,4.0,36.0,2066.0
HDPE,Polymerization,S-Oil Shaheen,Onsan,,400,2026,,,,Onsan Complex,4.0,36.0,2066.0
PP,Polymerization,S-Oil Shaheen,Onsan,,500,2026,,,,Onsan Complex,4.0,36.0,2066.0
