year,category,value,unit,figure_type
2046,shaheen_ncc_h2_flat_decoupled,85.45242762,billion_USD,line
2047,shaheen_ncc_h2_flat_decoupled,91.344263675,billion_USD,line
2048,shaheen_ncc_h2_flat_decoupled,97.094679745,billion_USD,line
2049,shaheen_ncc_h2_flat_decoupled,102.83770833,billion_USD,line
2050,shaheen_ncc_h2_flat_decoupled,108.56755343,billion_USD,line
2025,shaheen_ncc_h2_rising_coupled,0.0,billion_USD,line
2026,shaheen_ncc_h2_rising_coupled,2.309706,billion_USD,line
2027,shaheen_ncc_h2_rising_coupled,4.52349625,billion_USD,line
2028,shaheen_ncc_h2_rising_coupled,6.91410475,billion_USD,line
2029,shaheen_ncc_h2_rising_coupled,9.4875046,billion_USD,line
2030,shaheen_ncc_h2_rising_coupled,11.9387296,billion_USD,line
2031,shaheen_ncc_h2_rising_coupled,15.03861555,billion_USD,line
2032,shaheen_ncc_h2_rising_coupled,18.08233665,billion_USD,line
2033,shaheen_ncc_h2_rising_coupled,21.0698929,billion_USD,line
2034,shaheen_ncc_h2_rising_coupled,24.2620721,billion_USD,line
2035,shaheen_ncc_h2_rising_coupled,27.6894884,billion_USD,line
2036,shaheen_ncc_h2_rising_coupled,31.14067635,billion_USD,line
2037,shaheen_ncc_h2_rising_coupled,34.779449425,billion_USD,line
2038,shaheen_ncc_h2_rising_coupled,38.344182625,billion_USD,line
2039,shaheen_ncc_h2_rising_coupled,44.01288556,billion_USD,line
2040,shaheen_ncc_h2_rising_coupled,49.56898751,billion_USD,line
2041,shaheen_ncc_h2_rising_coupled,55.112107225,billion_USD,line
2042,shaheen_ncc_h2_rising_coupled,60.676779205,billion_USD,line
2043,shaheen_ncc_h2_rising_coupled,66.307169775,billion_USD,line
2044,shaheen_ncc_h2_rising_coupled,72.094308335,billion_USD,line
2045,shaheen_ncc_h2_rising_coupled,77.845035135,billion_USD,line
2046,shaheen_ncc_h2_rising_coupled,83.561282175,billion_USD,line
2047,shaheen_ncc_h2_rising_coupled,89.382636455,billion_USD,line
2048,shaheen_ncc_h2_rising_coupled,95.261530525,billion_USD,line
2049,shaheen_ncc_h2_rising_coupled,100.99562361,billion_USD,line
2050,shaheen_ncc_h2_rising_coupled,106.72546871,billion_USD,line
2025,shaheen_ncc_h2_rising_decoupled,0.0,billion_USD,line
2026,shaheen_ncc_h2_rising_decoupled,2.2583148,billion_USD,line
2027,shaheen_ncc_h2_rising_decoupled,4.42285515,billion_USD,line
2028,shaheen_ncc_h2_rising_decoupled,6.70437005,billion_USD,line
2029,shaheen_ncc_h2_rising_decoupled,9.142868,billion_USD,line
2030,shaheen_ncc_h2_rising_decoupled,11.742857,billion_USD,line
2031,shaheen_ncc_h2_rising_decoupled,14.84274295,billion_USD,line
2032,shaheen_ncc_h2_rising_decoupled,17.88646405,billion_USD,line
2033,shaheen_ncc_h2_rising_decoupled,20.8740203,billion_USD,line
2034,shaheen_ncc_h2_rising_decoupled,24.0446416,billion_USD,line
2035,shaheen_ncc_h2_rising_decoupled,27.4720579,billion_USD,line
2036,shaheen_ncc_h2_rising_decoupled,31.0941071,billion_USD,line
2037,shaheen_ncc_h2_rising_decoupled,34.6439317,billion_USD,line
2038,shaheen_ncc_h2_rising_decoupled,38.2086649,billion_USD,line
2039,shaheen_ncc_h2_rising_decoupled,41.900640425,billion_USD,line
2040,shaheen_ncc_h2_rising_decoupled,45.640195475,billion_USD,line
2041,shaheen_ncc_h2_rising_decoupled,49.53777605,billion_USD,line
2042,shaheen_ncc_h2_rising_decoupled,53.52077115,billion_USD,line
2043,shaheen_ncc_h2_rising_decoupled,57.624641025,billion_USD,line
2044,shaheen_ncc_h2_rising_decoupled,61.741684725,billion_USD,line
2045,shaheen_ncc_h2_rising_decoupled,65.972193175,billion_USD,line
2046,shaheen_ncc_h2_rising_decoupled,70.307311375,billion_USD,line
2047,shaheen_ncc_h2_rising_decoupled,74.6661811,billion_USD,line
2048,shaheen_ncc_h2_rising_decoupled,79.39473017,billion_USD,line
2049,shaheen_ncc_h2_rising_decoupled,84.557034975,billion_USD,line
2050,shaheen_ncc_h2_rising_decoupled,90.286880075,billion_USD,line
2025,shaheen_ncc_elec_flat_coupled,0.0,billion_USD,line
2026,shaheen_ncc_elec_flat_coupled,0.0633696,billion_USD,line
2027,shaheen_ncc_elec_flat_coupled,0.1244208,billion_USD,line
2028,shaheen_ncc_elec_flat_coupled,0.1831536,billion_USD,line
2029,shaheen_ncc_elec_flat_coupled,3.2187635199999995,billion_USD,line
2030,shaheen_ncc_elec_flat_coupled,6.097958719999999,billion_USD,line
2031,shaheen_ncc_elec_flat_coupled,8.931436359999998,billion_USD,line
2032,shaheen_ncc_elec_flat_coupled,13.765631214999996,billion_USD,line
2033,shaheen_ncc_elec_flat_coupled,18.520481647499995,billion_USD,line
2034,shaheen_ncc_elec_flat_coupled,23.195987657499995,billion_USD,line
2035,shaheen_ncc_elec_flat_coupled,27.792149244999997,billion_USD,line
2036,shaheen_ncc_elec_flat_coupled,32.30896641,billion_USD,line
2037,shaheen_ncc_elec_flat_coupled,36.746439152499995,billion_USD,line
2038,shaheen_ncc_elec_flat_coupled,43.16966939249999,billion_USD,line
2039,shaheen_ncc_elec_flat_coupled,49.478290574999995,billion_USD,line
2040,shaheen_ncc_elec_flat_coupled,55.672302699999996,billion_USD,line
2041,shaheen_ncc_elec_flat_coupled,61.75170576749999,billion_USD,line
2042,shaheen_ncc_elec_flat_coupled,67.71649977749999,billion_USD,line
2043,shaheen_ncc_elec_flat_coupled,73.56668472999999,billion_USD,line
2044,shaheen_ncc_elec_flat_coupled,79.30226062499999,billion_USD,line
2045,shaheen_ncc_elec_flat_coupled,84.92322746249998,billion_USD,line
2046,shaheen_ncc_elec_flat_coupled,90.42958524249998,billion_USD,line
2047,shaheen_ncc_elec_flat_coupled,95.82133396499998,billion_USD,line
2048,shaheen_ncc_elec_flat_coupled,101.09847362999999,billion_USD,line
2049,shaheen_ncc_elec_flat_coupled,106.26100423749999,billion_USD,line
2050,shaheen_ncc_elec_flat_coupled,111.30892578749999,billion_USD,line
2025,shaheen_ncc_elec_flat_decoupled,0.0,billion_USD,line
2026,shaheen_ncc_elec_flat_decoupled,0.0633696,billion_USD,line
2027,shaheen_ncc_elec_flat_decoupled,0.1244208,billion_USD,line
2028,shaheen_ncc_elec_flat_decoupled,0.1831536,billion_USD,line
2029,shaheen_ncc_elec_flat_decoupled,3.2187635199999995,billion_USD,line
2030,shaheen_ncc_elec_flat_decoupled,6.097958719999999,billion_USD,line
2031,shaheen_ncc_elec_flat_decoupled,8.931436359999998,billion_USD,line
2032,shaheen_ncc_elec_flat_decoupled,13.765631214999996,billion_USD,line
2033,shaheen_ncc_elec_flat_decoupled,18.520481647499995,billion_USD,line
2034,shaheen_ncc_elec_flat_decoupled,23.195987657499995,billion_USD,line
2035,shaheen_ncc_elec_flat_decoupled,27.792149244999997,billion_USD,line
2036,shaheen_ncc_elec_flat_decoupled,32.30896641,billion_USD,line
2037,shaheen_ncc_elec_flat_decoupled,36.746439152499995,billion_USD,line
2038,shaheen_ncc_elec_flat_decoupled,43.16966939249999,billion_USD,line
2039,shaheen_ncc_elec_flat_decoupled,49.478290574999995,billion_USD,line
2040,shaheen_ncc_elec_flat_decoupled,55.672302699999996,billion_USD,line
2041,shaheen_ncc_elec_flat_decoupled,61.75170576749999,billion_USD,line
2042,shaheen_ncc_elec_flat_decoupled,67.71649977749999,billion_USD,line
2043,shaheen_ncc_elec_flat_decoupled,73.56668472999999,billion_USD,line
2044,shaheen_ncc_elec_flat_decoupled,79.30226062499999,billion_USD,line
2045,shaheen_ncc_elec_flat_decoupled,84.92322746249998,billion_USD,line
2046,shaheen_ncc_elec_flat_decoupled,90.42958524249998,billion_USD,line
2047,shaheen_ncc_elec_flat_decoupled,95.82133396499998,billion_USD,line
2048,shaheen_ncc_elec_flat_decoupled,101.09847362999999,billion_USD,line
2049,shaheen_ncc_elec_flat_decoupled,106.26100423749999,billion_USD,line
2050,shaheen_ncc_elec_flat_decoupled,111.30892578749999,billion_USD,line
2025,shaheen_ncc_elec_rising_coupled,0.0,billion_USD,line
2026,shaheen_ncc_elec_rising_coupled,0.0633696,billion_USD,line
2027,shaheen_ncc_elec_rising_coupled,0.1244208,billion_USD,line
2028,shaheen_ncc_elec_rising_coupled,0.1831536,billion_USD,line
2029,shaheen_ncc_elec_rising_coupled,3.2187635199999995,billion_USD,line
2030,shaheen_ncc_elec_rising_coupled,6.097958719999999,billion_USD,line
2031,shaheen_ncc_elec_rising_coupled,8.931436359999998,billion_USD,line
2032,shaheen_ncc_elec_rising_coupled,13.765631214999996,billion_USD,line
2033,shaheen_ncc_elec_rising_coupled,18.520481647499995,billion_USD,line
2034,shaheen_ncc_elec_rising_coupled,23.195987657499995,billion_USD,line
2035,shaheen_ncc_elec_rising_coupled,27.792149244999997,billion_USD,line
2036,shaheen_ncc_elec_rising_coupled,32.30896641,billion_USD,line
2037,shaheen_ncc_elec_rising_coupled,36.746439152499995,billion_USD,line
2038,shaheen_ncc_elec_rising_coupled,43.16966939249999,billion_USD,line
2039,shaheen_ncc_elec_rising_coupled,49.478290574999995,billion_USD,line
2040,shaheen_ncc_elec_rising_coupled,55.672302699999996,billion_USD,line
2041,shaheen_ncc_elec_rising_coupled,61.75170576749999,billion_USD,line
2042,shaheen_ncc_elec_rising_coupled,67.71649977749999,billion_USD,line
2043,shaheen_ncc_elec_rising_coupled,73.56668472999999,billion_USD,line
2044,shaheen_ncc_elec_rising_coupled,79.30226062499999,billion_USD,line
2045,shaheen_ncc_elec_rising_coupled,84.92322746249998,billion_USD,line
2046,shaheen_ncc_elec_rising_coupled,90.42958524249998,billion_USD,line
2047,shaheen_ncc_elec_rising_coupled,95.82133396499998,billion_USD,line
2048,shaheen_ncc_elec_rising_coupled,101.09847362999999,billion_USD,line
2049,shaheen_ncc_elec_rising_coupled,106.26100423749999,billion_USD,line
2050,shaheen_ncc_elec_rising_coupled,111.30892578749999,billion_USD,line
2025,shaheen_ncc_elec_rising_decoupled,0.0,billion_USD,line
2026,shaheen_ncc_elec_rising_decoupled,0.0633696,billion_USD,line
2027,shaheen_ncc_elec_rising_decoupled,0.1244208,billion_USD,line
2028,shaheen_ncc_elec_rising_decoupled,0.1831536,billion_USD,line
2029,shaheen_ncc_elec_rising_decoupled,3.2187635199999995,billion_USD,line
2030,shaheen_ncc_elec_rising_decoupled,6.097958719999999,billion_USD,line
2031,shaheen_ncc_elec_rising_decoupled,8.931436359999998,billion_USD,line
2032,shaheen_ncc_elec_rising_decoupled,13.765631214999996,billion_USD,line
2033,shaheen_ncc_elec_rising_decoupled,18.520481647499995,billion_USD,line
2034,shaheen_ncc_elec_rising_decoupled,23.195987657499995,billion_USD,line
2035,shaheen_ncc_elec_rising_decoupled,27.792149244999997,billion_USD,line
2036,shaheen_ncc_elec_rising_decoupled,32.30896641,billion_USD,line
2037,shaheen_ncc_elec_rising_decoupled,36.746439152499995,billion_USD,line
2038,shaheen_ncc_elec_rising_decoupled,43.16966939249999,billion_USD,line
2039,shaheen_ncc_elec_rising_decoupled,49.478290574999995,billion_USD,line
2040,shaheen_ncc_elec_rising_decoupled,55.672302699999996,billion_USD,line
2041,shaheen_ncc_elec_rising_decoupled,61.75170576749999,billion_USD,line
2042,shaheen_ncc_elec_rising_decoupled,67.71649977749999,billion_USD,line
2043,shaheen_ncc_elec_rising_decoupled,73.56668472999999,billion_USD,line
2044,shaheen_ncc_elec_rising_decoupled,79.30226062499999,billion_USD,line
2045,shaheen_ncc_elec_rising_decoupled,84.92322746249998,billion_USD,line
2046,shaheen_ncc_elec_rising_decoupled,90.42958524249998,billion_USD,line
2047,shaheen_ncc_elec_rising_decoupled,95.82133396499998,billion_USD,line
2048,shaheen_ncc_elec_rising_decoupled,101.09847362999999,billion_USD,line
2049,shaheen_ncc_elec_rising_decoupled,106.26100423749999,billion_USD,line
2050,shaheen_ncc_elec_rising_decoupled,111.30892578749999,billion_USD,line
