facility_id,company,location,process,capacity_1000_t,startup_year,retirement_year,baseline_emissions_tco2,age_at_retirement
39,OCI,Gwangyang,BTX Plant,200,1995,2045,63037.77586974907,50
40,Lotte Chemical,Daesan,BTX Plant,240,2011,2061,75645.33104369888,50
41,HD현대케미칼,Daesan,BTX Plant,410,2016,2066,129227.44053298561,50
42,HDHyundai Oilbank,Daesan,BTX Plant,338,1997,2047,106533.84121987593,50
43,LG Chem,Daesan,BTX Plant,270,1991,2041,85100.99742416125,50
44,한화토탈에너지스,Daesan,BTX Plant,1267,1991,2041,399344.31013486034,50
45,Lotte Chemical,Yeosu,BTX Plant,235,1992,2042,74069.38664695516,50
46,LG Chem,Yeosu,BTX Plant,630,1992,2042,198568.9939897096,50
47,여천NCC,Yeosu,BTX Plant,457,1979,2029,144041.31786237663,50
48,GS Caltex,Yeosu,BTX Plant,930,1990,2040,293125.6577943332,50
49,대한유화,Onsan,BTX Plant,210,2008,2058,66189.66466323653,50
50,S-Oil,Onsan,BTX Plant,672,1991,2041,211806.92692235688,50
51,Lotte Chemical,Ulsan,BTX Plant,110,1986,2036,34670.77672836199,50
52,SK지오센트릭,Ulsan,BTX Plant,603,1972,2025,190058.89424729344,50
53,Ulsan아로마틱스,Ulsan,BTX Plant,600,2014,2064,189113.32760924724,50
54,SKIncheon석유화학,Incheon,BTX Plant,600,2006,2056,189113.32760924724,50
55,OCI,Gwangyang,BTX Plant,40,1995,2045,12607.555173949815,50
56,Lotte Chemical,Daesan,BTX Plant,120,2011,2061,37822.66552184944,50
57,LG Chem,Daesan,BTX Plant,100,2011,2061,31518.887934874536,50
58,Lotte Chemical,Yeosu,BTX Plant,220,1992,2042,69341.55345672398,50
59,LG Chem,Yeosu,BTX Plant,112,1992,2042,35301.15448705948,50
60,여천NCC,Yeosu,BTX Plant,282,1979,2029,88883.26397634619,50
61,GS Caltex,Yeosu,BTX Plant,170,1990,2040,53582.10948928671,50
62,대한유화,Onsan,BTX Plant,78,2008,2058,24584.732589202136,50
63,S-Oil,Onsan,BTX Plant,300,1991,2041,94556.66380462362,50
64,SK지오센트릭,Ulsan,BTX Plant,1506,2070,2120,474674.4522992105,50
65,Lotte Chemical,Daesan,BTX Plant,60,2011,2061,18911.33276092472,50
66,HD현대케미칼,Daesan,BTX Plant,1350,2016,2066,425504.98712080624,50
68,Lotte Chemical,Yeosu,BTX Plant,79,1992,2042,24899.921468550885,50
69,LG Chem,Yeosu,BTX Plant,60,1992,2042,18911.33276092472,50
70,여천NCC,Yeosu,BTX Plant,204,1979,2029,64298.53138714406,50
71,GS Caltex,Yeosu,BTX Plant,350,1990,2040,110316.10777206087,50
72,대한유화,Onsan,BTX Plant,47,2008,2058,14813.877329391033,50
73,S-Oil,Onsan,BTX Plant,450,1991,2041,141834.9957069354,50
74,SK지오센트릭,Ulsan,BTX Plant,894,2070,2120,281778.85813777836,50
75,Lotte Chemical,Ulsan,BTX Plant,210,1980,2030,66189.66466323653,50
76,SK지오센트릭,Ulsan,BTX Plant,200,1990,2040,63037.77586974907,50
77,Lotte Chemical,Ulsan,BTX Plant,360,1998,2048,113467.99656554832,50
78,HDHyundai Oilbank,Daesan,BTX Plant,1460,1997,2047,460175.7638491682,50
79,한화토탈에너지스,Daesan,BTX Plant,2000,1997,2047,630377.7586974907,50
80,GS Caltex,Yeosu,BTX Plant,1350,1990,2040,425504.98712080624,50
81,S-Oil,Onsan,BTX Plant,1900,1997,2047,598858.8707626162,50
82,Lotte Chemical,Ulsan,BTX Plant,750,1980,2030,236391.659511559,50
83,SK지오센트릭,Ulsan,BTX Plant,830,1990,2040,261606.76985945867,50
84,Ulsan아로마틱스,Ulsan,BTX Plant,1000,2014,2064,315188.87934874534,50
85,SKIncheon석유화학,Incheon,BTX Plant,1500,2014,2064,472783.319023118,50
86,SK지오센트릭,Ulsan,Naphtha Cracker,160,1974,2025,332275.4541708547,50
87,카프로,Ulsan,Naphtha Cracker,190,2000,2050,394577.10182789,50
