facility_id,company,location,process,capacity_1000_t,startup_year,retirement_year,baseline_emissions_tco2,age_at_retirement,growth_rate
56,Lotte Chemical,Daesan,BTX Plant,120,2011,2061,37822.66552184944,50,0.002
57,LG Chem,Daesan,BTX Plant,100,2011,2061,31518.887934874536,50,0.002
58,Lotte Chemical,Yeosu,BTX Plant,220,1992,2042,69341.55345672398,50,0.002
59,LG Chem,Yeosu,BTX Plant,112,1992,2042,35301.15448705948,50,0.002
60,Yeochon NCC,Yeosu,BTX Plant,282,1979,2029,88883.26397634619,50,0.002
61,GS Caltex,Yeosu,BTX Plant,170,1990,2040,53582.10948928671,50,0.002
62,Daehan Oil Chemical,Onsan,BTX Plant,78,2008,2058,24584.732589202136,50,0.002
63,S-Oil,Onsan,BTX Plant,300,1991,2041,94556.66380462362,50,0.002
64,SK Geocentric,Ulsan,BTX Plant,1506,2070,2120,474674.4522992105,50,0.002
65,Lotte Chemical,Daesan,BTX Plant,60,2011,2061,18911.33276092472,50,0.002
66,HD Hyundai Chemical,Daesan,BTX Plant,1350,2016,2066,425504.98712080624,50,0.002
68,Lotte Chemical,Yeosu,BTX Plant,79,1992,2042,24899.921468550885,50,0.002
69,LG Chem,Yeosu,BTX Plant,60,1992,2042,18911.33276092472,50,0.002
70,Yeochon NCC,Yeosu,BTX Plant,204,1979,2029,64298.53138714406,50,0.002
71,GS Caltex,Yeosu,BTX Plant,350,1990,2040,110316.10777206087,50,0.002
72,Daehan Oil Chemical,Onsan,BTX Plant,47,2008,2058,14813.877329391033,50,0.002
73,S-Oil,Onsan,BTX Plant,450,1991,2041,141834.9957069354,50,0.002
74,SK Geocentric,Ulsan,BTX Plant,894,2070,2120,281778.85813777836,50,0.002
75,Lotte Chemical,Ulsan,BTX Plant,210,1980,2030,66189.66466323653,50,0.002
76,SK Geocentric,Ulsan,BTX Plant,200,1990,2040,63037.77586974907,50,0.002
77,Lotte Chemical,Ulsan,BTX Plant,360,1998,2048,113467.99656554832,50,0.002
78,HDHyundai Oilbank,Daesan,BTX Plant,1460,1997,2047,460175.7638491682,50,0.002
79,Hanwha TotalEnergies,Daesan,BTX Plant,2000,1997,2047,630377.7586974907,50,0.002
80,GS Caltex,Yeosu,BTX Plant,1350,1990,2040,425504.98712080624,50,0.002
81,S-Oil,Onsan,BTX Plant,1900,1997,2047,598858.8707626162,50,0.002
82,Lotte Chemical,Ulsan,BTX Plant,750,1980,2030,236391.659511559,50,0.002
83,SK Geocentric,Ulsan,BTX Plant,830,1990,2040,261606.76985945867,50,0.002
84,Ulsan Aromatics,Ulsan,BTX Plant,1000,2014,2064,315188.87934874534,50,0.002
85,SK Incheon Petrochemical,Incheon,BTX Plant,1500,2014,2064,472783.319023118,50,0.002
86,SK Geocentric,Ulsan,Naphtha Cracker,160,1974,2025,332275.4541708547,50,0.002
87,Caprolactam,Ulsan,Naphtha Cracker,190,2000,2050,394577.10182789,50,0.002
