facility_id,company,location,process,capacity_1000_t,startup_year,retirement_year,baseline_emissions_tco2,age_at_retirement
34,LG Chem,Yeosu,Naphtha Cracker,306,1991,2025,635476.8061017595,30
35,여천NCC,Yeosu,Naphtha Cracker,378,1992,2025,785000.7604786442,30
36,Kumho Petrochemical,Ulsan,Naphtha Cracker,90,1979,2025,186904.94297110575,30
37,대한유화,Ulsan,Naphtha Cracker,146,2023,2053,303201.3519309049,30
38,SK지오센트릭,Ulsan,Naphtha Cracker,130,1989,2025,269973.80651381944,30
39,OCI,Gwangyang,BTX Plant,200,1995,2025,63037.77586974907,30
40,Lotte Chemical,Daesan,BTX Plant,240,2011,2041,75645.33104369888,30
41,HD현대케미칼,Daesan,BTX Plant,410,2016,2046,129227.44053298561,30
42,HDHyundai Oilbank,Daesan,BTX Plant,338,1997,2027,106533.84121987593,30
43,LG Chem,Daesan,BTX Plant,270,1991,2025,85100.99742416125,30
44,한화토탈에너지스,Daesan,BTX Plant,1267,1991,2025,399344.31013486034,30
45,Lotte Chemical,Yeosu,BTX Plant,235,1992,2025,74069.38664695516,30
46,LG Chem,Yeosu,BTX Plant,630,1992,2025,198568.9939897096,30
47,여천NCC,Yeosu,BTX Plant,457,1979,2025,144041.31786237663,30
48,GS Caltex,Yeosu,BTX Plant,930,1990,2025,293125.6577943332,30
49,대한유화,Onsan,BTX Plant,210,2008,2038,66189.66466323653,30
50,S-Oil,Onsan,BTX Plant,672,1991,2025,211806.92692235688,30
51,Lotte Chemical,Ulsan,BTX Plant,110,1986,2025,34670.77672836199,30
52,SK지오센트릭,Ulsan,BTX Plant,603,1972,2025,190058.89424729344,30
53,Ulsan아로마틱스,Ulsan,BTX Plant,600,2014,2044,189113.32760924724,30
54,SKIncheon석유화학,Incheon,BTX Plant,600,2006,2036,189113.32760924724,30
55,OCI,Gwangyang,BTX Plant,40,1995,2025,12607.555173949815,30
56,Lotte Chemical,Daesan,BTX Plant,120,2011,2041,37822.66552184944,30
57,LG Chem,Daesan,BTX Plant,100,2011,2041,31518.887934874536,30
58,Lotte Chemical,Yeosu,BTX Plant,220,1992,2025,69341.55345672398,30
59,LG Chem,Yeosu,BTX Plant,112,1992,2025,35301.15448705948,30
60,여천NCC,Yeosu,BTX Plant,282,1979,2025,88883.26397634619,30
61,GS Caltex,Yeosu,BTX Plant,170,1990,2025,53582.10948928671,30
62,대한유화,Onsan,BTX Plant,78,2008,2038,24584.732589202136,30
63,S-Oil,Onsan,BTX Plant,300,1991,2025,94556.66380462362,30
64,SK지오센트릭,Ulsan,BTX Plant,1506,2070,2100,474674.4522992105,30
65,Lotte Chemical,Daesan,BTX Plant,60,2011,2041,18911.33276092472,30
66,HD현대케미칼,Daesan,BTX Plant,1350,2016,2046,425504.98712080624,30
68,Lotte Chemical,Yeosu,BTX Plant,79,1992,2025,24899.921468550885,30
69,LG Chem,Yeosu,BTX Plant,60,1992,2025,18911.33276092472,30
70,여천NCC,Yeosu,BTX Plant,204,1979,2025,64298.53138714406,30
71,GS Caltex,Yeosu,BTX Plant,350,1990,2025,110316.10777206087,30
72,대한유화,Onsan,BTX Plant,47,2008,2038,14813.877329391033,30
73,S-Oil,Onsan,BTX Plant,450,1991,2025,141834.9957069354,30
74,SK지오센트릭,Ulsan,BTX Plant,894,2070,2100,281778.85813777836,30
75,Lotte Chemical,Ulsan,BTX Plant,210,1980,2025,66189.66466323653,30
76,SK지오센트릭,Ulsan,BTX Plant,200,1990,2025,63037.77586974907,30
77,Lotte Chemical,Ulsan,BTX Plant,360,1998,2028,113467.99656554832,30
78,HDHyundai Oilbank,Daesan,BTX Plant,1460,1997,2027,460175.7638491682,30
79,한화토탈에너지스,Daesan,BTX Plant,2000,1997,2027,630377.7586974907,30
80,GS Caltex,Yeosu,BTX Plant,1350,1990,2025,425504.98712080624,30
81,S-Oil,Onsan,BTX Plant,1900,1997,2027,598858.8707626162,30
82,Lotte Chemical,Ulsan,BTX Plant,750,1980,2025,236391.659511559,30
83,SK지오센트릭,Ulsan,BTX Plant,830,1990,2025,261606.76985945867,30
84,Ulsan아로마틱스,Ulsan,BTX Plant,1000,2014,2044,315188.87934874534,30
85,SKIncheon석유화학,Incheon,BTX Plant,1500,2014,2044,472783.319023118,30
86,SK지오센트릭,Ulsan,Naphtha Cracker,160,1974,2025,332275.4541708547,30
87,카프로,Ulsan,Naphtha Cracker,190,2000,2030,394577.10182789,30
