company,location,process,capacity_1000_t,age_2025,remaining_life,original_asset_value,current_book_value,stranded_asset_cost_per_year,emissions_tco2,facility_id,original_asset_value_musd,current_book_value_musd,stranded_cost_musd_per_year,emissions_mtco2
GS Caltex,Yeosu,Naphtha Cracker,970,4,26,48500000000.0,42033333333.333336,1616666666.6666667,776000,19,48500.0,42033.333333333336,1616.6666666666667,0.776
대한유화,Onsan,Naphtha Cracker,560,34,0,28000000000.0,0.0,0.0,448000,20,28000.0,0.0,0.0,0.448
S-Oil,Onsan,Naphtha Cracker,840,7,23,42000000000.0,32200000000.0,1400000000.0,672000,21,42000.0,32200.0,1400.0,0.672
SK어드밴스드,Ulsan,Naphtha Cracker,600,9,21,30000000000.0,21000000000.0,1000000000.0,480000,22,30000.0,21000.0,1000.0,0.48
SK에너지,Ulsan,Naphtha Cracker,620,29,1,31000000000.0,1033333333.3333321,1033333333.3333321,496000,23,31000.0,1033.3333333333321,1033.3333333333321,0.496
SK지오센트릭,Ulsan,Naphtha Cracker,380,36,0,19000000000.0,0.0,0.0,304000,24,19000.0,0.0,0.0,0.304
태광산업,Ulsan,Naphtha Cracker,300,28,2,15000000000.0,1000000000.0,500000000.0,240000,25,15000.0,1000.0,500.0,0.24
효성화학,Ulsan,Naphtha Cracker,500,34,0,25000000000.0,0.0,0.0,400000,26,25000.0,0.0,0.0,0.4
Lotte Chemical,Daesan,Naphtha Cracker,190,28,2,9500000000.0,633333333.3333321,316666666.66666603,152000,27,9500.0,633.333333333332,316.666666666666,0.152
HD현대케미칼,Daesan,Naphtha Cracker,163,4,26,8150000000.0,7063333333.333333,271666666.6666666,130400,28,8150.0,7063.333333333333,271.66666666666663,0.1304
LG Chem,Daesan,Naphtha Cracker,200,34,0,10000000000.0,0.0,0.0,160000,29,10000.0,0.0,0.0,0.16
한화토탈에너지스,Daesan,Naphtha Cracker,150,34,0,7500000000.0,0.0,0.0,120000,30,7500.0,0.0,0.0,0.12
Kumho Petrochemical,Yeosu,Naphtha Cracker,147,33,0,7350000000.0,0.0,0.0,117600,31,7350.0,0.0,0.0,0.1176
롯데GS화학,Yeosu,Naphtha Cracker,130,3,27,6500000000.0,5850000000.0,216666666.66666666,104000,32,6500.0,5850.0,216.66666666666666,0.104
Lotte Chemical,Yeosu,Naphtha Cracker,160,14,16,8000000000.0,4266666666.666667,266666666.6666667,128000,33,8000.0,4266.666666666667,266.6666666666667,0.128
LG Chem,Yeosu,Naphtha Cracker,306,34,0,15300000000.0,0.0,0.0,244800,34,15300.0,0.0,0.0,0.2448
여천NCC,Yeosu,Naphtha Cracker,378,33,0,18900000000.0,0.0,0.0,302400,35,18900.0,0.0,0.0,0.3024
Kumho Petrochemical,Ulsan,Naphtha Cracker,90,46,0,4500000000.0,0.0,0.0,72000,36,4500.0,0.0,0.0,0.072
대한유화,Ulsan,Naphtha Cracker,146,2,28,7300000000.0,6813333333.333333,243333333.3333333,116800,37,7300.0,6813.333333333333,243.33333333333331,0.1168
SK지오센트릭,Ulsan,Naphtha Cracker,130,36,0,6500000000.0,0.0,0.0,104000,38,6500.0,0.0,0.0,0.104
OCI,Gwangyang,BTX Plant,200,30,0,10000000000.0,0.0,0.0,120000,39,10000.0,0.0,0.0,0.12
Lotte Chemical,Daesan,BTX Plant,240,14,16,12000000000.0,6400000000.0,400000000.0,144000,40,12000.0,6400.0,400.0,0.144
HD현대케미칼,Daesan,BTX Plant,410,9,21,20500000000.0,14350000000.0,683333333.3333334,246000,41,20500.0,14350.0,683.3333333333334,0.246
HDHyundai Oilbank,Daesan,BTX Plant,338,28,2,16900000000.0,1126666666.666666,563333333.333333,202800,42,16900.0,1126.666666666666,563.333333333333,0.2028
LG Chem,Daesan,BTX Plant,270,34,0,13500000000.0,0.0,0.0,162000,43,13500.0,0.0,0.0,0.162
한화토탈에너지스,Daesan,BTX Plant,1267,34,0,63350000000.0,0.0,0.0,760200,44,63350.0,0.0,0.0,0.7602
Lotte Chemical,Yeosu,BTX Plant,235,33,0,11750000000.0,0.0,0.0,141000,45,11750.0,0.0,0.0,0.141
LG Chem,Yeosu,BTX Plant,630,33,0,31500000000.0,0.0,0.0,378000,46,31500.0,0.0,0.0,0.378
여천NCC,Yeosu,BTX Plant,457,46,0,22850000000.0,0.0,0.0,274200,47,22850.0,0.0,0.0,0.2742
GS Caltex,Yeosu,BTX Plant,930,35,0,46500000000.0,0.0,0.0,558000,48,46500.0,0.0,0.0,0.558
대한유화,Onsan,BTX Plant,210,17,13,10500000000.0,4550000000.0,350000000.0,126000,49,10500.0,4550.0,350.0,0.126
S-Oil,Onsan,BTX Plant,672,34,0,33600000000.0,0.0,0.0,403200,50,33600.0,0.0,0.0,0.4032
Lotte Chemical,Ulsan,BTX Plant,110,39,0,5500000000.0,0.0,0.0,66000,51,5500.0,0.0,0.0,0.066
SK지오센트릭,Ulsan,BTX Plant,603,53,0,30150000000.0,0.0,0.0,361800,52,30150.0,0.0,0.0,0.3618
Ulsan아로마틱스,Ulsan,BTX Plant,600,11,19,30000000000.0,19000000000.0,1000000000.0,360000,53,30000.0,19000.0,1000.0,0.36
SKIncheon석유화학,Incheon,BTX Plant,600,19,11,30000000000.0,11000000000.0,1000000000.0,360000,54,30000.0,11000.0,1000.0,0.36
OCI,Gwangyang,BTX Plant,40,30,0,2000000000.0,0.0,0.0,24000,55,2000.0,0.0,0.0,0.024
Lotte Chemical,Daesan,BTX Plant,120,14,16,6000000000.0,3200000000.0,200000000.0,72000,56,6000.0,3200.0,200.0,0.072
LG Chem,Daesan,BTX Plant,100,14,16,5000000000.0,2666666666.666667,166666666.6666667,60000,57,5000.0,2666.666666666667,166.66666666666669,0.06
Lotte Chemical,Yeosu,BTX Plant,220,33,0,11000000000.0,0.0,0.0,132000,58,11000.0,0.0,0.0,0.132
LG Chem,Yeosu,BTX Plant,112,33,0,5600000000.0,0.0,0.0,67200,59,5600.0,0.0,0.0,0.0672
여천NCC,Yeosu,BTX Plant,282,46,0,14100000000.0,0.0,0.0,169200,60,14100.0,0.0,0.0,0.1692
GS Caltex,Yeosu,BTX Plant,170,35,0,8500000000.0,0.0,0.0,102000,61,8500.0,0.0,0.0,0.102
대한유화,Onsan,BTX Plant,78,17,13,3900000000.0,1690000000.0,130000000.0,46800,62,3900.0,1690.0,130.0,0.0468
S-Oil,Onsan,BTX Plant,300,34,0,15000000000.0,0.0,0.0,180000,63,15000.0,0.0,0.0,0.18
SK지오센트릭,Ulsan,BTX Plant,1506,-45,75,75300000000.0,188250000000.0,2510000000.0,903600,64,75300.0,188250.0,2510.0,0.9036
Lotte Chemical,Daesan,BTX Plant,60,14,16,3000000000.0,1600000000.0,100000000.0,36000,65,3000.0,1600.0,100.0,0.036
HD현대케미칼,Daesan,BTX Plant,1350,9,21,67500000000.0,47250000000.0,2250000000.0,810000,66,67500.0,47250.0,2250.0,0.81
Lotte Chemical,Yeosu,BTX Plant,79,33,0,3950000000.0,0.0,0.0,47400,67,3950.0,0.0,0.0,0.0474
LG Chem,Yeosu,BTX Plant,60,33,0,3000000000.0,0.0,0.0,36000,68,3000.0,0.0,0.0,0.036
여천NCC,Yeosu,BTX Plant,204,46,0,10200000000.0,0.0,0.0,122400,69,10200.0,0.0,0.0,0.1224
GS Caltex,Yeosu,BTX Plant,350,35,0,17500000000.0,0.0,0.0,210000,70,17500.0,0.0,0.0,0.21
대한유화,Onsan,BTX Plant,47,17,13,2350000000.0,1018333333.3333335,78333333.33333334,28200,71,2350.0,1018.3333333333335,78.33333333333334,0.0282
S-Oil,Onsan,BTX Plant,450,34,0,22500000000.0,0.0,0.0,270000,72,22500.0,0.0,0.0,0.27
SK지오센트릭,Ulsan,BTX Plant,894,-45,75,44700000000.0,111750000000.0,1490000000.0,536400,73,44700.0,111750.0,1490.0,0.5364
Lotte Chemical,Ulsan,BTX Plant,210,45,0,10500000000.0,0.0,0.0,126000,74,10500.0,0.0,0.0,0.126
SK지오센트릭,Ulsan,BTX Plant,200,35,0,10000000000.0,0.0,0.0,120000,75,10000.0,0.0,0.0,0.12
Lotte Chemical,Ulsan,BTX Plant,360,27,3,18000000000.0,1800000000.0,600000000.0,216000,76,18000.0,1800.0,600.0,0.216
HDHyundai Oilbank,Daesan,BTX Plant,1460,28,2,73000000000.0,4866666666.666664,2433333333.333332,876000,77,73000.0,4866.666666666664,2433.333333333332,0.876
한화토탈에너지스,Daesan,BTX Plant,2000,28,2,100000000000.0,6666666666.6666565,3333333333.3333282,1200000,78,100000.0,6666.666666666656,3333.333333333328,1.2
GS Caltex,Yeosu,BTX Plant,1350,35,0,67500000000.0,0.0,0.0,810000,79,67500.0,0.0,0.0,0.81
S-Oil,Onsan,BTX Plant,1900,28,2,95000000000.0,6333333333.3333435,3166666666.6666718,1140000,80,95000.0,6333.333333333344,3166.666666666672,1.14
Lotte Chemical,Ulsan,BTX Plant,750,45,0,37500000000.0,0.0,0.0,450000,81,37500.0,0.0,0.0,0.45
SK지오센트릭,Ulsan,BTX Plant,830,35,0,41500000000.0,0.0,0.0,498000,82,41500.0,0.0,0.0,0.498
Ulsan아로마틱스,Ulsan,BTX Plant,1000,11,19,50000000000.0,31666666666.666664,1666666666.6666665,600000,83,50000.0,31666.666666666664,1666.6666666666665,0.6
SKIncheon석유화학,Incheon,BTX Plant,1500,11,19,75000000000.0,47500000000.0,2500000000.0,900000,84,75000.0,47500.0,2500.0,0.9
SK지오센트릭,Ulsan,Naphtha Cracker,160,51,0,8000000000.0,0.0,0.0,128000,85,8000.0,0.0,0.0,0.128
카프로,Ulsan,Naphtha Cracker,190,25,5,9500000000.0,1583333333.333333,316666666.6666666,152000,86,9500.0,1583.333333333333,316.66666666666663,0.152
Lotte Chemical,Daesan,Utility,350,20,10,17500000000.0,5833333333.333332,583333333.3333333,140000,87,17500.0,5833.333333333332,583.3333333333333,0.14
LG Chem,Daesan,Utility,577,19,11,28850000000.0,10578333333.333336,961666666.6666669,230800,88,28850.0,10578.333333333336,961.6666666666669,0.2308
한화토탈에너지스,Daesan,Utility,1071,34,0,53550000000.0,0.0,0.0,428400,89,53550.0,0.0,0.0,0.4284
여천NCC,Yeosu,Utility,351,39,0,17550000000.0,0.0,0.0,140400,90,17550.0,0.0,0.0,0.1404
SKpicglobal,Ulsan,Utility,400,35,0,20000000000.0,0.0,0.0,160000,91,20000.0,0.0,0.0,0.16
LG Chem,Yeosu,Utility,810,29,1,40500000000.0,1350000000.0,1350000000.0,324000,92,40500.0,1350.0,1350.0,0.324
한화솔루션,Yeosu,Utility,1586,45,0,79300000000.0,0.0,0.0,634400,93,79300.0,0.0,0.0,0.6344
한화솔루션,Ulsan,Utility,385,34,0,19250000000.0,0.0,0.0,154000,94,19250.0,0.0,0.0,0.154
LG Chem,Daesan,Utility,230,28,2,11500000000.0,766666666.6666679,383333333.33333397,92000,95,11500.0,766.666666666668,383.333333333334,0.092
LG Chem,Yeosu,Utility,720,35,0,36000000000.0,0.0,0.0,288000,96,36000.0,0.0,0.0,0.288
한화솔루션,Yeosu,Utility,583,46,0,29150000000.0,0.0,0.0,233200,97,29150.0,0.0,0.0,0.2332
한화솔루션,Ulsan,Utility,264,53,0,13200000000.0,0.0,0.0,105600,98,13200.0,0.0,0.0,0.1056
Lotte Chemical,Yeosu,Utility,480,17,13,24000000000.0,10400000000.0,800000000.0,192000,99,24000.0,10400.0,800.0,0.192
LG Chem,Yeosu,Utility,170,24,6,8500000000.0,1700000000.0,283333333.3333333,68000,100,8500.0,1700.0,283.3333333333333,0.068
삼양화성,전주,Utility,120,26,4,6000000000.0,800000000.0,200000000.0,48000,101,6000.0,800.0,200.0,0.048
HD현대케미칼,Daesan,Utility,300,4,26,15000000000.0,13000000000.0,500000000.0,120000,102,15000.0,13000.0,500.0,0.12
LG Chem,Daesan,Utility,280,19,11,14000000000.0,5133333333.333332,466666666.66666657,112000,103,14000.0,5133.333333333332,466.6666666666666,0.112
한화토탈에너지스,Daesan,Utility,435,34,0,21750000000.0,0.0,0.0,174000,104,21750.0,0.0,0.0,0.174
LG Chem,Yeosu,Utility,180,35,0,9000000000.0,0.0,0.0,72000,105,9000.0,0.0,0.0,0.072
한화솔루션,Yeosu,Utility,337,46,0,16850000000.0,0.0,0.0,134800,106,16850.0,0.0,0.0,0.1348
Lotte Chemical,Ulsan,Utility,120,53,0,6000000000.0,0.0,0.0,48000,107,6000.0,0.0,0.0,0.048
Lotte Chemical,Daesan,Utility,500,20,10,25000000000.0,8333333333.333332,833333333.3333333,200000,108,25000.0,8333.333333333332,833.3333333333333,0.2
LG Chem,Daesan,Utility,125,19,11,6250000000.0,2291666666.6666665,208333333.3333333,50000,109,6250.0,2291.6666666666665,208.33333333333331,0.05
한화토탈에너지스,Daesan,Utility,530,21,9,26500000000.0,7950000000.0,883333333.3333334,212000,110,26500.0,7950.0,883.3333333333334,0.212
DL케미칼,Yeosu,Utility,10,15,15,500000000.0,250000000.0,16666666.666666666,4000,111,500.0,250.0,16.666666666666664,0.004
Lotte Chemical,Yeosu,Utility,600,6,24,30000000000.0,24000000000.0,1000000000.0,240000,112,30000.0,24000.0,1000.0,0.24
LG Chem,Yeosu,Utility,425,4,26,21250000000.0,18416666666.666668,708333333.3333334,170000,113,21250.0,18416.666666666668,708.3333333333334,0.17
한화솔루션,Yeosu,Utility,288,39,0,14400000000.0,0.0,0.0,115200,114,14400.0,0.0,0.0,0.1152
SSNC,Ulsan,Utility,180,10,20,9000000000.0,6000000000.0,300000000.0,72000,115,9000.0,6000.0,300.0,0.072
SK지오센트릭,Ulsan,Utility,550,35,0,27500000000.0,0.0,0.0,220000,116,27500.0,0.0,0.0,0.22
HD현대케미칼,Daesan,Utility,575,4,26,28750000000.0,24916666666.666668,958333333.3333334,230000,117,28750.0,24916.666666666668,958.3333333333334,0.23
한화토탈에너지스,Daesan,Utility,180,34,0,9000000000.0,0.0,0.0,72000,118,9000.0,0.0,0.0,0.072
DL케미칼,Yeosu,Utility,630,45,0,31500000000.0,0.0,0.0,252000,119,31500.0,0.0,0.0,0.252
Lotte Chemical,Yeosu,Utility,360,33,0,18000000000.0,0.0,0.0,144000,120,18000.0,0.0,0.0,0.144
LG Chem,Yeosu,Utility,500,33,0,25000000000.0,0.0,0.0,200000,121,25000.0,0.0,0.0,0.2
GS Caltex,Yeosu,Utility,650,4,26,32500000000.0,28166666666.666668,1083333333.3333335,260000,122,32500.0,28166.666666666668,1083.3333333333335,0.26
대한유화,Onsan,Utility,210,49,0,10500000000.0,0.0,0.0,84000,123,10500.0,0.0,0.0,0.084
SK지오센트릭,Ulsan,Utility,490,35,0,24500000000.0,0.0,0.0,196000,124,24500.0,0.0,0.0,0.196
Lotte Chemical,Daesan,Utility,500,20,10,25000000000.0,8333333333.333332,833333333.3333333,200000,125,25000.0,8333.333333333332,833.3333333333333,0.2
HD현대케미칼,Daesan,Utility,380,4,26,19000000000.0,16466666666.666666,633333333.3333333,152000,126,19000.0,16466.666666666664,633.3333333333333,0.152
LG Chem,Daesan,Utility,1117,19,11,55850000000.0,20478333333.33333,1861666666.6666663,446800,127,55850.0,20478.33333333333,1861.6666666666663,0.4468
한화토탈에너지스,Daesan,Utility,600,34,0,30000000000.0,0.0,0.0,240000,128,30000.0,0.0,0.0,0.24
Lotte Chemical,Yeosu,Utility,180,46,0,9000000000.0,0.0,0.0,72000,129,9000.0,0.0,0.0,0.072
GS Caltex,Yeosu,Utility,730,38,0,36500000000.0,0.0,0.0,292000,130,36500.0,0.0,0.0,0.292
폴리미래,Yeosu,Utility,405,32,0,20250000000.0,0.0,0.0,162000,131,20250.0,0.0,0.0,0.162
S-Oil,Onsan,Utility,550,7,23,27500000000.0,21083333333.333336,916666666.6666667,220000,132,27500.0,21083.333333333336,916.6666666666667,0.22
대한유화,Onsan,Utility,432,49,0,21600000000.0,0.0,0.0,172800,133,21600.0,0.0,0.0,0.1728
SK지오센트릭,Ulsan,Utility,400,35,0,20000000000.0,0.0,0.0,160000,134,20000.0,0.0,0.0,0.16
Ulsan피피,Ulsan,Utility,600,4,26,30000000000.0,26000000000.0,1000000000.0,240000,135,30000.0,26000.0,1000.0,0.24
LG Chem,Yeosu,Utility,40,41,0,2000000000.0,0.0,0.0,16000,136,2000.0,0.0,0.0,0.016
Kumho Petrochemical,Ulsan,Utility,265,52,0,13250000000.0,0.0,0.0,106000,137,13250.0,0.0,0.0,0.106
HDC현대EP,Ulsan,Utility,148,36,0,7400000000.0,0.0,0.0,59200,138,7400.0,0.0,0.0,0.0592
한국이네오스스티롤루션,Ulsan,Utility,266,40,0,13300000000.0,0.0,0.0,106400,139,13300.0,0.0,0.0,0.1064
SH에너지화학,군산,Utility,100,52,0,5000000000.0,0.0,0.0,40000,140,5000.0,0.0,0.0,0.04
Lotte Chemical,Yeosu,Utility,90,36,0,4500000000.0,0.0,0.0,36000,141,4500.0,0.0,0.0,0.036
LG Chem,Yeosu,Utility,90,41,0,4500000000.0,0.0,0.0,36000,142,4500.0,0.0,0.0,0.036
Kumho Petrochemical,Ulsan,Utility,80,52,0,4000000000.0,0.0,0.0,32000,143,4000.0,0.0,0.0,0.032
HDC현대EP,Ulsan,Utility,80,36,0,4000000000.0,0.0,0.0,32000,144,4000.0,0.0,0.0,0.032
한국바스프,Ulsan,Utility,85,43,0,4250000000.0,0.0,0.0,34000,145,4250.0,0.0,0.0,0.034
Lotte Chemical,Yeosu,Utility,757,36,0,37850000000.0,0.0,0.0,302800,146,37850.0,0.0,0.0,0.3028
LG Chem,Yeosu,Utility,1030,47,0,51500000000.0,0.0,0.0,412000,147,51500.0,0.0,0.0,0.412
Kumho Petrochemical,Ulsan,Utility,290,52,0,14500000000.0,0.0,0.0,116000,148,14500.0,0.0,0.0,0.116
한국이네오스스티롤루션,Ulsan,Utility,276,35,0,13800000000.0,0.0,0.0,110400,149,13800.0,0.0,0.0,0.1104
LG Chem,Daesan,Utility,240,27,3,12000000000.0,1200000000.0,400000000.0,96000,150,12000.0,1200.0,400.0,0.096
LG Chem,Yeosu,Utility,450,49,0,22500000000.0,0.0,0.0,180000,151,22500.0,0.0,0.0,0.18
한화솔루션,Yeosu,Utility,480,35,0,24000000000.0,0.0,0.0,192000,152,24000.0,0.0,0.0,0.192
한화솔루션,Ulsan,Utility,330,-41,71,16500000000.0,39050000000.0,550000000.0,132000,153,16500.0,39050.0,550.0,0.132
한화임팩트,Daesan,Utility,700,28,2,35000000000.0,2333333333.333332,1166666666.666666,280000,154,35000.0,2333.333333333332,1166.666666666666,0.28
삼남석유화학,Yeosu,Utility,1500,35,0,75000000000.0,0.0,0.0,600000,155,75000.0,0.0,0.0,0.6
한화임팩트,Ulsan,Utility,1300,30,0,65000000000.0,7.62939453125e-06,7.62939453125e-06,520000,156,65000.0,7.62939453125e-12,7.62939453125e-12,0.52
태광산업,Ulsan,Utility,1000,45,0,50000000000.0,0.0,0.0,400000,157,50000.0,0.0,0.0,0.4
효성화학,Ulsan,Utility,420,28,2,21000000000.0,1400000000.0,700000000.0,168000,158,21000.0,1400.0,700.0,0.168
카프로,Ulsan,Utility,270,51,0,13500000000.0,0.0,0.0,108000,159,13500.0,0.0,0.0,0.108
SK Chemical,Ulsan,Utility,160,36,0,8000000000.0,0.0,0.0,64000,160,8000.0,0.0,0.0,0.064
Lotte Chemical,Daesan,Utility,730,20,10,36500000000.0,12166666666.666664,1216666666.6666665,292000,161,36500.0,12166.666666666664,1216.6666666666665,0.292
한화토탈에너지스,Daesan,Utility,218,34,0,10900000000.0,0.0,0.0,87200,162,10900.0,0.0,0.0,0.0872
Lotte Chemical,Yeosu,Utility,400,46,0,20000000000.0,0.0,0.0,160000,163,20000.0,0.0,0.0,0.16
대한유화,Ulsan,Utility,200,11,19,10000000000.0,6333333333.333334,333333333.3333334,80000,164,10000.0,6333.333333333334,333.33333333333337,0.08
동서석유화학,Ulsan,Utility,602,53,0,30100000000.0,0.0,0.0,240800,165,30100.0,0.0,0.0,0.2408
태광산업,Ulsan,Utility,290,28,2,14500000000.0,966666666.6666679,483333333.33333397,116000,166,14500.0,966.666666666668,483.333333333334,0.116
LG Chem,Daesan,Utility,80,29,1,4000000000.0,133333333.33333349,133333333.33333349,32000,167,4000.0,133.33333333333348,133.33333333333348,0.032
Kumho Petrochemical,Ulsan,Utility,183,52,0,9150000000.0,0.0,0.0,73200,168,9150.0,0.0,0.0,0.0732
LG Chem,Daesan,Utility,80,13,17,4000000000.0,2266666666.666667,133333333.33333336,32000,169,4000.0,2266.666666666667,133.33333333333337,0.032
Kumho Petrochemical,Yeosu,Utility,123,13,17,6150000000.0,3485000000.0,205000000.0,49200,170,6150.0,3485.0,205.0,0.0492
롯데베르살리스엘라스토머스,Yeosu,Utility,100,7,23,5000000000.0,3833333333.3333335,166666666.6666667,40000,171,5000.0,3833.3333333333335,166.66666666666669,0.04
LG Chem,Daesan,Utility,20,29,1,1000000000.0,33333333.333333373,33333333.333333373,8000,172,1000.0,33.33333333333337,33.33333333333337,0.008
Kumho Petrochemical,Ulsan,Utility,85,42,0,4250000000.0,0.0,0.0,34000,173,4250.0,0.0,0.0,0.034
한국트린지오,Ulsan,Utility,43,35,0,2150000000.0,0.0,0.0,17200,174,2150.0,0.0,0.0,0.0172
한솔케미칼,전주,Utility,60,29,1,3000000000.0,100000000.0,100000000.0,24000,175,3000.0,100.0,100.0,0.024
LG Chem,Daesan,Utility,220,29,1,11000000000.0,366666666.66666603,366666666.66666603,88000,176,11000.0,366.666666666666,366.666666666666,0.088
Kumho Petrochemical,Yeosu,Utility,275,45,0,13750000000.0,0.0,0.0,110000,177,13750.0,0.0,0.0,0.11
LG Chem,Daesan,Utility,65,29,1,3250000000.0,108333333.33333349,108333333.33333349,26000,178,3250.0,108.3333333333335,108.3333333333335,0.026
Kumho Petrochemical,Ulsan,Utility,92,38,0,4600000000.0,0.0,0.0,36800,179,4600.0,0.0,0.0,0.0368
LG Chem,Yeosu,Utility,205,17,13,10250000000.0,4441666666.666666,341666666.6666666,82000,180,10250.0,4441.666666666666,341.66666666666663,0.082
Kumho Petrochemical,Ulsan,Utility,946,13,17,47300000000.0,26803333333.333332,1576666666.6666665,378400,181,47300.0,26803.333333333332,1576.6666666666665,0.3784
한솔케미칼,전주,Utility,28,4,26,1400000000.0,1213333333.3333333,46666666.666666664,11200,182,1400.0,1213.3333333333333,46.666666666666664,0.0112
금호폴리켐,Yeosu,Utility,310,38,0,15500000000.0,0.0,0.0,124000,183,15500.0,0.0,0.0,0.124
롯데베르살리스엘라스토머스,Yeosu,Utility,96,7,23,4800000000.0,3680000000.0,160000000.0,38400,184,4800.0,3680.0,160.0,0.0384
롯데이네오스화학,Ulsan,Utility,710,34,0,35500000000.0,0.0,0.0,284000,185,35500.0,0.0,0.0,0.284
롯데이네오스화학,Ulsan,Utility,460,29,1,23000000000.0,766666666.6666679,766666666.6666679,184000,186,23000.0,766.666666666668,766.666666666668,0.184
한국알콜산업,Ulsan,Utility,70,51,0,3500000000.0,0.0,0.0,28000,187,3500.0,0.0,0.0,0.028
한국알콜산업,Ulsan,Utility,123,36,0,6150000000.0,0.0,0.0,49200,188,6150.0,0.0,0.0,0.0492
이수화학,Ulsan,Utility,180,52,0,9000000000.0,0.0,0.0,72000,189,9000.0,0.0,0.0,0.072
애경케미칼,Ulsan,Utility,210,53,0,10500000000.0,0.0,0.0,84000,190,10500.0,0.0,0.0,0.084
OCI,Pohang,Utility,60,42,0,3000000000.0,0.0,0.0,24000,191,3000.0,0.0,0.0,0.024
애경케미칼,Ulsan,Utility,8,37,0,400000000.0,0.0,0.0,3200,192,400.0,0.0,0.0,0.0032
용산케미칼,Ulsan,Utility,38,49,0,1900000000.0,0.0,0.0,15200,193,1900.0,0.0,0.0,0.0152
코리아피티지,Ulsan,Utility,30,33,0,1500000000.0,0.0,0.0,12000,194,1500.0,0.0,0.0,0.012
OCI,군산,Utility,50,35,0,2500000000.0,0.0,0.0,20000,195,2500.0,0.0,0.0,0.02
한국바스프,Yeosu,Utility,160,37,0,8000000000.0,0.0,0.0,64000,196,8000.0,0.0,0.0,0.064
한화솔루션,Yeosu,Utility,150,44,0,7500000000.0,0.0,0.0,60000,197,7500.0,0.0,0.0,0.06
구다우케미칼,Yeosu,Utility,30,7,23,1500000000.0,1150000000.0,50000000.0,12000,198,1500.0,1150.0,50.0,0.012
금호미쓰이화학,Yeosu,Utility,610,33,0,30500000000.0,0.0,0.0,244000,199,30500.0,0.0,0.0,0.244
한국바스프,Yeosu,Utility,250,33,0,12500000000.0,0.0,0.0,100000,200,12500.0,0.0,0.0,0.1
LG Chem,Daesan,Utility,360,12,18,18000000000.0,10800000000.0,600000000.0,144000,201,18000.0,10800.0,600.0,0.144
