Company,Year,TechID,TechName,Category,DeploymentLevel,AbatementContribution_kt,AnnualCost_USD
Lotte Chemical,2040,RE_003,Wind PPAs,Renewable Energy,0.6,2503.1457048111247,87610099.66838937
Lotte Chemical,2045,RE_003,Wind PPAs,Renewable Energy,0.6,2503.1457048111247,87610099.66838937
Lotte Chemical,2050,RE_003,Wind PPAs,Renewable Energy,0.6,2503.1457048111247,87610099.66838937
Lotte Chemical,2025,HP_001,Low-Med Temp Heat Pumps,Heat Pumps,0.00899310498104578,37.518420177033796,2251105.2106220275
Lotte Chemical,2030,HP_001,Low-Med Temp Heat Pumps,Heat Pumps,0.25,1042.9773770046354,62578642.62027812
Lotte Chemical,2035,HP_001,Low-Med Temp Heat Pumps,Heat Pumps,0.4910068950189542,2048.4363338322373,122906180.02993424
Lotte Chemical,2040,HP_001,Low-Med Temp Heat Pumps,Heat Pumps,0.5,2085.954754009271,125157285.24055624
Lotte Chemical,2045,HP_001,Low-Med Temp Heat Pumps,Heat Pumps,0.5,2085.954754009271,125157285.24055624
Lotte Chemical,2050,HP_001,Low-Med Temp Heat Pumps,Heat Pumps,0.5,2085.954754009271,125157285.24055624
Lotte Chemical,2025,HP_002,High Temp Heat Pumps,Heat Pumps,0.0,0.0,0.0
Lotte Chemical,2030,HP_002,High Temp Heat Pumps,Heat Pumps,0.024951808948176706,104.09668899316054,12491602.679179264
Lotte Chemical,2035,HP_002,High Temp Heat Pumps,Heat Pumps,0.24960551554017732,1041.3316235359357,124959794.82431228
Lotte Chemical,2040,HP_002,High Temp Heat Pumps,Heat Pumps,0.3,1251.5728524055623,150188742.28866747
Lotte Chemical,2045,HP_002,High Temp Heat Pumps,Heat Pumps,0.3,1251.5728524055623,150188742.28866747
Lotte Chemical,2050,HP_002,High Temp Heat Pumps,Heat Pumps,0.3,1251.5728524055623,150188742.28866747
Lotte Chemical,2025,ES_001,Battery Storage,Energy Storage,0.0,0.0,0.0
Lotte Chemical,2030,ES_001,Battery Storage,Energy Storage,0.033596322973215104,140.16081924641787,14016081.924641786
Lotte Chemical,2035,ES_001,Battery Storage,Energy Storage,0.18336546070121554,764.9841089416013,76498410.89416014
Lotte Chemical,2040,ES_001,Battery Storage,Energy Storage,0.2,834.3819016037085,83438190.16037084
Lotte Chemical,2045,ES_001,Battery Storage,Energy Storage,0.2,834.3819016037085,83438190.16037084
Lotte Chemical,2050,ES_001,Battery Storage,Energy Storage,0.2,834.3819016037085,83438190.16037084
SK Chemicals,2025,EE_NCC,EE - Naphtha Cracker,Energy Efficiency,0.00048611378275923133,1.0754259353251467,53771.296766257336
SK Chemicals,2030,EE_NCC,EE - Naphtha Cracker,Energy Efficiency,0.013513513513513514,29.895846250870992,1494792.3125435496
SK Chemicals,2035,EE_NCC,EE - Naphtha Cracker,Energy Efficiency,0.0265409132442678,58.71626656641684,2935813.3283208422
