facility_id,facility_name,company,region,process_type,capacity_t,age_years,operational_year,emissions_tco2,fuel_cost_usd,emission_intensity,cost_intensity,depreciation_factor,retirement_priority,remaining_life,stranded_asset_risk,replacement_benefit,fuel_breakdown
10,SK지오센트릭_Naphtha Cracker_10,SK지오센트릭,울산,Naphtha Cracker,660000,36,1989,2828257.0571504273,1823958036.46654,4.2852379653794355,2763.5727825250606,0.22000000000000003,0.55,0,0.75,424238558.57256407,"{'Naphtha Feedstock': {'consumption': np.float64(89001000.0), 'emissions_tco2': np.float64(1841399.9999999998), 'cost_usd': np.float64(1602018000.0)}, 'Naphtha Thermal': {'consumption': np.float64(12210000.0), 'emissions_tco2': np.float64(905855.6896551725), 'cost_usd': np.float64(219780000.0)}, 'Electricity': {'consumption': np.float64(18000303.88783451), 'emissions_tco2': np.float64(81001.3674952553), 'cost_usd': np.float64(2160036.4665401415)}}"
11,롯데케미칼_Naphtha Cracker_11,롯데케미칼,대산,Naphtha Cracker,550000,28,1997,2356880.88095869,1519965030.3887835,4.285237965379436,2763.572782525061,0.1,0.4,2,0.7,353532132.1438035,"{'Naphtha Feedstock': {'consumption': np.float64(74167500.0), 'emissions_tco2': np.float64(1534499.9999999998), 'cost_usd': np.float64(1335015000.0)}, 'Naphtha Thermal': {'consumption': np.float64(10175000.0), 'emissions_tco2': np.float64(754879.7413793104), 'cost_usd': np.float64(183150000.0)}, 'Electricity': {'consumption': np.float64(15000253.239862094), 'emissions_tco2': np.float64(67501.13957937942), 'cost_usd': np.float64(1800030.3887834512)}}"
12,HD현대오일뱅크_Naphtha Cracker_12,HD현대오일뱅크,대산,Naphtha Cracker,420000,14,2011,1799799.9454593628,1160700568.6605256,4.2852379653794355,2763.572782525061,0.5333333333333333,0.4,16,0.5249999999999999,89989997.27296814,"{'Naphtha Feedstock': {'consumption': np.float64(56637000.0), 'emissions_tco2': np.float64(1171799.9999999998), 'cost_usd': np.float64(1019466000.0)}, 'Naphtha Thermal': {'consumption': np.float64(7770000.0), 'emissions_tco2': np.float64(576453.6206896552), 'cost_usd': np.float64(139860000.0)}, 'Electricity': {'consumption': np.float64(11454738.83771287), 'emissions_tco2': np.float64(51546.32476970791), 'cost_usd': np.float64(1374568.6605255445)}}"
13,HD현대케미칼_Naphtha Cracker_13,HD현대케미칼,대산,Naphtha Cracker,451000,4,2021,1932642.3223861256,1246371324.9188025,4.2852379653794355,2763.572782525061,0.8666666666666667,0.125,26,0.39999999999999997,96632116.11930628,"{'Naphtha Feedstock': {'consumption': np.float64(60817350.0), 'emissions_tco2': np.float64(1258289.9999999998), 'cost_usd': np.float64(1094712300.0)}, 'Naphtha Thermal': {'consumption': np.float64(8343500.0), 'emissions_tco2': np.float64(619001.3879310346), 'cost_usd': np.float64(150183000.0)}, 'Electricity': {'consumption': np.float64(12300207.656686917), 'emissions_tco2': np.float64(55350.93445509112), 'cost_usd': np.float64(1476024.91880243)}}"
14,LG화학_Naphtha Cracker_14,LG화학,대산,Naphtha Cracker,680000,34,1991,2913961.816458016,1879229492.1170413,4.2852379653794355,2763.572782525061,0.18,0.47500000000000003,0,0.75,437094272.46870244,"{'Naphtha Feedstock': {'consumption': np.float64(91698000.0), 'emissions_tco2': np.float64(1897199.9999999998), 'cost_usd': np.float64(1650564000.0)}, 'Naphtha Thermal': {'consumption': np.float64(12580000.0), 'emissions_tco2': np.float64(933305.8620689656), 'cost_usd': np.float64(226440000.0)}, 'Electricity': {'consumption': np.float64(18545767.642011315), 'emissions_tco2': np.float64(83455.95438905091), 'cost_usd': np.float64(2225492.117041358)}}"
15,한화토탈에너지스_Naphtha Cracker_15,한화토탈에너지스,대산,Naphtha Cracker,1064000,34,1991,4559493.195163719,2940441440.6066647,4.2852379653794355,2763.5727825250606,0.18,0.47500000000000003,0,0.75,683923979.274558,"{'Naphtha Feedstock': {'consumption': np.float64(143480400.0), 'emissions_tco2': np.float64(2968559.9999999995), 'cost_usd': np.float64(2582647200.0)}, 'Naphtha Thermal': {'consumption': np.float64(19684000.0), 'emissions_tco2': np.float64(1460349.1724137932), 'cost_usd': np.float64(354312000.0)}, 'Electricity': {'consumption': np.float64(29018671.72220594), 'emissions_tco2': np.float64(130584.02274992672), 'cost_usd': np.float64(3482240.6066647125)}}"
16,롯데케미칼_Naphtha Cracker_16,롯데케미칼,여수,Naphtha Cracker,641000,33,1992,2746837.535808218,1771450153.598564,4.2852379653794355,2763.5727825250606,0.16000000000000003,0.4375,0,0.75,412025630.37123275,"{'Naphtha Feedstock': {'consumption': np.float64(86438850.0), 'emissions_tco2': np.float64(1788389.9999999998), 'cost_usd': np.float64(1555899300.0)}, 'Naphtha Thermal': {'consumption': np.float64(11858500.0), 'emissions_tco2': np.float64(879778.025862069), 'cost_usd': np.float64(213453000.0)}, 'Electricity': {'consumption': np.float64(17482113.32136655), 'emissions_tco2': np.float64(78669.50994614947), 'cost_usd': np.float64(2097853.598563986)}}"
17,LG화학_Naphtha Cracker_17,LG화학,여수,Naphtha Cracker,1300000,4,2021,5570809.354993266,3592644617.282579,4.2852379653794355,2763.5727825250606,0.8666666666666667,0.125,26,0.39999999999999997,278540467.7496633,"{'Naphtha Feedstock': {'consumption': np.float64(175305000.0), 'emissions_tco2': np.float64(3626999.9999999995), 'cost_usd': np.float64(3155490000.0)}, 'Naphtha Thermal': {'consumption': np.float64(24050000.0), 'emissions_tco2': np.float64(1784261.206896552), 'cost_usd': np.float64(432900000.0)}, 'Electricity': {'consumption': np.float64(35455144.02149222), 'emissions_tco2': np.float64(159548.14809671498), 'cost_usd': np.float64(4254617.282579066)}}"
18,여천NCC_Naphtha Cracker_18,여천NCC,여수,Naphtha Cracker,1289000,46,1979,5523671.737374092,3562245316.6748033,4.2852379653794355,2763.5727825250606,0.30000000000000004,0.82,0,0.75,828550760.6061139,"{'Naphtha Feedstock': {'consumption': np.float64(173821650.0), 'emissions_tco2': np.float64(3596309.9999999995), 'cost_usd': np.float64(3128789700.0)}, 'Naphtha Thermal': {'consumption': np.float64(23846500.0), 'emissions_tco2': np.float64(1769163.6120689656), 'cost_usd': np.float64(429237000.0)}, 'Electricity': {'consumption': np.float64(35155138.956694975), 'emissions_tco2': np.float64(158198.12530512738), 'cost_usd': np.float64(4218616.674803397)}}"
19,GS칼텍스_Naphtha Cracker_19,GS칼텍스,여수,Naphtha Cracker,970000,4,2021,4156680.8264180524,2680665599.049309,4.2852379653794355,2763.5727825250606,0.8666666666666667,0.125,26,0.39999999999999997,207834041.32090262,"{'Naphtha Feedstock': {'consumption': np.float64(130804500.0), 'emissions_tco2': np.float64(2706299.9999999995), 'cost_usd': np.float64(2354481000.0)}, 'Naphtha Thermal': {'consumption': np.float64(17945000.0), 'emissions_tco2': np.float64(1331333.3620689656), 'cost_usd': np.float64(323010000.0)}, 'Electricity': {'consumption': np.float64(26454992.077574965), 'emissions_tco2': np.float64(119047.46434908733), 'cost_usd': np.float64(3174599.0493089957)}}"
20,대한유화_Naphtha Cracker_20,대한유화,온산,Naphtha Cracker,560000,34,1991,2399733.260612484,1547600758.214034,4.2852379653794355,2763.572782525061,0.18,0.47500000000000003,0,0.75,359959989.09187263,"{'Naphtha Feedstock': {'consumption': np.float64(75516000.0), 'emissions_tco2': np.float64(1562399.9999999998), 'cost_usd': np.float64(1359288000.0)}, 'Naphtha Thermal': {'consumption': np.float64(10360000.0), 'emissions_tco2': np.float64(768604.827586207), 'cost_usd': np.float64(186480000.0)}, 'Electricity': {'consumption': np.float64(15272985.116950495), 'emissions_tco2': np.float64(68728.43302627723), 'cost_usd': np.float64(1832758.2140340593)}}"
21,S-Oil_Naphtha Cracker_21,S-Oil,온산,Naphtha Cracker,840000,7,2018,3599599.8909187256,2321401137.321051,4.2852379653794355,2763.572782525061,0.7666666666666666,0.21875,23,0.4375,179979994.5459363,"{'Naphtha Feedstock': {'consumption': np.float64(113274000.0), 'emissions_tco2': np.float64(2343599.9999999995), 'cost_usd': np.float64(2038932000.0)}, 'Naphtha Thermal': {'consumption': np.float64(15540000.0), 'emissions_tco2': np.float64(1152907.2413793104), 'cost_usd': np.float64(279720000.0)}, 'Electricity': {'consumption': np.float64(22909477.67542574), 'emissions_tco2': np.float64(103092.64953941583), 'cost_usd': np.float64(2749137.321051089)}}"
22,SK어드밴스드_Naphtha Cracker_22,SK어드밴스드,울산,Naphtha Cracker,600000,9,2016,2571142.7792276614,1658143669.5150366,4.2852379653794355,2763.572782525061,0.7,0.28125,21,0.46249999999999997,128557138.96138307,"{'Naphtha Feedstock': {'consumption': np.float64(80910000.0), 'emissions_tco2': np.float64(1673999.9999999998), 'cost_usd': np.float64(1456380000.0)}, 'Naphtha Thermal': {'consumption': np.float64(11100000.0), 'emissions_tco2': np.float64(823505.1724137932), 'cost_usd': np.float64(199800000.0)}, 'Electricity': {'consumption': np.float64(16363912.625304101), 'emissions_tco2': np.float64(73637.60681386845), 'cost_usd': np.float64(1963669.5150364921)}}"
23,SK에너지_Naphtha Cracker_23,SK에너지,울산,Naphtha Cracker,620000,29,1996,2656847.53853525,1713415125.1655376,4.2852379653794355,2763.5727825250606,0.1,0.4,1,0.7124999999999999,398527130.7802875,"{'Naphtha Feedstock': {'consumption': np.float64(83607000.0), 'emissions_tco2': np.float64(1729799.9999999998), 'cost_usd': np.float64(1504926000.0)}, 'Naphtha Thermal': {'consumption': np.float64(11470000.0), 'emissions_tco2': np.float64(850955.3448275863), 'cost_usd': np.float64(206460000.0)}, 'Electricity': {'consumption': np.float64(16909376.379480906), 'emissions_tco2': np.float64(76092.19370766408), 'cost_usd': np.float64(2029125.1655377087)}}"
24,SK지오센트릭_Naphtha Cracker_24,SK지오센트릭,울산,Naphtha Cracker,380000,36,1989,1628390.4268441855,1050157657.359523,4.2852379653794355,2763.5727825250606,0.22000000000000003,0.55,0,0.75,244258564.0266278,"{'Naphtha Feedstock': {'consumption': np.float64(51243000.0), 'emissions_tco2': np.float64(1060199.9999999998), 'cost_usd': np.float64(922374000.0)}, 'Naphtha Thermal': {'consumption': np.float64(7030000.0), 'emissions_tco2': np.float64(521553.275862069), 'cost_usd': np.float64(126540000.0)}, 'Electricity': {'consumption': np.float64(10363811.329359265), 'emissions_tco2': np.float64(46637.15098211669), 'cost_usd': np.float64(1243657.3595231117)}}"
25,태광산업_Naphtha Cracker_25,태광산업,울산,Naphtha Cracker,300000,28,1997,1285571.3896138307,829071834.7575183,4.2852379653794355,2763.572782525061,0.1,0.4,2,0.7,192835708.4420746,"{'Naphtha Feedstock': {'consumption': np.float64(40455000.0), 'emissions_tco2': np.float64(836999.9999999999), 'cost_usd': np.float64(728190000.0)}, 'Naphtha Thermal': {'consumption': np.float64(5550000.0), 'emissions_tco2': np.float64(411752.5862068966), 'cost_usd': np.float64(99900000.0)}, 'Electricity': {'consumption': np.float64(8181956.3126520505), 'emissions_tco2': np.float64(36818.803406934225), 'cost_usd': np.float64(981834.7575182461)}}"
26,효성화학_Naphtha Cracker_26,효성화학,울산,Naphtha Cracker,500000,34,1991,2142618.982689718,1381786391.2625303,4.2852379653794355,2763.5727825250606,0.18,0.47500000000000003,0,0.75,321392847.40345764,"{'Naphtha Feedstock': {'consumption': np.float64(67425000.0), 'emissions_tco2': np.float64(1394999.9999999998), 'cost_usd': np.float64(1213650000.0)}, 'Naphtha Thermal': {'consumption': np.float64(9250000.0), 'emissions_tco2': np.float64(686254.3103448276), 'cost_usd': np.float64(166500000.0)}, 'Electricity': {'consumption': np.float64(13636593.854420085), 'emissions_tco2': np.float64(61364.67234489037), 'cost_usd': np.float64(1636391.26253041)}}"
27,롯데케미칼_Naphtha Cracker_27,롯데케미칼,대산,Naphtha Cracker,190000,28,1997,814195.2134220927,525078828.6797615,4.2852379653794355,2763.5727825250606,0.1,0.4,2,0.7,122129282.0133139,"{'Naphtha Feedstock': {'consumption': np.float64(25621500.0), 'emissions_tco2': np.float64(530099.9999999999), 'cost_usd': np.float64(461187000.0)}, 'Naphtha Thermal': {'consumption': np.float64(3515000.0), 'emissions_tco2': np.float64(260776.6379310345), 'cost_usd': np.float64(63270000.0)}, 'Electricity': {'consumption': np.float64(5181905.6646796325), 'emissions_tco2': np.float64(23318.575491058346), 'cost_usd': np.float64(621828.6797615559)}}"
28,HD현대케미칼_Naphtha Cracker_28,HD현대케미칼,대산,Naphtha Cracker,163000,4,2021,698493.788356848,450462363.5515849,4.2852379653794355,2763.5727825250606,0.8666666666666667,0.125,26,0.39999999999999997,34924689.417842396,"{'Naphtha Feedstock': {'consumption': np.float64(21980550.0), 'emissions_tco2': np.float64(454769.99999999994), 'cost_usd': np.float64(395649900.0)}, 'Naphtha Thermal': {'consumption': np.float64(3015500.0), 'emissions_tco2': np.float64(223718.9051724138), 'cost_usd': np.float64(54279000.0)}, 'Electricity': {'consumption': np.float64(4445529.596540947), 'emissions_tco2': np.float64(20004.88318443426), 'cost_usd': np.float64(533463.5515849136)}}"
29,LG화학_Naphtha Cracker_29,LG화학,대산,Naphtha Cracker,200000,34,1991,857047.5930758871,552714556.5050122,4.2852379653794355,2763.5727825250606,0.18,0.47500000000000003,0,0.75,128557138.96138306,"{'Naphtha Feedstock': {'consumption': np.float64(26970000.0), 'emissions_tco2': np.float64(557999.9999999999), 'cost_usd': np.float64(485460000.0)}, 'Naphtha Thermal': {'consumption': np.float64(3700000.0), 'emissions_tco2': np.float64(274501.7241379311), 'cost_usd': np.float64(66600000.0)}, 'Electricity': {'consumption': np.float64(5454637.541768034), 'emissions_tco2': np.float64(24545.86893795615), 'cost_usd': np.float64(654556.505012164)}}"
30,한화토탈에너지스_Naphtha Cracker_30,한화토탈에너지스,대산,Naphtha Cracker,150000,34,1991,642785.6948069154,414535917.37875915,4.2852379653794355,2763.572782525061,0.18,0.47500000000000003,0,0.75,96417854.2210373,"{'Naphtha Feedstock': {'consumption': np.float64(20227500.0), 'emissions_tco2': np.float64(418499.99999999994), 'cost_usd': np.float64(364095000.0)}, 'Naphtha Thermal': {'consumption': np.float64(2775000.0), 'emissions_tco2': np.float64(205876.2931034483), 'cost_usd': np.float64(49950000.0)}, 'Electricity': {'consumption': np.float64(4090978.1563260253), 'emissions_tco2': np.float64(18409.401703467112), 'cost_usd': np.float64(490917.37875912304)}}"
31,금호석유화학_Naphtha Cracker_31,금호석유화학,여수,Naphtha Cracker,147000,33,1992,629929.980910777,406245199.03118396,4.2852379653794355,2763.572782525061,0.16000000000000003,0.4375,0,0.75,94489497.13661654,"{'Naphtha Feedstock': {'consumption': np.float64(19822950.0), 'emissions_tco2': np.float64(410129.99999999994), 'cost_usd': np.float64(356813100.0)}, 'Naphtha Thermal': {'consumption': np.float64(2719500.0), 'emissions_tco2': np.float64(201758.76724137933), 'cost_usd': np.float64(48951000.0)}, 'Electricity': {'consumption': np.float64(4009158.593199505), 'emissions_tco2': np.float64(18041.21366939777), 'cost_usd': np.float64(481099.0311839406)}}"
32,롯데GS화학_Naphtha Cracker_32,롯데GS화학,여수,Naphtha Cracker,130000,3,2022,557080.9354993267,359264461.7282579,4.285237965379436,2763.5727825250606,0.9,0.09375,27,0.38749999999999996,27854046.774966333,"{'Naphtha Feedstock': {'consumption': np.float64(17530500.0), 'emissions_tco2': np.float64(362699.99999999994), 'cost_usd': np.float64(315549000.0)}, 'Naphtha Thermal': {'consumption': np.float64(2405000.0), 'emissions_tco2': np.float64(178426.1206896552), 'cost_usd': np.float64(43290000.0)}, 'Electricity': {'consumption': np.float64(3545514.402149222), 'emissions_tco2': np.float64(15954.814809671498), 'cost_usd': np.float64(425461.7282579066)}}"
33,롯데케미칼_Naphtha Cracker_33,롯데케미칼,여수,Naphtha Cracker,160000,14,2011,685638.0744607097,442171645.2040097,4.2852379653794355,2763.5727825250606,0.5333333333333333,0.4,16,0.5249999999999999,34281903.723035485,"{'Naphtha Feedstock': {'consumption': np.float64(21576000.0), 'emissions_tco2': np.float64(446399.99999999994), 'cost_usd': np.float64(388368000.0)}, 'Naphtha Thermal': {'consumption': np.float64(2960000.0), 'emissions_tco2': np.float64(219601.37931034484), 'cost_usd': np.float64(53280000.0)}, 'Electricity': {'consumption': np.float64(4363710.033414427), 'emissions_tco2': np.float64(19636.69515036492), 'cost_usd': np.float64(523645.20400973124)}}"
34,LG화학_Naphtha Cracker_34,LG화학,여수,Naphtha Cracker,306000,34,1991,1311282.8174061074,845653271.4526687,4.285237965379436,2763.572782525061,0.18,0.47500000000000003,0,0.75,196692422.6109161,"{'Naphtha Feedstock': {'consumption': np.float64(41264100.0), 'emissions_tco2': np.float64(853739.9999999999), 'cost_usd': np.float64(742753800.0)}, 'Naphtha Thermal': {'consumption': np.float64(5661000.0), 'emissions_tco2': np.float64(419987.6379310345), 'cost_usd': np.float64(101898000.0)}, 'Electricity': {'consumption': np.float64(8345595.438905092), 'emissions_tco2': np.float64(37555.17947507291), 'cost_usd': np.float64(1001471.452668611)}}"
35,여천NCC_Naphtha Cracker_35,여천NCC,여수,Naphtha Cracker,378000,33,1992,1619819.9509134265,1044630511.7944729,4.2852379653794355,2763.5727825250606,0.16000000000000003,0.4375,0,0.75,242972992.63701397,"{'Naphtha Feedstock': {'consumption': np.float64(50973300.0), 'emissions_tco2': np.float64(1054619.9999999998), 'cost_usd': np.float64(917519400.0)}, 'Naphtha Thermal': {'consumption': np.float64(6993000.0), 'emissions_tco2': np.float64(518808.2586206897), 'cost_usd': np.float64(125874000.0)}, 'Electricity': {'consumption': np.float64(10309264.953941584), 'emissions_tco2': np.float64(46391.69229273712), 'cost_usd': np.float64(1237111.79447299)}}"
36,금호석유화학_Naphtha Cracker_36,금호석유화학,울산,Naphtha Cracker,90000,46,1979,385671.4168841492,248721550.42725548,4.2852379653794355,2763.572782525061,0.30000000000000004,0.82,0,0.75,57850712.53262238,"{'Naphtha Feedstock': {'consumption': np.float64(12136500.0), 'emissions_tco2': np.float64(251099.99999999994), 'cost_usd': np.float64(218457000.0)}, 'Naphtha Thermal': {'consumption': np.float64(1665000.0), 'emissions_tco2': np.float64(123525.77586206897), 'cost_usd': np.float64(29970000.0)}, 'Electricity': {'consumption': np.float64(2454586.893795615), 'emissions_tco2': np.float64(11045.641022080266), 'cost_usd': np.float64(294550.4272554738)}}"
37,대한유화_Naphtha Cracker_37,대한유화,울산,Naphtha Cracker,146000,2,2023,625644.7429453976,403481626.2486589,4.2852379653794355,2763.572782525061,0.9333333333333333,0.0625,28,0.375,31282237.147269882,"{'Naphtha Feedstock': {'consumption': np.float64(19688100.0), 'emissions_tco2': np.float64(407339.99999999994), 'cost_usd': np.float64(354385800.0)}, 'Naphtha Thermal': {'consumption': np.float64(2701000.0), 'emissions_tco2': np.float64(200386.25862068968), 'cost_usd': np.float64(48618000.0)}, 'Electricity': {'consumption': np.float64(3981885.4054906648), 'emissions_tco2': np.float64(17918.48432470799), 'cost_usd': np.float64(477826.2486588798)}}"
38,SK지오센트릭_Naphtha Cracker_38,SK지오센트릭,울산,Naphtha Cracker,130000,36,1989,557080.9354993267,359264461.7282579,4.285237965379436,2763.5727825250606,0.22000000000000003,0.55,0,0.75,83562140.324899,"{'Naphtha Feedstock': {'consumption': np.float64(17530500.0), 'emissions_tco2': np.float64(362699.99999999994), 'cost_usd': np.float64(315549000.0)}, 'Naphtha Thermal': {'consumption': np.float64(2405000.0), 'emissions_tco2': np.float64(178426.1206896552), 'cost_usd': np.float64(43290000.0)}, 'Electricity': {'consumption': np.float64(3545514.402149222), 'emissions_tco2': np.float64(15954.814809671498), 'cost_usd': np.float64(425461.7282579066)}}"
86,SK지오센트릭_Naphtha Cracker_86,SK지오센트릭,울산,Naphtha Cracker,160000,51,1974,685638.0744607097,442171645.2040097,4.2852379653794355,2763.5727825250606,0.30000000000000004,0.9199999999999999,0,0.75,102845711.16910645,"{'Naphtha Feedstock': {'consumption': np.float64(21576000.0), 'emissions_tco2': np.float64(446399.99999999994), 'cost_usd': np.float64(388368000.0)}, 'Naphtha Thermal': {'consumption': np.float64(2960000.0), 'emissions_tco2': np.float64(219601.37931034484), 'cost_usd': np.float64(53280000.0)}, 'Electricity': {'consumption': np.float64(4363710.033414427), 'emissions_tco2': np.float64(19636.69515036492), 'cost_usd': np.float64(523645.20400973124)}}"
87,카프로_Naphtha Cracker_87,카프로,울산,Naphtha Cracker,190000,25,2000,814195.2134220927,525078828.6797615,4.2852379653794355,2763.5727825250606,0.16666666666666663,0.4,5,0.6625,122129282.0133139,"{'Naphtha Feedstock': {'consumption': np.float64(25621500.0), 'emissions_tco2': np.float64(530099.9999999999), 'cost_usd': np.float64(461187000.0)}, 'Naphtha Thermal': {'consumption': np.float64(3515000.0), 'emissions_tco2': np.float64(260776.6379310345), 'cost_usd': np.float64(63270000.0)}, 'Electricity': {'consumption': np.float64(5181905.6646796325), 'emissions_tco2': np.float64(23318.575491058346), 'cost_usd': np.float64(621828.6797615559)}}"
