product,process,company,location,capacity_kt,year_built
Acetone,Utility,Kumho P&B Chemical,Yeosu,420,1980
Acetone,Utility,LG Chem,Yeosu,210,2005
BPA,Utility,Samyang Innochem,Gunsan,180,2012
BPA,Utility,LG Chem,Daesan,165,2013
BPA,Utility,Kumho P&B Chemical,Yeosu,450,1991
BPA,Utility,LG Chem,Yeosu,330,2005
Epoxy Resin,Utility,Bluecube Chemical,Gumi,52,1990
Epoxy Resin,Utility,Kolon Industries,Gimcheon,0,2007
Epoxy Resin,Utility,Kukdo Chemical,Busan/Iksan/Siheung,530,1973
Epoxy Resin,Utility,Kumho P&B Chemical,Yeosu,338,2019
Octanol,Utility,LG Chem,Naju,125,1982
Octanol,Utility,LG Chem,Yeosu,0,1996
Octanol,Utility,Hanwha Solutions,Yeosu,152,1997
Butanol,Utility,LG Chem,Naju,55,1982
Butanol,Utility,Hanwha Solutions,Yeosu,12,1997
PPG,Utility,Kumho Petrochemical,Yeosu,152,1997
PPG,Utility,PU Core,Ulsan,220,1988
PPG,Utility,KPX Chemical,Ulsan,298,1990
PPG,Utility,BASF Korea,Ulsan,119,1975
MMA,Utility,Lotte MCC,Daesan,90,1995
MMA,Utility,Lotte MCC,Yeosu,97,2009
MMA,Utility,Lotte Chemical,Yeosu,50,2013
MMA,Utility,LXMMA,Yeosu,260,2001
PMMA,Utility,Lotte MCC,Yeosu,110,2008
PMMA,Utility,LXMMA,Yeosu,120,1991
PMMA,Utility,Arkema,진해,100,1999
Carbon Black(CB),Utility,OCI,Gwangyang,150,1992
Carbon Black(CB),Utility,HD Hyundai OCI,Daesan,136,2018
Carbon Black(CB),Utility,Birla Carbon Korea,Yeosu,193,1996
Carbon Black(CB),Utility,Orion Engineered Carbons,Yeosu,170,1979
Carbon Black(CB),Utility,OCI,Pohang,40,1981
Petroleum Resin,Utility,Kolon Industries,Daesan,87,2014
Petroleum Resin,Utility,Kolon Industries,Yeosu,50,2004
Petroleum Resin,Utility,Hanwha Solutions,Yeosu,86,2019
Petroleum Resin,Utility,Kolon Industries,Ulsan,0,1978
