company,location,product,product_group,process,capacity_kt,year_built,facility_age,remaining_life,initial_capex_musd,book_value_musd,emission_intensity,emissions_year_kt,required_reduction_kt,required_reduction_pct,must_retire,stranded_book_value_musd
S-Oil,Onsan,Xylene,Aromatics,BTX Plant,450,1991,34,0,180.0,0.0,1.0188612594561164,590.5319859807651,182.50335623273315,30.904906180421143,False,0.0
SK Geocentric,Ulsan,Xylene,Aromatics,BTX Plant,894,2070,-45,75,357.6,894.0,1.0188612594561166,1173.1902121484534,362.5733343823633,30.904906180421143,False,0.0
Lotte Chemical,Ulsan,O-X,Other,BTX Plant,210,1980,45,0,84.0,0.0,0.0042057809860782,1.1375796411144314,0.3515679208139866,30.904906180421143,False,0.0
SK Geocentric,Ulsan,O-X,Other,BTX Plant,200,1990,35,0,80.0,0.0,0.0042057809860782,1.0834091820137444,0.3348265912514158,30.904906180421143,False,0.0
Lotte Chemical,Ulsan,M-X,Other,BTX Plant,360,1998,27,3,144.0,14.4,0.0042057809860782,1.95013652762474,0.6026878642525485,30.904906180421143,False,0.0
HDHyundai Oilbank,Daesan,P-X,Other,BTX Plant,1460,1997,28,2,584.0,38.93333333333333,0.0,0.0,0.0,30.904906180421143,False,0.0
Hanwha TotalEnergies,Daesan,P-X,Other,BTX Plant,2000,1997,28,2,800.0,53.333333333333336,0.0,0.0,0.0,30.904906180421143,False,0.0
GS Caltex,Yeosu,P-X,Other,BTX Plant,1350,1990,35,0,540.0,0.0,0.0,0.0,0.0,30.904906180421143,False,0.0
S-Oil,Onsan,P-X,Other,BTX Plant,1900,1997,28,2,760.0,50.666666666666664,0.0,0.0,0.0,30.904906180421143,False,0.0
Lotte Chemical,Ulsan,P-X,Other,BTX Plant,750,1980,45,0,300.0,0.0,0.0,0.0,0.0,30.904906180421143,False,0.0
SK Geocentric,Ulsan,P-X,Other,BTX Plant,830,1990,35,0,332.0,0.0,0.0,0.0,0.0,30.904906180421143,False,0.0
Ulsan Aromatics,Ulsan,P-X,Other,BTX Plant,1000,2014,11,19,400.0,253.33333333333331,0.0,0.0,0.0,30.904906180421143,False,0.0
SK Incheon Petrochemical,Incheon,P-X,Other,BTX Plant,1500,2014,11,19,600.0,380.0,0.0,0.0,0.0,30.904906180421143,False,0.0
SK Geocentric,Ulsan,C-H,Other,Naphtha Cracker,160,1974,51,0,192.0,0.0,1.0231730864211577,210.85550964967217,65.16469743348003,30.904906180421143,False,0.0
Caprolactam,Ulsan,C-H,Other,Naphtha Cracker,190,2000,25,5,228.0,38.0,1.0231730864211575,250.39091770898565,77.38307820225754,30.904906180421143,False,0.0
Lotte Chemical,Daesan,SM,Other,Utility,350,2005,20,10,140.0,46.666666666666664,0.005187162242504757,2.3383727389211444,0.7226719011121239,30.904906180421143,False,0.0
LG Chem,Daesan,SM,Other,Utility,577,2006,19,11,230.8,84.62666666666667,0.005187162242504756,3.854974486735715,1.1913762484048442,30.904906180421143,False,0.0
Hanwha TotalEnergies,Daesan,SM,Other,Utility,1071,1991,34,0,428.40000000000003,0.0,0.005187162242504757,7.155420581098702,2.211376017403099,30.904906180421143,False,0.0
