company,location,product,product_group,process,capacity_kt,year_built,facility_age,remaining_life,initial_capex_musd,book_value_musd,emission_intensity,emissions_year_kt,required_reduction_kt,required_reduction_pct,must_retire,stranded_book_value_musd
Lotte Chemical,Yeosu,PP,Polymers,Utility,180,1979,46,0,72.0,0.0,0.006413426265241539,1.4868887453335984,0.9135040726438634,61.437284767321955,False,0.0
GS Caltex,Yeosu,PP,Polymers,Utility,730,1987,38,0,292.0,0.0,0.006413426265241539,6.0301599116307045,3.704766516833446,61.437284767321955,False,0.0
Poly Mirae,Yeosu,PP,Polymers,Utility,405,1993,32,0,162.0,0.0,0.006413426265241538,3.345499677000596,2.0553841634486925,61.437284767321955,False,0.0
S-Oil,Onsan,PP,Polymers,Utility,550,2018,7,23,220.0,168.66666666666669,0.006413426265241539,4.543271166297106,2.791262444189582,61.437284767321955,False,0.0
Daehan Oil Chemical,Onsan,PP,Polymers,Utility,432,1976,49,0,172.8,0.0,0.006413426265241539,3.568532988800636,2.192409774345272,61.437284767321955,False,0.0
SK Geocentric,Ulsan,PP,Polymers,Utility,400,1990,35,0,160.0,0.0,0.006413426265241538,3.3041972118524403,2.030009050319696,61.437284767321955,False,0.0
Ulsan PP,Ulsan,PP,Polymers,Utility,600,2021,4,26,240.0,208.0,0.006413426265241538,4.956295817778661,3.045013575479544,61.437284767321955,False,0.0
Hyosung Chemical,Ulsan,PP,Polymers,Utility,0,1991,34,0,0.0,0.0,,0.0,0.0,61.437284767321955,False,0.0
LG Chem,Yeosu,PS,Polymers,Utility,40,1984,41,0,16.0,0.0,0.010261482024386457,0.5286715538963903,0.3248014480511513,61.437284767321955,False,0.0
Kumho Petrochemical,Ulsan,PS,Polymers,Utility,265,1973,52,0,106.0,0.0,0.010261482024386457,3.502449044563586,2.1518095933388777,61.437284767321955,False,0.0
HDC Hyundai EP,Ulsan,PS,Polymers,Utility,148,1989,36,0,59.2,0.0,0.010261482024386459,1.9560847494166445,1.20176535778926,61.437284767321955,False,0.0
Korea INEOS Styrolution,Ulsan,PS,Polymers,Utility,266,1985,40,0,106.4,0.0,0.010261482024386459,3.515665833410996,2.1599296295401564,61.437284767321955,False,0.0
SH Energy Chemical,Gunsan,EPS,Polymers,Utility,100,1973,52,0,40.0,0.0,0.005130741012193226,0.6608394423704875,0.4060018100639389,61.437284767321955,False,0.0
Lotte Chemical,Yeosu,EPS,Polymers,Utility,90,1989,36,0,36.0,0.0,0.005130741012193226,0.5947554981334388,0.365401629057545,61.437284767321955,False,0.0
LG Chem,Yeosu,EPS,Polymers,Utility,90,1984,41,0,36.0,0.0,0.005130741012193226,0.5947554981334388,0.365401629057545,61.437284767321955,False,0.0
Kumho Petrochemical,Ulsan,EPS,Polymers,Utility,80,1973,52,0,32.0,0.0,0.005130741012193226,0.52867155389639,0.3248014480511511,61.437284767321955,False,0.0
HDC Hyundai EP,Ulsan,EPS,Polymers,Utility,80,1989,36,0,32.0,0.0,0.005130741012193226,0.52867155389639,0.3248014480511511,61.437284767321955,False,0.0
BASF Korea,Ulsan,EPS,Polymers,Utility,85,1982,43,0,34.0,0.0,0.005130741012193226,0.5617135260149143,0.345101538554348,61.437284767321955,False,0.0
Lotte Chemical,Yeosu,ABS,Other,Utility,757,1989,36,0,302.8,0.0,0.005130741012193226,5.002554578744591,3.0734337021840172,61.437284767321955,False,0.0
LG Chem,Yeosu,ABS,Other,Utility,1030,1978,47,0,412.0,0.0,0.005130741012193226,6.8066462564160215,4.181818643658571,61.437284767321955,False,0.0
Kumho Petrochemical,Ulsan,ABS,Other,Utility,290,1973,52,0,116.0,0.0,0.005130741012193226,1.916434382874414,1.1774052491854228,61.437284767321955,False,0.0
Korea INEOS Styrolution,Ulsan,ABS,Other,Utility,276,1990,35,0,110.4,0.0,0.005130741012193226,1.8239168609425456,1.1205649957764714,61.437284767321955,False,0.0
LG Chem,Daesan,PVC,Polymers,Utility,240,1998,27,3,96.0,9.600000000000001,0.005187162242504757,1.6034555924030705,0.9851195784222235,61.437284767321955,False,0.0
LG Chem,Yeosu,PVC,Polymers,Utility,450,1976,49,0,180.0,0.0,0.005187162242504757,3.0064792357557573,1.8470992095416694,61.437284767321955,False,0.0
Hanwha Solutions,Yeosu,PVC,Polymers,Utility,480,1990,35,0,192.0,0.0,0.005187162242504757,3.206911184806141,1.970239156844447,61.437284767321955,False,0.0
Hanwha Solutions,Ulsan,PVC,Polymers,Utility,330,2066,-41,71,132.0,312.4,0.005187162242504756,2.204751439554222,1.3545394203305574,61.437284767321955,False,0.0
