year,region,n_facilities,capacity_kt,bau_emissions_kt,ncc_abatement_kt,rdh_abatement_kt,hp_abatement_kt,re_ppa_abatement_kt,total_abatement_kt,actual_emissions_kt,elec_demand_mwh,grid_ef
2033.0,Daesan,57,27424,14899.859728730202,2215.4755257849843,0,0.0,1951.1052588209957,4166.58078460598,10733.278944124222,11742020.286660416,0.3073
2033.0,Other,19,3990,215.72716733134425,32.076695228744015,0,0.0,28.24901833398758,60.32571356273159,155.40145376861267,170006.48471234328,0.3073
2033.0,Ulsan,85,31436,11339.170827584705,1686.0330169933686,0,0.0,1484.840544485823,3170.8735614791917,8168.297266105514,8935974.990064854,0.3073
2033.0,Yeosu,87,37216,17577.036860111522,2613.547757386593,0,0.0,2301.6759671989703,4915.223724585563,12661.81313552596,13851803.11414894,0.3073
2034.0,Daesan,57,27424,14837.450132660199,2657.1662000150723,0,0.0,1951.1052588209957,4608.271458836068,10229.178673824132,14082980.860079883,0.2934
2034.0,Other,19,3990,214.8235718868506,38.47170026389872,0,0.0,28.24901833398758,66.7207185978863,148.1028532889643,203900.01139866322,0.2934
2034.0,Ulsan,85,31436,11291.675543467783,2022.170812867294,0,0.0,1484.840544485823,3507.011357353117,7784.664186114666,10717505.308196658,0.2934
2034.0,Yeosu,87,37216,17503.413632073214,3134.6005325841884,0,0.0,2301.6759671989703,5436.276499783158,12067.137132290056,16613382.822696198,0.2934
2035.0,Daesan,57,27424,14775.040536590197,3115.2606049342535,0,0.0,1951.1052588209957,5066.365863755249,9708.674672834948,16510881.206151541,0.2795
2035.0,Other,19,3990,213.91997644235695,45.1042062164883,0,0.0,28.24901833398758,73.35322455047589,140.56675189188107,239052.29294738793,0.2795
2035.0,Ulsan,85,31436,11244.180259350862,2370.792263478899,0,0.0,1484.840544485823,3855.632807964722,7388.54745138614,12565198.996438162,0.2795
2035.0,Yeosu,87,37216,17429.790404034906,3675.004428142305,0,0.0,2301.6759671989703,5976.6803953412755,11453.110008693631,19477523.469154213,0.2795
2036.0,Daesan,57,27424,14649.772354550407,3741.1567340856036,0,0.0,1951.1052588209957,5692.2619929065995,8957.510361643806,19828130.690653697,0.2516
2036.0,Other,19,3990,212.1062848667186,54.16622434576775,0,0.0,28.24901833398758,82.41524267975532,129.69104218696327,287080.9890325691,0.2516
2036.0,Ulsan,85,31436,11148.84799842553,2847.115078457239,0,0.0,1484.840544485823,4331.955622943062,6816.892375482468,15089709.915823366,0.2516
2036.0,Yeosu,87,37216,17282.014284447225,4413.360327660022,0,0.0,2301.6759671989703,6715.036294858993,10566.977989588231,23390809.73659812,0.2516
2037.0,Daesan,57,27424,14524.055182610835,4387.037661404691,0,0.0,1951.1052588209957,6338.142920225687,8185.912262385148,23251299.60544486,0.2236
2037.0,Other,19,3990,210.28609260442926,63.51759176939671,0,0.0,28.24901833398758,91.7666101033843,118.51948250104496,336643.2363778025,0.2236
2037.0,Ulsan,85,31436,11053.174044808711,3338.646831271539,0,0.0,1484.840544485823,4823.487375757362,6229.686669051349,17694828.205739155,0.2236
2037.0,Yeosu,87,37216,17133.708501348476,5175.29185409179,0,0.0,2301.6759671989703,7476.96782129076,9656.740680057716,27429046.82668648,0.2236
2038.0,Daesan,57,27424,14398.787000571045,5053.6918999692925,0,0.0,1951.1052588209957,7004.797158790288,7393.989841780756,26784567.069837246,0.1957
2038.0,Other,19,3990,208.4724010287909,73.1697249500647,0,0.0,28.24901833398758,101.41874328405228,107.05365774473862,387799.54223534284,0.1957
2038.0,Ulsan,85,31436,10957.841783883378,3845.98760035552,0,0.0,1484.840544485823,5330.828144841344,5627.013639042034,20383734.281884253,0.1957
2038.0,Yeosu,87,37216,16985.93238176079,5961.729198975317,0,0.0,2301.6759671989703,8263.405166174287,8722.527215586504,31597164.754569173,0.1957
2039.0,Daesan,57,27424,14273.518818531258,5740.7069487868885,0,0.0,1951.1052588209957,7691.812207607884,6581.706610923374,30425746.828570507,0.1678
2039.0,Other,19,3990,206.6587094531526,83.11665150465824,0,0.0,28.24901833398758,111.36566983864581,95.29303961450678,440518.25297468866,0.1678
2039.0,Ulsan,85,31436,10862.509522958047,4368.82346200078,0,0.0,1484.840544485823,5853.664006486602,5008.845516471445,23154764.348604135,0.1678
2039.0,Yeosu,87,37216,16838.15626217311,6772.185743961014,0,0.0,2301.6759671989703,9073.861711159985,7764.294551013125,35892584.44299337,0.1678
2040.0,Daesan,57,27424,14147.801646591684,6447.816262494008,0,0.0,1951.1052588209957,8398.921521315004,5748.880125276681,34173426.19121824,0.1398
2040.0,Other,19,3990,204.83851719086323,93.35451226421371,0,0.0,28.24901833398758,121.60353059820129,83.23498659266194,494778.9150003327,0.1398
2040.0,Ulsan,85,31436,10766.835569341229,4906.951568431251,0,0.0,1484.840544485823,6391.792112917074,4375.043456424155,26006843.31268563,0.1398
2040.0,Yeosu,87,37216,16689.85047907436,7606.347051345176,0,0.0,2301.6759671989703,9908.023018544147,6781.827460530214,40313639.37212943,0.1398
2041.0,Daesan,57,27424,14085.392050521683,6964.958360733147,0,0.0,1951.1052588209957,8916.063619554143,5169.32843096754,36914279.31188568,0.1259
2041.0,Other,19,3990,203.93492174636958,100.84193845426044,0,0.0,28.24901833398758,129.09095678824804,74.84396495812155,534462.2738075803,0.1259
2041.0,Ulsan,85,31436,10719.340285224307,5300.509809973765,0,0.0,1484.840544485823,6785.350354459588,3933.9899307647192,28092701.992860954,0.1259
2041.0,Yeosu,87,37216,16616.227251036056,8216.408212198763,0,0.0,2301.6759671989703,10518.084179397734,6098.143071638322,43546963.524653435,0.1259
2042.0,Daesan,57,27424,14022.533464551896,7486.740925580028,0,0.0,1951.1052588209957,9437.846184401023,4584.6872801508725,39679726.90557414,0.1119
2042.0,Other,19,3990,203.0248256152249,108.39655149939237,0,0.0,28.24901833398758,136.64556983337997,66.37925578184493,574501.7229467795,0.1119
2042.0,Ulsan,85,31436,10671.503308415897,5697.599564197801,0,0.0,1484.840544485823,7182.440108683624,3489.0631997322726,30197277.69024834,0.1119
2042.0,Yeosu,87,37216,16542.07435948668,8831.943629461295,0,0.0,2301.6759671989703,11133.619596660265,5408.454762826415,46809301.236144856,0.1119
2043.0,Daesan,57,27424,13959.674878582107,8013.612946934425,0,0.0,1951.1052588209957,9964.71820575542,3994.9566728266873,42472148.61875246,0.0979
2043.0,Other,19,3990,202.1147294840802,116.02485208626038,0,0.0,28.24901833398758,144.27387042024796,57.84085906383223,614931.7160571801,0.0979
2043.0,Ulsan,85,31436,10623.666331607486,6098.562523794838,0,0.0,1484.840544485823,7583.403068280661,3040.263263326826,32322381.376112647,0.0979
2043.0,Yeosu,87,37216,16467.921467937304,9453.48296664383,0,0.0,2301.6759671989703,11755.158933842802,4712.7625340945015,50103459.7232123,0.0979
2044.0,Daesan,57,27424,13897.265282512106,8545.9507081746,0,0.0,1951.1052588209957,10497.055966995595,3400.209315516511,45293538.75332537,0.084
2044.0,Other,19,3990,201.21113403958654,123.73228822234803,0,0.0,28.24901833398758,151.9813065563356,49.22982748325094,655781.1275784445,0.084
2044.0,Ulsan,85,31436,10576.171047490565,6503.6850499510465,0,0.0,1484.840544485823,7988.525594436869,2587.6454530536957,34469530.76474055,0.084
2044.0,Yeosu,87,37216,16394.298239898995,10081.470116972876,0,0.0,2301.6759671989703,12383.146084171847,4011.152155727148,53431791.61995624,0.084
2045.0,Daesan,57,27424,13834.40669654232,9082.983465913665,0,0.0,1951.1052588209957,11034.08872473466,2800.317971807661,48139812.36934243,0.07
2045.0,Other,19,3990,200.30103790844188,131.5077007228966,0,0.0,28.24901833398758,159.75671905688418,40.544318851557705,696990.8138313519,0.07
2045.0,Ulsan,85,31436,10528.334070682156,6912.380587417771,0,0.0,1484.840544485823,8397.221131903594,2131.1129387785622,36635617.11331419,0.07
2045.0,Yeosu,87,37216,16320.145348349623,10714.995851424294,0,0.0,2301.6759671989703,13016.671818623265,3303.473529726358,56789478.01254877,0.07
2046.0,Daesan,57,27424,13771.548110572534,9580.18847430541,0,0.0,1951.1052588209957,11531.293733126406,2240.2543774461283,50774998.91381868,0.056
2046.0,Other,19,3990,199.39094177729717,138.70646836206345,0,0.0,28.24901833398758,166.95548669605103,32.43545508124615,735144.2823189363,0.056
2046.0,Ulsan,85,31436,10480.497093873746,7290.766198365072,0,0.0,1484.840544485823,8775.606742850896,1704.8903510228502,38641060.851334885,0.056
2046.0,Yeosu,87,37216,16245.992456800246,11301.53766582019,0,0.0,2301.6759671989703,13603.21363301916,2642.7788237810855,59898149.62884701,0.056
2047.0,Daesan,57,27424,13708.689524602749,10077.393482697156,0,0.0,1951.1052588209957,12028.498741518151,1680.1907830845976,53410185.45829492,0.042
2047.0,Other,19,3990,198.48084564615252,145.9052360012303,0,0.0,28.24901833398758,174.15425433521787,24.326591310934646,773297.7508065206,0.042
2047.0,Ulsan,85,31436,10432.660117065336,7669.151809312375,0,0.0,1484.840544485823,9153.992353798198,1278.667763267138,40646504.58935559,0.042
2047.0,Yeosu,87,37216,16171.839565250873,11888.079480216087,0,0.0,2301.6759671989703,14189.755447415057,1982.0841178358169,63006821.24514526,0.042
2048.0,Daesan,57,27424,13645.83093863296,10574.5984910889,0,0.0,1951.1052588209957,12525.703749909895,1120.127188723065,56045372.00277117,0.028
2048.0,Other,19,3990,197.57074951500783,153.10400364039714,0,0.0,28.24901833398758,181.35302197438472,16.217727540623116,811451.2192941048,0.028
2048.0,Ulsan,85,31436,10384.823140256925,8047.537420259677,0,0.0,1484.840544485823,9532.3779647455,852.445175511426,42651948.32737628,0.028
2048.0,Yeosu,87,37216,16097.686673701497,12474.621294611983,0,0.0,2301.6759671989703,14776.297261810952,1321.3894118905446,66115492.861443505,0.028
2049.0,Daesan,57,27424,13582.972352663175,11071.803499480648,0,0.0,1951.1052588209957,13022.908758301643,560.0635943615325,58680558.54724744,0.014
2049.0,Other,19,3990,196.66065338386318,160.30277127956404,0,0.0,28.24901833398758,188.55178961355162,8.108863770311558,849604.6877816895,0.014
2049.0,Ulsan,85,31436,10336.986163448517,8425.923031206981,0,0.0,1484.840544485823,9910.763575692805,426.2225877557121,44657392.065397,0.014
2049.0,Yeosu,87,37216,16023.533782152124,13061.163109007883,0,0.0,2301.6759671989703,15362.839076206852,660.6947059452723,69224164.47774178,0.014
2050.0,Daesan,57,27424,13520.113766693386,11569.00850787239,0,0.0,1951.1052588209957,13520.113766693385,1.8189894035458565e-12,61315745.09172367,0.0
2050.0,Other,19,3990,195.75055725271844,167.50153891873086,0,0.0,28.24901833398758,195.75055725271844,0.0,887758.1562692736,0.0
2050.0,Ulsan,85,31436,10289.149186640105,8804.308642154281,0,0.0,1484.840544485823,10289.149186640105,0.0,46662835.8034177,0.0
2050.0,Yeosu,87,37216,15949.380890602746,13647.704923403775,0,0.0,2301.6759671989703,15949.380890602744,1.8189894035458565e-12,72332836.09404002,0.0
