facility_idx,product,process,company,location,complex,region,capacity_kt,year_built,total_fossil_kt,ncc_fossil_kt,btx_fossil_kt,low_temp_fossil_kt,elec_mwh,elec_emissions_kt,total_emissions_kt
129,PP,Utility,Hanwha TotalEnergies,Daesan,Daesan Complex,Daesan,600,1991,0.0,0.0,0.0,0.0,855.1235020322052,0.0,0.0
130,PP,Utility,Lotte Chemical,Yeosu,Yeosu Complex,Yeosu,180,1979,0.0,0.0,0.0,0.0,256.53705060966155,0.0,0.0
131,PP,Utility,GS Caltex,Yeosu,Yeosu Complex,Yeosu,730,1987,0.0,0.0,0.0,0.0,1040.4002608058497,0.0,0.0
132,PP,Utility,Poly Mirae,Yeosu,Yeosu Complex,Yeosu,405,1993,0.0,0.0,0.0,0.0,577.2083638717386,0.0,0.0
133,PP,Utility,S-Oil,Onsan,Ulsan Complex,Ulsan,550,2018,0.0,0.0,0.0,0.0,783.8632101961881,0.0,0.0
134,PP,Utility,Daehan Oil Chemical,Onsan,Ulsan Complex,Ulsan,432,1976,0.0,0.0,0.0,0.0,615.6889214631876,0.0,0.0
135,PP,Utility,SK Geocentric,Ulsan,Ulsan Complex,Ulsan,400,1990,0.0,0.0,0.0,0.0,570.0823346881368,0.0,0.0
136,PP,Utility,Ulsan PP,Ulsan,Ulsan Complex,Ulsan,600,2021,0.0,0.0,0.0,0.0,855.1235020322052,0.0,0.0
137,PP,Utility,Hyosung Chemical,Ulsan,Ulsan Complex,Ulsan,0,1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,PS,Utility,LG Chem,Yeosu,Yeosu Complex,Yeosu,40,1984,0.0,0.0,0.0,0.0,91.21317355010186,0.0,0.0
139,PS,Utility,Kumho Petrochemical,Ulsan,Ulsan Complex,Ulsan,265,1973,0.0,0.0,0.0,0.0,604.2872747694248,0.0,0.0
140,PS,Utility,HDC Hyundai EP,Ulsan,Ulsan Complex,Ulsan,148,1989,0.0,0.0,0.0,0.0,337.4887421353769,0.0,0.0
141,PS,Utility,Korea INEOS Styrolution,Ulsan,Ulsan Complex,Ulsan,266,1985,0.0,0.0,0.0,0.0,606.5676041081773,0.0,0.0
142,EPS,Utility,SH Energy Chemical,Gunsan,Other Regions,Other,100,1973,0.0,0.0,0.0,0.0,114.01646693762727,0.0,0.0
143,EPS,Utility,Lotte Chemical,Yeosu,Yeosu Complex,Yeosu,90,1989,0.0,0.0,0.0,0.0,102.61482024386454,0.0,0.0
144,EPS,Utility,LG Chem,Yeosu,Yeosu Complex,Yeosu,90,1984,0.0,0.0,0.0,0.0,102.61482024386454,0.0,0.0
145,EPS,Utility,Kumho Petrochemical,Ulsan,Ulsan Complex,Ulsan,80,1973,0.0,0.0,0.0,0.0,91.21317355010181,0.0,0.0
146,EPS,Utility,HDC Hyundai EP,Ulsan,Ulsan Complex,Ulsan,80,1989,0.0,0.0,0.0,0.0,91.21317355010181,0.0,0.0
147,EPS,Utility,BASF Korea,Ulsan,Ulsan Complex,Ulsan,85,1982,0.0,0.0,0.0,0.0,96.91399689698316,0.0,0.0
148,ABS,Utility,Lotte Chemical,Yeosu,Yeosu Complex,Yeosu,757,1989,0.0,0.0,0.0,0.0,863.1046547178383,0.0,0.0
149,ABS,Utility,LG Chem,Yeosu,Yeosu Complex,Yeosu,1030,1978,0.0,0.0,0.0,0.0,1174.3696094575607,0.0,0.0
150,ABS,Utility,Kumho Petrochemical,Ulsan,Ulsan Complex,Ulsan,290,1973,0.0,0.0,0.0,0.0,330.64775411911904,0.0,0.0
151,ABS,Utility,Korea INEOS Styrolution,Ulsan,Ulsan Complex,Ulsan,276,1990,0.0,0.0,0.0,0.0,314.68544874785124,0.0,0.0
152,PVC,Utility,LG Chem,Daesan,Daesan Complex,Daesan,240,1998,0.0,0.0,0.0,0.0,276.648652933587,0.0,0.0
153,PVC,Utility,LG Chem,Yeosu,Yeosu Complex,Yeosu,450,1976,0.0,0.0,0.0,0.0,518.7162242504756,0.0,0.0
154,PVC,Utility,Hanwha Solutions,Yeosu,Yeosu Complex,Yeosu,480,1990,0.0,0.0,0.0,0.0,553.297305867174,0.0,0.0
155,PVC,Utility,Hanwha Solutions,Ulsan,Ulsan Complex,Ulsan,330,2066,0.0,0.0,0.0,0.0,380.3918977836822,0.0,0.0
156,TPA,Utility,Hanwha Impact,Daesan,Daesan Complex,Daesan,700,1997,0.0,0.0,0.0,0.0,564.2218516996584,0.0,0.0
