year,technology,available,abatement_potential_mtco2,capex_ann_usd_per_tco2,opex_ann_usd_per_tco2,fuel_cost_diff_usd_per_tco2,total_cost_usd_per_tco2,re_price_usd_per_mwh,h2_price_usd_per_kg,electricity_consumption_mwh,fossil_fuel_replaced_gj,methodology,h2_consumption_ton_per_ton_ethylene,baseline_combustion_emissions_tco2_per_ton,ethylene_production_kt,h2_fuel_cost_per_ton_ethylene,electricity_consumption_mwh_per_ton_ethylene,electricity_cost_per_ton_ethylene,re_ef_tco2_per_mwh,grid_price_usd_per_mwh,grid_ef_tco2_per_mwh
2036,NCC-H2,True,19705.637403361456,47.88,47.88,0.42938872569524444,96.18938872569525,,4.8448961286321754,,,Energy-based,0.2,2256.6480388079895,8732.26,968.9792257264351,,,,,
2036,NCC-Electricity,True,19703.236031861456,52.56,52.56,0.466491803713087,105.58649180371309,,,,,Energy-based,,2256.6480388079895,8732.26,,5.5,1052.5795287231183,0.05,,
2036,RE_PPA,True,2.7570150105051847,0.0,0.0,869.9004369612547,869.9004369612547,191.37809613147607,,,,Energy-based,,,,,,,,100.0,0.27
2037,Heat_Pump,True,2.015182965250381,29.7,17.82,261.98950844852163,309.5095084485216,191.37809613147607,4.674409956000472,2758710.663194586,39725433.55000204,Energy-based,,,,,,,,,
2037,NCC-H2,True,19003.792783515706,46.26,46.26,0.4142790435738129,92.93427904357381,,4.674409956000472,,,Energy-based,0.2,2256.6480388079895,8421.248,934.8819912000945,,,,,
2037,NCC-Electricity,True,19001.476940315704,50.92,50.92,0.466491803713087,102.30649180371309,,,,,Energy-based,,2256.6480388079895,8421.248,,5.5,1052.5795287231183,0.05,,
2037,RE_PPA,True,2.5832852975144465,0.0,0.0,1007.2531375340844,1007.2531375340844,191.37809613147607,,,,Energy-based,,,,,,,,100.0,0.24
2038,Heat_Pump,True,1.9407585943746575,28.8,17.28,261.98950844852163,308.0695084485216,191.37809613147607,4.503922860559887,2656826.462565241,38258301.06093947,Energy-based,,,,,,,,,
2038,NCC-H2,True,18301.948163669957,44.64,44.64,0.39916927966657634,89.67916927966658,,4.503922860559887,,,Energy-based,0.2,2256.6480388079895,8110.236000000001,900.7845721119774,,,,,
2038,NCC-Electricity,True,18299.717848769953,49.28,49.28,0.466491803713087,99.02649180371309,,,,,Energy-based,,2256.6480388079895,8110.236000000001,,5.5,1052.5795287231183,0.05,,
